,job_description,job_location,job_title,sponsored
0,"$38,000 - $40,000 a yearJob Summary description:If you have a degree in the life sciences but also have an interest in bioinformatics, we have several openings for an Information Specialist. The successful candidate will be trained to become a data Ninja – able to take experimental data and turn it into valuable insight for our clients. Job-specific experience is not necessary, but you must be high energy, comfortable with looking at different kinds of data sets and possess a sense of urgency to complete projects on time with attention to detail. Recognition of performance will be immediate and successful analysts will have growth opportunities. You must have an AA/BS/BA degree with a major or minor in the life sciences. Comfort with spreadsheet software and information technology is a must. Knowledge of preclinical research is not necessary, but will put you on the top of list.Knowledge needed for the job:Appropriate knowledge in IT technology and IT methodologyAdept in project/time managementAttention to detailKnowledge of Preclinical data collection/data flow or able to learnFundamental knowledge of Biology/Anatomy/PhysiologyGood EnglishKnowledge/expertise in use of ExcelGrasps scientific concepts quicklyAbility to be flexible and change work due to prioritization/multi-taskingEducation: 2 to 4 year degree in Life Sciences, Biology, Animal Science or equivalentExperience: 0-4 years experience in a scientific setting. Toxicology, Pathology, or Preclinical laboratory preferred.Understanding of GLP preferredJob Type: Full-timeSalary: $38,000.00 to $40,000.00 /yearWork authorization:United States (Required)","Mount Arlington, NJ",Entry Level Information Specialist/Non-Clinical,True
2,"TwinStrand Biosciences, a Seattle-based genomics company focused on ultra-high accuracy DNA sequencing, seeks a qualified individual for the position of Bioinformatics Engineer. As a Bioinformatics Engineer, you will work within a team of bioinformatics scientists and software engineering consultants to play a pivotal role in solving important problems in cancer research through genomics pipeline development and deployment.You will draft and co-engineer an enterprise customer-facing cloud application that will become the core analytics platform for current and future product lines at TwinStrand. Our cloud application will enable worldwide researchers the most accurate insight into their DNA samples. Tandem to developing a customer-facing cloud application, you will engineer novel algorithms as command line tools to be used by scientists for further investigating scientific phenomena.As a part of the software development team, you will establish and enforce development best practices at TwinStrand. A process-oriented individual with exceptional attention to detail will excel in the role of Bioinformatics Engineer. Familiarity with agile programming methods such as test-driven development, collaborative programming, version control flow, and code quality standards is ideal, however, we are eager to support efforts to round out any skills that have not been previously acquired!We encourage all employees at TwinStrand to jump in and help with whatever is needed to get the job done. At TwinStrand, you will learn many skills beyond those required for the core role of Bioinformatics Engineer by working on projects of NGS analysis, UI development, process automation, and even database architecture.You are the ideal Bioinformatics Engineer if you love working within a high-performance team in a collaborative environment to deliver high-quality solutions of bioinformatics processing. We need your expertise in bringing our Duplex Sequencing toolkits into a cloud application, so we can continue to pioneer solutions for human health through scientific discovery.Specific Duties Include:Deployment of a performant, customer-facing cloud pipeline for automated processing of Duplex Sequencing experimentsMaintenance of and improvements to existing internal genomics pipelinesEngineering of on-site applications and information systemsManagement opportunity is availableRequirements:S. in computer science, engineering, or related field. 5+ years of experienceAbility to work well within a team, in a fast-paced environmentExpert ability in at least one programming language, and proficiency in othersExperience in developing genomics pipelines and containerizing workflowsHigh competency with cloud development and deploymentHigh competency with version control systems like GitEffective communication skillsPlease be prepared to provide a relevant code sample upon request.Preferred Experience:MSc. or Ph.D. in computer science, engineering, or related fieldExperience with Amazon Web Services like Batch, EC2, and S3Experience with continuous integration and deploymentExperience with API query languageExperience with DevOpsExperience with analytics and big data systemsBiotechnology experience preferred, startup company a bonusFamiliarity with high-throughput sequencing libraries and short-read sequencingWe are a vibrant young company committed to applying a powerful new genomic technology across disciplines to improve human health and accelerate scientific discovery. We are a spinout from the University of Washington and our mission is to commercially develop and deliver the unprecedented accuracy of Duplex Sequencing™ for applications in medicine and life sciences where it can do the greatest good for the greatest number of people.Our business is multifaceted and encompasses internal development projects, external collaborations and empowering of partner organizations. Our mission is strongly rooted in academic principles of responsible citizenship within the broader scientific community, yet executed with the nimbleness of a startup, such that research can be rapidly translated into products that benefit many. To the greatest extent possible, we strive for open sharing of knowledge and discovery through publication.At TwinStrand we put a premium on creativity, dynamic thinking and a rigorous scientific approach. You will be challenged to push the boundaries of your knowledge, skills and comfort zone and to take ownership of your area of specialty. We expect all team members to take on some form of leadership role over time and mentor new team members as we continue to expand. We want every member of our community to come to work excited each day and able to take pride in the high-quality science to improve human health that they are contributing to.Our new state-of-the-art NGS laboratory is ideally situated on the Downtown Seattle waterfront overlooking Puget Sound and our genomics team is growing quickly.Job Type: Full-timeExperience:biostats, computer science, engineering: 5 years (Preferred)Education:Bachelor's (Preferred)Location:Seattle, WA (Preferred)Work authorization:United States (Required)","Seattle, WA",BIOINFORMATICS ENGINEER,True
3,"Bioinformatics Research ScientistThe candidate will be a key contributor in a scientific research team using big data approaches to define drug candidate cellular and molecular mechanism of action space. Responsibilities include supervising collaborator and leading internal efforts to analyze large protein data sets, available bioinformatics databases and scientific literature to extract data relevant to target proteins, constructing signaling pathways relevant to compound mechanism of action, and modeling compound impact on target proteins in disease states.The candidate will work with others in a team-based environment and make formal presentations of results to the company.QualificationsB.A., B.S., M.S., or Ph.D. in BioinformaticsExpertise in coding (R/Python), available bioinformatics database searching, pathway mapping softwareExperience in pharmacokinetic/pharmacodynamic modeling and neurodegenerative disease biologyIndustry experience a plusCognition Therapeutics, Inc. is an equal opportunity employer.Cognition Therapeutics, Inc. is a clinical stage pharmaceutical company targeting neurodegenerative disorders. Our lead molecule CT1812 is currently in the clinic for Alzheimer’s disease. Located in Pittsburgh’s historic South Side, we are seeking highly motivated individuals to work in a dynamic industry environment.About Cognition Therapeutics, Inc. Cognition Therapeutics, Inc. (CogRx) is a privately held biopharmaceutical company whose disease-relevant screening and novel chemistry platforms have produced a pipeline of disease modifying small molecule drug candidates which are being developed to treat Alzheimer’s disease and potentially other neurocognitive disorders. Cognition’s lead molecule, CT1812, is a proprietary first-in-class, orally available small molecule that is currently in clinical trials in patients with mild-to-moderate Alzheimer’s disease. This highly brain penetrant compound targets the sigma-2 receptor complex, displacing toxic beta amyloid oligomers from their binding sites on brain cells and clearing them into the cerebrospinal fluid. CT1812 has been shown in multiple Alzheimer’s disease models to stop memory loss. Additional information about Cognition may be found online at http://www.cogrx.com.Job Type: Full-timeEducation:Bachelor's (Required)","Pittsburgh, PA 15203 (Southside Slopes area)",Bioinformatics Research Scientist,True
4,"Want to be part of a company whose goal is to be the best in the world and the best for the world?

Apply today!

We are seeking a Bioinformatics Scientist to join our Next Generation Sequencing department.

Title: Bioinformatics Scientist

Location: South Plainfield, NJ

Responsibilities:

Automation of NGS data analysis and delivery pipeline development
Build and maintain customize scripts to support bench operations and project objectives
Build and maintain databases for complex data management and integration
Work closely with IT specialists to build and maintain robust infrastructure
Develop and implement bioinformatics analyses, applications, and workflows
Integrate statistical analysis to project design and data interpretations
Provide customer support for NGS data analysis results


Qualifications:

M.S. in Bioinformatics, Computer Science or related field with 1-3 years of experience required
Ph.D. in Bioinformatics, Computer Science or related field with 0-2 years of experience preferred
Strong background in software development on Linux system
Strong programming skills in Python or Perl required.
Strong programming skills in R/Shinny, Java, and/or C# preferred.
Concrete bioinformatics skills in analysis of data from various omic platforms preferred
Familiarity in applying statistical approaches to NGS data interpretation preferred.
Experience with SQL/noSQL database development and/or web application development strongly preferred
Experience with web application development strongly preferred.
Strong communication skills, both written and verbal
Demonstrate initiative in experimenting with new technologies


GENEWIZ is a leading global genomics service company and trusted provider for DNA sequencing, gene synthesis, molecular biology, next generation sequencing, bioinformatics, and GLP regulatory services.

From the company’s founding, GENEWIZ has maintained its unwavering commitment to providing customers with the best value. Excelling in both science and customer support, GENEWIZ is dedicated to accelerating scientific discovery, as well as to developing and delivering innovative solutions for translational medicine and healthcare. Easily accessible around the world, GENEWIZ is the preferred partner at leading academic, pharmaceutical, biotechnology, agricultural, government, and clinical institutions.

GENEWIZ employees have a winning attitude and champion innovation, teamwork and accountability through a results-oriented, customer-centric, and fun culture. We offer various health and financial benefits, learning opportunities, competitive compensation, rewarding bonus programs, and a wide range of work/life benefits designed to make your life easier.

Visit our Careers page at www.genewiz.com/careers to view our open positions and apply.

Connect with us on LinkedIn and Twitter @GENEWIZ","South Plainfield, NJ",Bioinformatics Scientist,True
5,"Paid bioinformatics annotator internships are available at MindSpec, Inc. We are currently developing additional interactive database modules for AutDB/SFARI Gene. Interns will be trained to extract data from scientific literature using controlled vocabularies.

Qualifications:
We are seeking talented and motivated individuals interested in working in a multi-disciplinary team. Responsibilities include participating in the annotation of disease-related information for data mining and visualization. The position offers an opportunity to work in the rapidly evolving area of multi-factorial disease biology in a flexible, dynamic research environment. Applicants must have or be pursuing an B.S. degree or higher in Bioinformatics/Molecular Biology/Neurobiology, or related field, with a strong knowledge of genetics, animal models or neuroimaging. Applicants should also have excellent written and oral communication skills; display good ability to work with others, and the ability to conduct assignments on multiple projects under tight deadlines.

How to Apply:
Please send cover letter and curriculum vitae to job@mindspec.org.","McLean, VA 22102",Bioinformatics Internships,False
6,"The Stowers Institute has an opening for a Programmer Analyst to assist Computational Biology core with programming tasks and data analysis.The programmer analyst will develop and support Next-generation sequencing informatics processes, maintain and optimize the current NGS primary and secondary analysis pipeline, and provide bioinformatics support to research projects by using computational tools to process, transform, visualize, and analyze datasets primarily derived from high-throughput sequencing. The individual will also involve scientific software support.Minimum requirements include an undergraduate degree in Computer Science or a related discipline. Individuals with a Master's degree in computer science with a bioinformatics concentration or a Master's degree in bioinformatics with solid computer programming skills are encouraged to apply. We require proficiency with at least one scripting language (Perl, Python, or Ruby) as well as experience working in a Unix/Linux environment. Experiences in cluster computing (i.e. Sun Grid Engine) and R/Bioconductor are desired but not essential.In addition to outstanding communication and organization skills, the successful candidate will have strong problem-solving abilities, good time management skills, and the ability to multi-task in a team-oriented environment.Application Instructions: To apply, please submit a current resume and 2 letters of recommendation tocareers[at]stowers.orgor to Administration Department, Stowers Institute for Medical Research, 1000 E 50th Street, Kansas City, MO 64110.About the Stowers Institute for Medical ResearchThe Stowers Institute for Medical Research is a world-class basic biomedical research organization focused on improving our understanding of fundamental mechanisms of biology and using this knowledge to guide the development of innovative treatments to improve human health.Our dedicated scientists collaborate across a variety of disciplines, studying many different aspects of health and disease. A primary goal of our research is to understand the principles that guide the function and behavior of living organisms and individual cells. Discoveries resulting from this kind of research often prove to be major milestones along the path toward novel therapies and cures.Jim Stowers, founder of American Century Investments, and his wife, Virginia, opened the Institute in 2000. Currently, the Institute is home to about 500 researchers and support personnel, over 20 independent research programs, and more than a dozen technology development, core and support facilities. In 2012, the Institute welcomed the first class of predoctoral researchers into The Graduate School of the Stowers Institute (GSSIMR).Discover more about us at www.stowers.organd www.stowers.org/gradschool.Job Type: Full-time","Kansas City, MO",Programmer Analyst (Bioinformatics),False
7,"$3,000 - $5,000 a monthPart-time, Contract, InternshipBioinformatician Job DescriptionVastBiome is a drug discovery company that mines the microbiome for potential drug candidates. Based upon recent research implicating the gut microbiome as a driver of disease and health and a growing body of related research advancing computational techniques in microbiome analysis, VastBiome aims to capture the wealth of genomic and chemical “dark matter” that accounts microbiome’s biological control over its host.At VastBiome, we have developed a machine learning platform we call “VBx1” which analyzes the bacteria in the human gut to better understand the specific roles these microbes play in controlling human health. With a particular focus on immuno-oncology and autoimmune disease, we take patient stool samples and sequence the genetic content of the human microbiome to understand its role in stimulating, suppressing, and directing the host immune system. Our work focuses on refining the molecular agents through which microbes in the gut accomplish this immune control and to advance those molecular structures as new therapies and adjuvants.We are seeking a Bioinformatician who is comfortable with next-generation sequencing analysis and who has an appetite for problem-solving in areas ranging from statistical imputation and machine learning to efficient high-performance computing to data engineering around the collection and aggregation of disparate genomic datasets in order to help us further improve our high-performance machine learning platform, VBx1. You will work with our highly professional teams in basic science, computational biology, and software engineering to further develop our platform and uncover transformative insights and novel therapeutic leads.Responsibilities Include: Develop and enhance algorithms for NGS data.Extend and refine existing pipelines for the analysis of and NGS data.Benchmark and validate bioinformatics tools and pipelines.Design workflows for collection and aggregation of disparate genomic datasets.Model relationships among genomic and proteomic features.Develop and apply statistical techniques for classifying and predicting microbe host interaction.Minimum Qualifications: Ph.D. (in Bioinformatics, Computational Sciences, or related) and 0 to 2 years of industry experience, or Master's degree (in Bioinformatics, Computational Sciences, or related), if currently completing grad program that is acceptable as well.Demonstrated problem-solving and data analytical skills.Fanatical attention to details, and commitment to the reliability of your research.Ability to quantify accuracy and performance of algorithms/tools/pipelines with respect to metrics, datasets, and literature.Experienced in algorithm development and analysis in Python or R. Additional experience in C, C++, or Java may be necessary depending upon applicant’s particular scope of work.One of either: in-depth experience with bioinformatics algorithms/tools/pipelines OR an applied mathematics/statistics background.Ability to quickly learn and adapt algorithms from open-source and to develop highly maintainable software.Ability to prioritize and deliver research in a fast-paced, milestone-driven environment.Team player with good communication skills.VastBiome is an investor-backed fast growing startup focused on the intersection of technology and biology. VastBiome partners with top tier institutions in both the medical and technology sectors in order to further advance a singular vision of being at the frontier of drug discovery through the microbiome.Job Types: Part-time, Internship, ContractSalary: $3,000.00 to $5,000.00 /monthExperience:Bioinformatics: 1 year (Preferred)R: 1 year (Preferred)C/C++: 1 year (Preferred)Java: 1 year (Preferred)Education:Bachelor's (Preferred)","Foster City, CA",Bioinformatics,False
8,"Part-time, ContractUnder direct supervision, the Bioinformatics Programmer I (BP) applies professional bioinformatics concepts and computational procedures to complete small projects or portions of projects. The BP works on assignments of limited scope and complexity. The BP follows standard programming procedures to analyze situations and data from which answers can be readily obtained.

The BP will be working on a digital tool that intends to detect deficits in cognition, ambulation and emotional response indicative of neuropsychiatric diseases. This incorporates analysis of visual response (through virtual reality headset), gait (sensors) and cognition (voice recognition). The PB’s work will involve developing a platform to integrate these various data streams, to analyze specific features in voice, visual response and gait, and to develop algorithms sensitive to deficits related to neuropsychiatric disease.

The BP will be developing and utilizing computational tools to analyze and interpret biological or other research data. The BP utilizes and develops algorithms, computational techniques, and statistical methodologies. The BP will help in the design of new experiments and implement end-user needs in database searching and integration. The BP maintains the computational infrastructure and tracks the flow of samples and information for large-scale studies and provides web-based bioinformatics and access to public and proprietary databases.

Please note: This is a 15% - 25% contract position for a period of 6 to 12 months from date of hire.

DEPARTMENT OF NEUROLOGY – BOVE LAB
The Bove lab is committed to finding new ways of improving the lives of people with Multiple Sclerosis (MS) through the application of novel, as well as widely available, technologies.

Throughout the Department of Neurology at UCSF, our mission is to deliver superb patient care, to apply state-of-the-art translational research methods to discover the causes of and treatments for human nervous system disorders, and to educate each generation of medical students, neurology residents and postdoctoral fellows. By fostering cross-disciplinary interactions among scientists around the world, we accelerate the pace of discovery and champion the University's global health initiatives.

ABOUT UCSF

The University of California, San Francisco (UCSF) is a leading university dedicated to promoting health worldwide through advanced biomedical research, graduate-level education in the life sciences, health professions and excellence in patient care. It is the only campus in the 10-campus UC system dedicated exclusively to the health sciences.","San Francisco, CA 94104 (Financial District area)",Bioinformatics Programmer I,False
9,"Part-time, InternshipJob Description
When you’re part of the team at Thermo Fisher Scientific, you’ll do important work. You’ll have the opportunity to grow and learn in a culture that empowers your development. We have created an inclusive, global environment that values the power of diverse talent, backgrounds, and experiences to drive speed, productivity, innovation, and growth.

Our internship program will give you a chance to get real world business experience and build your network before graduation. We are seeking an energetic, responsible intern to join our growing organization. In this position, you will be expected to learn the ins-and-outs of our daily routines and procedures. You will focus on learning how our organization runs, and can be expected to gain valuable insight that can further your interest in your chosen career field.

Thermo Fisher Scientific Inc. (NYSE: TMO) is the world leader in serving science. With revenues of $20 billion and the largest investment in R&D in the industry, we give our 70,000 employees the resources and opportunities to make significant contributions to the world. The customers we serve fall within pharmaceutical and biotech companies, hospitals and clinical diagnostic labs, universities, research institutions and government agencies. Our products and services help accelerate the pace of scientific discovery, and solve challenges ranging from complex research to routine testing to field applications.

Summary of Internship
The Software and Bioinformatics organization supports the development of novel applications for the Ion Torrent semiconductor DNA sequencing system. High-performance and reliable bioinformatics workflows are essential for bringing customers from data to actionable insights in fields including Oncology, Infectious Diseases and Reproductive Health.

The Bioinformatics Internship position provides an opportunity for students who are currently pursuing a quantitative discipline (such as Computer Science, Engineering, Bioinformatics, Statistics, etc) to get hands on experience working with bioinformatics scientists in a fast-paced environment. The bioinformatics intern will contribute to development projects and advance best design practices. The position starts in June, paid working 40 hours per week through August. Opportunity exists for this position to continue through the academic year on a part-time basis to allow for class schedules.

Essential Functions
Develop methods, databases, and web applications to support novel product development on the Ion Torrent semiconductor DNA sequencing system
Support a variety of software development activities and may be assigned to a variety of tasks throughout the department
Specific tasks will be tailored to the software interns experience level and abilities
A bioinformatics intern works under the close supervision of bioinformatics scientists, project managers, and software engineering manager
Skills and Abilities
Ability to work independently and as a member of a cross-functional team
Experience with linux or unix operating systems
Experience with scripting languages such as Python and R
Familiarity with SQL database and web applications development, Django framework
Strong written and verbal communication skills
Qualifications
Student currently enrolled in classes leading to a ABET accredited degree in a quantitative discipline (such as Computer Science, Engineering, Bioinformatics, Statistics, etc)
Experience in genomics, bioinformatics, Next-Generation Sequencing preferred but not necessary
At Thermo Fisher Scientific, each one of our 70,000 extraordinary minds has a unique story to tell. Join us and contribute to our singular mission—enabling our customers to make the world healthier, cleaner and safer. Apply today!

Thermo Fisher Scientific is an EEO/Affirmative Action Employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability or any other legally protected status.



If you are an individual with a disability who requires reasonable accommodation to complete any part of our application process, click here for further assistance.

Thermo Fisher Scientific is an EEO/Affirmative Action Employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability or any other legally protected status.","Carlsbad, CA 92009",Bioinformatics Intern – R&D,False
10,"Part-timeFull and part time bioinformatics annotator positions are available at MindSpec, Inc. We are currently developing additional interactive database modules for AutDB/SFARI Gene. Annotators will be responsible for extracting data from scientific literature using controlled vocabularies.

Qualifications:
We are seeking talented and motivated individuals interested in working in a multi-disciplinary team. Responsibilities include annotation of disease-related information for data mining and visualization. The positions offer an opportunity to work in the rapidly evolving area of multi-factorial disease biology in a flexible, dynamic research environment. Applicants must have an M.S. degree or higher in Bioinformatics/Molecular Biology/Neurobiology or related field with a strong knowledge of genetics and disease biology. Applicants should also have excellent written and oral communication skills; display good ability to work with others, and the ability to conduct assignments on multiple projects under tight deadlines.

How to Apply:
Please send cover letter and curriculum vitae to job@mindspec.org.","McLean, VA 22102",Bioinformatics Annotator,False
