,job_description,job_location,job_title,sponsored
0,"Overview
Description:
The Business Analyst is a key member of the Global ERP Program, and will help ensure that the SME’s configure and implement the Global single ERP solution (‘Nexus’) across the Waterlogic group and, in parallel, will lead the documentation of all configuration & set-up and document all necessary Business process flows.
The role will also support the Global Nexus Team in the testing and implementation of the overall global solution, this will involve document and achieving Business sign-off of all functional / operational business processes, support the creating of the Test Scripts / Test Cases, along with acceptance criteria to support UAT execution and sign-off.
Additionally, the Business Analyst will support the Functional / Operational SME’s in co-creating or updating the Global training material / collateral and supporting End User Training, as well as assisting the Functional SME’s during UAT, Go-Live and Post Go-live support.
This role will involve ownership, establishing rigor and governance on all templates, To-Be’ business processes and training materials, while supporting the global roll out of Nexus (within your agreed workstream(s) and responsibilities. Firstly, with the US & UK implementation expected to complete in 2019, following which the implementation will continue across other territories, with an emphasis on implementing Nexus into their larger markets (Australia & Germany) first, followed by other countries across the globe. National and Global travel will be required. (up to 50%)
Responsibilities
Responsibilities:
Create & manage all US Process (Visio Flows) and To-Be’ Business / Functional Processes.Document the US system configuration and Set-upInstall a Global ERP solution and a single standard way of workingEffective RAID Management (Risk & Issue tracking process - identification and resolution)Effective Management of Business / Functional SME’s assigned to your workstream(s)Manage all System Administration documentation and templates
Qualifications
Experience:
5+ years of successful business analyst experienceERP Implementation and/or Service industry experience preferred","Farmington, CT",Business Analyst,True
1,"Channel Control Merchants is now accepting applications for an experienced JUNIOR BUSINESS ANALYSTin Hattiesburg, MS!The successful candidate will take charge of a project and deliver results that make our company more profitable.Job Responsibilities: Ability to prepare for and lead meetings, must have good speaking and communication skillsIdentify business trends utilizing multiple sources of dataDesign, review, and analyze reports and data complications as requestedCompile analysis reports that are delivered to developers with follow-up on all emailsGather important company data and compile it into reports that district and departmental managers can useMust have the ability to work on multiple projects simultaneously and translate business data into digestible information that improves corporate processesFinance or retail background requiredMust be a self-starter, highly motivated and excellent follow throughExcel or other Business Information tool experience requiredPre-employment drug screen and background check required.Benefits include Health, Dental and Life Insurances, 401(k), Vacation and Holidays after meeting eligibility requirements.Job Type: Full-timeExperience:business analysis: 1 year (Required)","Hattiesburg, MS 39402",Junior Business Analyst,True
2,"Backed by three generations and over 40 years of experience in the natural products industry, Piping Rock is a true industry pioneer in the production and distribution of vitamins, nutritional supplements, essential oils and other health products. The company manufactures, packages, and ships our products in state-of-the-art facilities located in Long Island, New York. We're a family-owned company known for our incredible customer service and quality products, and we believe our associates make the difference.Technology Environment: The technology landscape includes: eCommerce applications (LAMP: Linux, Apache, MySQL, PHP); ERP business applications (MS Great Plains, Batch Master); and MS Office tools (Word, Excel, Visio, Project, Access, PowerPoint). Development methodology includes both Waterfall and Agile processes.Key Position Responsibilities:Assist Project Manager with the following:Collecting new business requestsGathering, validating and documenting business requirementsCoordinating project activities, to ensure projects are delivered on time, within budget, adhere to high quality standards, and meet customer expectationsMonitoring testing activities conducted by QA resources; and assist with user acceptance testingPreparing user documentation for end-user trainingSupporting development deployment activitiesMonitoring and summarizing progress of project(s) and preparing status reportsSkills/Qualifications: 2-5 years of Project Management and/or Business Analyst experienceExperience with MS Office tools (Word, Excel, Visio, Project, Access, PowerPoint)Good time management skillsVery good written, presentation and verbal communication skillsExcellent organizational skills; ability to plan and organize work activiitesProfessional and personable; ability to work collaboratively with colleagues at all levelsWilling to take initiative, deal with ambiguity and assume responsibilitySome working knowledge of PMI Project Management Processes and Knowledge Areas a plusEducation: Bachelor’s Degree in Computer Science, Information Systems, Business Administration or related field a plus.Job Type: Full-timeEducation:Bachelor's (Preferred)Work authorization:United States (Required)","Bohemia, NY 11716",Junior Project Manager/Business Analyst,True
3,"$55,000 - $65,000 a yearAre you ambitious, reliable, and experienced in business? Further your career as a Business Analyst by checking out this exciting opportunity through Robert Half Technology, looking to fill an opening at a growing, dynamic firm. Should you choose to apply, you ought to possess a strong technical skill set and be comfortable with the interpersonal aspects of the position. Based in the New York, New York area, this Business Analyst role is a full-time opportunity.

Responsibilities


Assist with creating documentation for software solutions, using a customer-focused approach
Craft thorough user stories and profiles
Work with development and QA teams to test and implement new corrections and improvements
Partner with designers on wire-frames, interactions, and user flows
Produce creative and accessible solutions for new product requirements
Assess and review business, technical, and functional requirements
Meet business goals by working closely with development team to invent and analyze product requirements
Awareness of usability and application performance considerations
embedded SQL experience desired
Experience integrating with API backends
Proven ability in developing requirements and product specifications for new or existing applications

","New York, NY 10004 (Financial District area)",Business Analyst,True
4,"$62,000 - $65,000 a yearWe are looking for Entry Level Business Analyst. The business analyst's primary objective is helping businesses implement technology solutions in a cost-effective way by determining the requirements of a project or program, and communicating them clearly to stakeholders, facilitators and partners.Responsibilities : Extensive use of form design software: designing and creating forms in both paper and web-fallible formats, developing corresponding instructions, and modifying & coding forms and bookletsDefining functional and system change requirements, updating and defining implementation guides & form specifications, and creating test casesTesting for content, scanner readability and placement for system processing, system changes, and file format layoutsSupporting the vendor community with upgrades and implementations to ensure standards and guidelines of the Agency are met.Qualification: Bachelors or Master’s DegreeMust be very proficient at Word and Excel.Familiarity with claims processing software is a plus.Strong problem solving and analytical skillsStrong verbal and written communication skills.Job Type: Full-timeSalary: $62,000.00 to $65,000.00 /yearEducation:Master's (Preferred)","Jersey City, NJ",Entry Level Business Analyst,False
5,"$65,000 - $68,000 a yearThe primary responsibility of an entry-level business analyst includes supporting data gathering and providing review and analysis of data. Other day-to-day duties include ensuring data integrity, participating in data quality control and validation, and producing requirements documents for various business development activities. An entry-level business analyst may also create and execute test scripts under supervision.Responsibilities: Gathers and synthesizes business objectives and translates them into requirementsProvides business expertise through the interpretation, synthesis, and translation of requirements throughout the systems development life cycleProvides input into detailed project estimates and work plansOrganizes and facilitates requirements and design review sessionsSupports and contributes to functional and user testingFacilitates the change control process for project requirementsIdentifies and escalates Issues and Risks that may impede projectQualifications: Bachelors or Master’s DegreeStrong Communication & Technical skillsResponsible, dependable, quick learnerDemonstrated ability to adapt to new technologyPreferred willingness to relocate nationwide in the US for projectJob Type: Full-timeSalary: $65,000.00 to $68,000.00 /year","California City, CA",Entry Level Business Analyst,False
6,"We are looking for Entry Level Business Analyst. Mostly we are looking recent graduates with no experience. The Business Analyst will monitor key metrics used to determine trends that will impact customers, act as an escalation point for customer issues and concerns, and work with product/development in evaluating defect priorities that impact customers. As an entry level Business Analyst you will be responsible for providing user support for the various applications developed by the Business Systems Development team.

Responsibilities: -


Perform enrollment activities for commercial, industrial, and residential customers
Identifying, tracking and processing exceptions and issues
Assist management and coworkers, following well-defined practices and procedures
Demonstrate a solid commitment to all aspects of safety
Conduct business-specific research, gather data, and compile reports and summaries
Provide sound internal and\/or external customer service
Actively seek formal and informal learning opportunities to better understand procedures (based on proficiency level above)

Qualifications:

Bachelors or Masters Degree
Knowledge of Microsoft Office tools, including Excel, PowerPoint, Access, and Word
Demonstrate a questioning attitude to learn, produce results, and develop relationships (based on proficiency level above)
Desire to continue to learn and grow, work across client, and deliver results (based on proficiency level above)

•","California City, CA 93505",Entry Level Business Analyst,False
7,"We are actively recruits graduates seeking entry level positions using a proven, personalized process to connect grads with great jobs, not with an app or an algorithm. Whether you are fresh out of college and looking for your first real job, or a few years out and looking to redirect your entry level career, we can help you. Our model focuses on finding the right candidate for each position.

We are currently recruiting for a Business Analyst position. This is a great entry level position with opportunities for professional growth and development.

Responsibilities Include:

Prepare financial reports.
Participate in improvement of master data management process.
Develop market research analysis.
Ensure and measure master data integrity.

Qualifications for Success:
Bachelor's degree required. All majors are encouraged to apply.

Strong analytical skills, work ethic, independence, problem solving ability, and positive attitude

Excellent oral and written communication skills

Strong organisational skills with the ability to multi-task","New York, NY 10010 (Gramercy area)",Entry Level Business Analyst,False
8,"$80,000 - $110,000 a yearWe are a growing IT/Software consulting firm that is looking for a Business Analyst to work on a major software project for a leading investment banking firm in NYC. The ideal candidate will have solid knowledge of Fedwire and has worked on the Cash/Commercial side of Banking.Top Reasons to Work with Us- Work with Fortune 500 companies on major software projects- Be part of an agile and collaborative team where you will learn something every day- Never be bored at work! You will be working on multiple projects, be exposed to cutting-edge technologies and always learn something new.What You Will Be Doing- Apply project management methodologies and SDLC tools to reflect business models and requirements- Manage changes to project plans, scope, timelines and budget- Traveling to client sites to complete projects- Gather business requirements by interfacing with customers, stakeholders, and internal staff- Work with technical teams to translate business requirements into technical solutionsWhat you Need- 3-5 years of experience as a Business Analyst- Knowledge of Fedwire- Demonstrated expertise on the cash/commercial banking side- Expertise with Excel and Data Analysis- Ability to multi-task and thrive in a fast-paced environment- Excellent written and verbal communication skillsNice to Have- Work experience in-house or as a service provider to investment firms/managersJob Type: Full-timeSalary: $80,000.00 to $110,000.00 /yearExperience:Fedwire: 1 year (Required)investment management or commercial banking: 1 year (Required)business analyst: 3 years (Preferred)Work authorization:United States (Required)","New York, NY",Business Analyst,False
9,"The Business Analyst is responsible for the set of tasks and techniques used to understand the structure, policies, and operations of the organisation, and to recommend automated solutions that enable the organisation to achieve its goals. The role has expertise and a generalised understanding of the IT organisation's systems and capabilities.

Responsibility:

Intermediate analytic and problem solving skills.
Ability to effectively participate in teams to solve a business problem.
Must be able to listen and interpret needs of diverse groups.
Ability to effectively present information and respond to questions from business service partners and senior managers.
Solid command of MS Office software (particularly MS Excel).
Strong written and oral communication, analytical and documentation skills.
Must demonstrate effective problem solving, and leadership skills.

Qualifications:

Bachelor's or Master's Degree
Strong Communication & Technical skills
Responsible, dependable, quick learner
Demonstrated ability to adapt to new technology

","Princeton, NJ 08540",Entry Level Business Analyst,False
