,job_description,job_location,job_title,sponsored
0,"Given substantial growth and impact at Crowe, the machine learning team has formed into an official unit, Advanced Data Science (ADS), which is responsible for all machine learning and artificial intelligence throughout the firm. This team works on a wide variety of projects utilizing numerous areas of machine learning, including: supervised regression/classification, unsupervised learning, anomaly detection, NLP, reinforcement learning, deep learning, forecasting, etc.

Leverage large sets of structured and unstructured data to develop tactical and strategic insights. Collaborate with analytic and data teams to set objectives, approaches, and work plans. Research and evaluate new analytical methodologies, approaches, and solutions. Develop and validate statistical forecasting models and tools. Interpret and communicate analytic results to analytical and non-analytical business partners and executive decision makers.","Indianapolis, IN 46240",Data Scientist,True
2,"At EMC, you'll put your skills to good use as an important member of our team. You can count on gaining valuable experience while contributing to the company's success. EMC strives to hire and retain the best people by engaging, developing and rewarding employees.

Essential Functions:
Builds models to improve profitability, discover business insights and identify opportunities through the use of statistical, algorithmic, mining and visualization techniques
Solves problems by integrating customers’ past experience, cutting edge analytical techniques, and advanced technology
Integrates, analyzes and models data across claims, underwriting, actuarial and risk improvement departments
Performs exploratory data analysis from multi-dimensional datasets to develop innovative solutions
Analyzes company data to recognize patterns, identify opportunities for efficiency, pose questions, and make recommendations that add value
Communicates with internal and external customers to obtain business problem clarity and develop appropriate solutions throughout project lifecycles
Determines data quality activities based on project needs

Education & Experience:
Graduate degree in actuarial science, mathematics, statistics, economics, computer science, finance or a related field or graduate coursework and equivalent work experience in predictive modeling
Two years of experience in data science, predictive modeling or analytics research
Actuarial credentials in Casualty Actuarial Society or Society of Actuaries preferred

Knowledge, Skills & Abilities:
Working knowledge of big data, statistics/probability and computer programming
Internet of Things knowledge preferred
Strong analytical, investigation and problem solving abilities
Good working knowledge of Excel and Word
Excellent knowledge of statistical software such as R or SAS and database software, such as Access and SQL
Self-direction and teamwork skills
Strong verbal and written communication skills
Occasional travel required; a valid driver’s license with an acceptable motor vehicle report per company standards required if traveling



Our employment practices are in accord with the laws which prohibit discrimination due to race, color, creed, sex, sexual orientation, gender identity, genetic information, religion, age, national origin or ancestry, physical or mental disability, medical condition, veteran status, citizenship status, marital status or any other consideration made unlawful by federal, state, or local laws.

All of our locations are tobacco free including in company vehicles.","Des Moines, IA",Data Scientist,True
3,"Are you looking for a job in a growing industry with new products, new markets and new technology?

With locations across the country, Amica Mutual Insurance Company offers opportunities to join this dynamic field with a financially strong and respected insurance provider. Amica, based in Lincoln, RI, is a national writer of auto, home, marine and umbrella insurance. Amica Life Insurance Company, a wholly owned subsidiary, offers a full line of life insurance products.


We are recognized as a leader in customer service and credit this success to our 3,700 employees in 44 offices across the country. Our benefits package includes high-quality medical, dental and vision coverage, short-term and long-term disability insurance and more.

Our office located in Lincoln, RI is seeking an Associate Modeling Research Analyst to help further our data science and analytics capabilities. The Claims Business Intelligence team’s mission is to provide current, comprehensive, and accurate information empowering Amica to make the best business decisions possible.

The selected candidate will combine insightful data analysis and algorithm development with exceptional communication skills in order to drive business value from structured and unstructured data. Will be responsible for shaping and executing analyses, and preparing clear and concise presentations.

Job Functions and Responsibilities:

Use machine learning, hypothesis testing, and other data science techniques to develop solutions and positively impact the CompanyDetermine requirements, evaluating analytical approaches, and producing predictive models using appropriate software
Create useful insights and compelling stories from structured and unstructured data
Communicate and document statistical analyses and methods in a logical and understandable manner for non-analytical business users and executive decision makers
Provide technical leadership, mentoring, and training to staff in statistical modeling and data analysesAssist with supervision of all processes involved with the development of multivariate modelsCollaborate on the development and planning of analytic projects in response to business needsContribute to the development of data models for mining production databasesParticipate in development of the analytics roadmap by evaluating and incorporating emerging standards, best practices, and new technologiesMake recommendations on products and services to support structured and unstructured data miningDemonstrate strong business acumen and understanding of insurance conceptsEnsure accuracy of results and analytic methodsPerform other job-related duties as necessary

Job Requirements:

Bachelor’s degree in Statistics, Mathematics, Economics or similar discipline (Master's degree preferred)
3+ years recent, hands-on experience working with data mining tools (SAS, SPSS, R Studio, Python, or an equivalent analytics package)Proficiency with logistic regression, time series, neural networks, forecasting, optimization, and other predictive modeling techniquesExpertise in text and sentiment analysisExperience manipulating large amounts of data using SQLExceptional communication and presentation skillsAbility to translate business needs into technical requirementsSuperior analytical, mathematical, and problem solving skillsAbility to work with a reasonable degree of independence and with a teamEffectively manage time to handle competing high priority projectsExperience using Business Intelligence tools (MicroStrategy) and creating data visualizations is a plusKnowledge of Claims Processing systems (Guidewire ClaimCenter) is a plus

Equal Opportunity Policy: All qualified applicants who are authorized to work in the United States will receive consideration for employment without regard to race, religion, sex, color, national origin, ethnicity, age, genetic information, disability or sexual orientation. The Age Discrimination in Employment Act prohibits discrimination on the basis of age with respect to individuals who are 40 years of age or older. Employees are subject to the provisions of the Workers' Compensation Act.

*cb*

IND15","Lincoln, RI",Data Scientist,True
4,"Ascensia Diabetes Care is a global specialist diabetes care company, dedicated to helping people living with diabetes. Our mission is to empower people living with diabetes through innovative solutions that simplify and improve their lives. We use our innovation and specialist expertise in diabetes to develop high quality solutions and tools that make a positive, daily difference for people with diabetes.

POSITION PURPOSE: The ideal candidate will be intricately involved in running analytical experiments in a methodical manner and will regularly evaluate alternate models via theoretical approaches. Responsibilities include analyses of various data streams, utilization of large data sets to determine unique insights to further business needs. This includes finding innovative ways to combine fields of data that don’t naturally mesh together as well as exploratory data analysis in order to navigate a dataset and come out with conclusions based on certain assumptions. Creation of meaningful data visualizations that communicates findings and relate them back to how your insights create business impact.

Work autonomously and be comfortable building projects from start to finish. Position participates in projects and makes proposals for new and innovative projects within the R&D environment. Uses expertise gained through a wide exposure of previous assignments and by focusing on areas for planning, scheduling, organizing, performance management, financial management and administrative skills.

MAJOR TASKS AND RESPONSIBILITIES OF POSITION:

Research and develop statistical learning models for data analysis
Analyze business needs and produce results that meet strategic objectives
Optimize information architecture to promote usability, while accommodating technical needs/constraints.
Understands and ensures strict compliance to applicable processes; collaborates to ensure cross-functional process requirements e.g., regulatory are met.
Collaborate with product management and engineering departments to understand company needs and devise possible solutions
Possess ability to present, interpret, and recommend to senior management the results of work including the development including the development of new concepts, major advances in technology, new major applications, and progress on all product programs.
Keep up-to-date with latest technology trends.
Implement new statistical or other mathematical methodologies as needed for specific models or analysis.

QUALIFICATIONS:

Experience in a fast-paced software development environment, and an ability to execute against aggressive timelines
Proven ability to influence cross-functional teams without formal authority
Highly creative and inquisitive; able to multitask effectively
Deep knowledge of statistical tests, distributions, maximum likelihood estimators
Sound experience with Python and/or R
Experience with statistical programming languages and a database querying language like SQL.
Experience with machine learning methods like k-nearest neighbors, random forests, ensemble methods and more.
Data-driven problem-solver
Degree in Computer Science, Engineering, Statistics, Technical Science or 4+ years of IT/Programming experience
Experience in and understanding of data and information management, especially in Big Data trends
Health care industry experience is a plus
Experience with development in regulated environment is a plus
Experience with medical devices or software is a plus
MS: 4 years of experience
BS: 6 years of experience

IND123

YOUR APPLICATION:
Ascensia offers a wide variety of competitive compensation and benefits programs. If you meet the requirements of this unique opportunity, and are driven by innovation and the desire to improve the lives of our patients, we encourage you to apply now. Job postings will remain open for a minimum of five business days and are subject to immediate closure thereafter without additional notice.

TO ALL RECRUITMENT AGENCIES:
Ascensia does not accept unsolicited third party resumes.

Ascensia is an Equal Opportunity Employer.

FOR CANADA:
Ascensia Diabetes Care Canada Inc. welcomes and encourages applications from people with disabilities. Canadians participating in our selection process requiring accommodation due to a disability or medical need are encouraged to notify the Ascensia representative that they will be meeting with to ensure appropriate arrangements can be made.","Valhalla, NY",Data Scientist,True
5,"$90 - $95 an hourContractDescription: building and deploying Analytic models (Data Wrangling/ Analysis/Cleansing, buildingdescriptive and predictive models) in IBM/open platformsMust have skills: Building Analytic/Machine Learning /Deep Learning ModelsNLP/Watson Knowledge Studio/Watson DiscoveryPython, Apache Spark, Sci-Kit Learn / similar librariesSPSS ModellerWatson ML/ Watson Data StudioDSXJob Type: ContractSalary: $90.00 to $95.00 /hourExperience:Spark: 1 year (Preferred)Natural Language Processing: 1 year (Required)SPSS: 1 year (Required)Python: 1 year (Required)Watson: 1 year (Required)","Durham, NC",Data Scientist w/ Watson Experience,True
6,"Fora Financial, located in NYC, is a leading financial services company providing working capital to small and mid-size businesses nationwide.
Established in 2008, we support small businesses in need of financing to sustain or grow their enterprise by providing innovative, customized, and flexible working capital solutions. We operate through a consultative approach, listening to customers and providing what best meets their needs in an ever-changing financial market. To date, Fora Financial has funded over 22,000 individual transactions to more than 15,000 unique customers. The company has funded over $750 million in working capital solutions for small businesses since its inception.
A Day in the Life of a Data Scientist:

Build predictive models including but not limited to credit risk. fraud, response, and offer acceptance propensity
Perform through testing and validation of models and support various aspects of the business with data analytics
Identify new data sources/patterns that add significant lift to predictive modeling capabilities
Conduct analysis and turn insights into actionable changes for predictive models or policies
Develop analytics and advanced visualization to assist with portfolio surveillance. Typical functions are loss forecasting, mix management, risk appetite management, collections strategy, and reporting related to KPIs that affect portfolio surveillance such as non-performance, loss rates and loss severity
Partner with IT to integrate and productionize new data sources for modeling use

What You Have:
B.S. degree or higher in Statistics, Applied Math, Computer Science, Engineering or other quantitative program
3 years minimum experience with credit risk modeling; 5 years minimum preferred
Proven track record of building new models and improving existing models
Deep understanding of consumer credit report variables/attributes at both summary and tradeline level
Experience with small business lending and portfolio management is a plus
Passionate about solving problems with data and high level of intellectual curiosity
Thorough understanding of statistical modeling techniques
Proficiency in at least one of the following languages: R, SAS, SQL, Python
Highly motivated to work on multiple projects in parallel and team player with a start up spirit
Solid written and oral communication skills and ability to share findings with non-technical audience


The Benefits of Working for Fora Financial:
A good work/life balance
Medical, Dental, Vision Coverage
401K Match
Life Insurance at No Cost to Employees
Generous Time Off Plan Including Rollover Vacation Days
Commuter Benefits
Health Care and Dependent Care Flexible Spending","New York, NY",Data Scientist,True
7,"Req ID: 32813

At NTT DATA Services, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees are key factors in our company’s growth, market presence and our ability to help our clients stay a step ahead of the competition. By hiring the best people and helping them grow both professionally and personally, we ensure a bright future for NTT DATA Services and for the people who work here.

NTT DATA Services currently seeks a Data Scientist - Big Data to join our team in Durham, North Carolina (US-NC), United States (US).

Day to Day job Duties: (what this person will do on a daily/weekly basis)

Evaluate trends, characterize factors, develop predictive models, and identify optimization opportunities.
Provide accurate, timely, relevant and quality analysis that translate data into sound organizational decisions.
Research, design and prototype robust and scalable models based on machine learning, data mining, and statistical modeling to answer key business problems.
Build tools and support structures needed to analyze data, perform elements of data cleaning, feature selection and feature engineering and organize experiments in conjunction with best practices.
Work with development teams & business groups to ensure models can be implemented as part of a delivered solution replicable across many clients.
Present findings to stakeholders to drive improvements and solutions from concept through to delivery.

Basic Qualifications: (what are the skills required to this job with minimum years of experience on each)

Data Scientist-Hadoop: 3-5 years
Strong skills in software prototyping and engineering with expertise in applicable programming and analytics languages (Python, R, C/C++) and various open source machine learning and analytics packages to generate deliverable modules and prototype demonstrations of their work
SQL programming skills
Experience with design and implementation of analytic models and methodologies for new applications.
Experience with data visualization tools (e.g. Tableau)
Experience with large and complex data sets
Demonstrated ability to propose novel solutions to problems, performing experiments to show feasibility of their solutions and working to refine the solutions into a real-world context
Strong analytical, written, and verbal communication skills

Travel: Need Locals
Degree: Bachelors in Computer Science or equivalent work experience

Desirable Skills / Experience:

PhD in computer science, computer engineering or MS with 3+ years of experience in related field.
Deep knowledge of fundamentals of machine learning, data mining and statistical predictive modeling, and extensive experience applying these methods to real world problems
Desired interdisciplinary skills include big data technologies, ETL, statistics and causal inference, Deep Learning, modeling and simulation
Breadth of skills and experience in machine learning – diverse types of data, diverse data sources, different types of learning models, diverse learning settings
Experience in Healthcare domain

This position is only available to those interested in direct staff employment opportunities with NTT DATA, Inc. or its subsidiaries. Please note, 1099 or corp-2-corp contractors or the equivalent will NOT be considered. We offer a full comprehensive benefits package that starts from your first day of employment.

About NTT DATA Services

NTT DATA Services partners with clients to navigate and simplify the modern complexities of business and technology, delivering the insights, solutions and outcomes that matter most. We deliver tangible business results by combining deep industry expertise with applied innovations in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services.

NTT DATA Services, headquartered in Plano, Texas, is a division of NTT DATA Corporation, a top 10 global business and IT services provider with 118,000+ professionals in more than 50 countries, and NTT Group, a partner to 88 percent of the Fortune 100. Visit nttdataservices.com to learn more.

NTT DATA, Inc. (the “Company”) is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, gender identity, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result.","Durham, NC",Data Scientist - Big Data,True
8,"$94,000 - $139,000 a year (Indeed Est.) ContractHere at Fooji, the food doesn't just give itself away. We've got a strong team of engineers behind the scenes managing our platform, and we want you to get in on this.
We're looking for a contract Data Scientist who has practical experience performing data mining, and who can quickly get to work on a new problem. You should already have a set of tools that you are experienced with; of course this does not rule out learning new tools if they will be more appropriate for the problem-space at hand.
Initially the position will be very much an exploratory one, so you need to have the initiative to work independently and build some interesting models without a huge amount of hand holding. Obviously we will give you initial guidance, but you must be able to go away and come back with statistically significant findings. We are not expecting you to do the impossible: if you can prove that certain models cannot be built given the current data set, fine. This is also an interesting finding.
If you do not live near our Lexington, Kentucky HQ, you may work remotely.
Requirements
We expect you to be familiar with the following technologies:
Git
SQL
Solid experience in one programming language relevant for your work
Familiarity with a toolbox of relevant open source libraries
Open source contributions are always appreciated.
If you've got a GitHub profile, that really helps expedite the hiring process so please include it with your application.",Remote,Data Scientist (contract),False
9,"$50,000 - $65,000 a yearAbout the Role: This is a rare opportunity to join a small but fast-growing team, where you will play a major role in shaping Biz2Credit’s future. We’re looking for an exceptional candidate that is excited about the opportunity to build a next-generation financial services business. We believe that there is a tremendous opportunity to leverage cutting-edge data science to inform smarter, faster decision making.As a Biz2Credit Data Scientist, you will shape the company’s data-centric culture, work closely with our engineering team to develop our analytics infrastructure, and collaborate closely with our Chief Data Officer on developing, validating, and automating our customer conversion and underwriting models. While a background in financial services is not required, you must be passionate about tackling complex data challenges for the benefit of small and medium businesses everywhere.YOU WILL:Drive the ongoing advancement and refinement of Biz2Credit’s credit decisioning & pricing model - optimizing risk and return while dramatically reducing decision cycle times.Continuously evaluate alternative data sources and structures to document and improve the efficacy of our customer conversion models and processes.Harness the power of Biz2Credit’s technology to proactively identify emerging risks as well as opportunities with our customers.Play a leadership role in the design and implementation of ongoing operational and risk reporting and analytics.Work on data projects and proposals involving Biz2Credit’s financial services partners worldwide (banks, non-banks, debt investors, equity investors and others) to analyze, classify and visualize credit-related dataWE'RE LOOKING FOR SOMEONE WITH:Degree in Statistics, Applied Mathematics, Engineering, Computer Science or other quantitative fields from leading university; Advanced degree preferred2- 4 years experience performing quantitative analysis within self-directed roles.Practical hands-on experience in the development and implementation of new predictive models and comfortable in learning new statistical tools and techniques.Ability to visualize and communicate sophisticated data and models to all audiences.Specific demonstrated experience, knowledge, accuracy and speed of execution in Powerpoint, Excel, Excel VBA and R (knowledge of other programming knowledge and/or Stata is a plus) Highly motivated, versatile, capable of working independently with demonstrated initiativeJob Type: Full-timeSalary: $50,000.00 to $65,000.00 /yearExperience:STATA: 1 year (Preferred)Quantitative Analysis: 1 year (Preferred)Excel: 1 year (Preferred)Microsoft Powerpoint: 1 year (Preferred)R: 1 year (Preferred)Education:Bachelor's (Preferred)Work authorization:United States (Required)","New York, NY",Data Scientist,False
10,"Description:

Hearts & Science has been inspired by confident marketers seeking business advantage in a world of personalized digital marketing, where CRM and addressable channels converge, and decisions must be made in real time to aggregate effective reach and deliver the right message at the right time.

Designed to inform brand strategies with real-time insights, Hearts & Science is a data-driven marketing agency with expert media planning and buying capabilities, among other services that include shopper marketing, marketing innovation and content activation. The following are the responsibilities and duties of the Data Scientist.

As every CMO knows, employing technology, data and analytics to business challenges is the cost of entry, not a nice-to-have. Unlocking the value of consumer data can deliver growth, revenue and ROI, and create differentiation to stay on top. Real-time action is instrumental in driving results within a highly fragmented marketplace. Hearts & Science’s Marketing Science solutions are built to deliver insightful results with speed, accuracy and a single version of the truth. In leveraging the DNA of a marketing agency with a talent pool of developers, data scientists and Ph.Ds, we hold a unique position in the increasingly crowded ad tech and consulting space.

Core responsibilities include, but are not limited to the following:
Explorating and experimentating with large number of datasets to draw insights and search for stories
Modeling and building algorithms on top of our vast number of datasets
Assist in designing tech infrastructure and data pipelines (ETL, data automation, data querying, etc.)
Building tools to process, visualize and analyze data
Designing and building data-driven software products
Deploying scalable solutions to a cloud-based infrastructure

Desired Qualifications
Good understanding of advertising technology and landscape, including external data providers and data management platforms
1-3 years developing analytic projects
Strong written and verbal communication skills; thrive in a rapidly-evolving environment
Industry experience with predictive modeling, databases, computational simulation, clustering, machine learning, and remote computing, e.g., Amazon AWS
Experience with Python (numpy, scikit, matplotlib, and pandas packages), SQL, bash, R, and other similar statistical computational environments
Exposure to Javascript, HTML/CSS, XML, Hadoop, and parallel processing","New York, NY",Data Scientist,False
