Well_ft,Tide_ft,Rain_ft
3.05,0.965,0.0052291665
3.05,0.358,0.0047083335
3.06,-0.14400000000000002,0.0050833334999999995
3.06,-0.623,0.005770833499999999
3.09,-0.9940000000000001,0.0017083332500000001
3.16,-1.168,0.00558333325
3.16,-0.846,0.0019375002499999999
3.24,-0.509,0.00175
3.51,0.125,0.000375
3.55,0.584,0.00604166675
3.55,1.047,0.0009166665000000001
3.71,1.319,0.00175
3.76,1.23,0.00233333325
3.76,0.938,0.00152083325
3.76,0.43,0.003875
3.76,0.0,0.0011041665
3.76,-0.387,0.0
3.77,-0.564,0.0
3.77,-0.47600000000000003,0.00041666699999999996
3.77,-0.174,0.0005833332500000001
3.77,0.358,0.00131250025
3.77,0.804,0.0018333335
3.78,1.253,0.0
3.83,1.5190000000000001,8.333325000000001e-05
3.83,1.496,0.0
3.83,1.05,0.0
3.83,0.627,0.0
3.83,0.249,0.0
3.83,-0.27899999999999997,0.0
3.83,-0.61,0.0
3.83,-0.755,0.0
3.83,-0.623,0.0
3.83,-0.11800000000000001,0.0
3.83,0.42700000000000005,0.0
3.83,0.85,0.0
3.83,1.286,0.0
3.83,1.545,0.0
3.83,1.5119999999999998,0.0
3.83,1.1320000000000001,0.0
3.83,0.6629999999999999,0.0
3.83,0.299,0.0
3.82,-0.043,0.0
3.82,-0.282,0.00016666650000000003
3.73,-0.24,0.0
3.73,0.003,0.0
3.73,0.449,0.0
3.73,0.8370000000000001,0.0
3.73,1.148,0.0
3.73,1.371,0.0
3.7,1.345,0.0
3.7,1.0170000000000001,0.0
3.7,0.604,0.0
3.7,0.125,0.0
3.67,-0.285,0.0
3.67,-0.633,0.0
3.67,-0.82,0.0
3.67,-0.741,0.0
3.65,-0.377,0.0
3.65,0.10800000000000001,0.0
3.65,0.479,0.0
3.65,0.8140000000000001,0.0
3.65,1.06,0.0
3.6,1.063,0.0
3.6,0.784,0.0
3.59,0.35100000000000003,0.0
3.57,0.01,0.0
3.57,-0.33799999999999997,0.00072916675
3.57,-0.551,0.0014791667500000001
3.55,-0.5870000000000001,0.001
3.55,-0.374,0.0014375
3.55,0.039,0.0
3.55,0.39,0.0
3.53,0.7120000000000001,0.0
3.53,0.968,0.0
3.53,1.037,0.0
3.53,0.8270000000000001,0.0
3.53,0.384,0.0
3.53,-0.03,0.0
3.47,-0.397,0.0
3.47,-0.696,0.0
3.47,-0.843,0.0
3.47,-0.768,0.0
3.47,-0.44,0.0
3.47,0.055999999999999994,0.0
3.47,0.39399999999999996,0.0
3.39,0.735,0.0
3.39,1.037,0.0
3.39,1.102,0.0
3.39,0.9059999999999999,0.0
3.37,0.47600000000000003,0.0
3.37,0.102,6.25e-05
3.37,-0.23600000000000002,0.0
3.37,-0.469,0.0
3.33,-0.495,0.0
3.33,-0.299,0.0
3.33,0.085,0.0
3.33,0.43,0.0
3.33,0.804,0.0
3.3,1.129,0.0
3.3,1.247,0.0
3.3,1.06,0.0
3.3,0.745,0.0
3.3,0.249,0.0
3.3,-0.154,0.0
3.3,-0.502,0.0
3.3,-0.6659999999999999,0.0
3.3,-0.659,0.0
3.3,-0.361,0.0
3.3,0.131,0.001875
3.25,0.47200000000000003,0.001125
3.25,0.86,0.0
3.25,1.122,0.0
3.25,1.2009999999999998,0.0
3.25,0.938,0.0
3.25,0.486,0.0
3.25,0.07200000000000001,0.0
3.25,-0.282,0.0
3.25,-0.568,0.0
3.25,-0.5539999999999999,0.0
3.25,-0.361,0.0
3.25,0.055999999999999994,0.00047916675000000004
3.25,0.413,0.0
3.25,0.787,0.0
3.25,1.1059999999999999,0.0
3.25,1.161,0.0
3.25,1.063,0.0
3.19,0.758,0.0
3.19,0.308,0.0
3.19,-0.105,0.0
3.19,-0.47600000000000003,0.0
3.19,-0.659,0.0
3.19,-0.65,0.0
3.19,-0.374,0.0
3.19,0.075,0.0
3.19,0.47200000000000003,0.0
3.19,0.892,0.0
3.19,1.1520000000000001,0.0
3.19,1.24,0.0
3.19,0.997,0.0
3.19,0.535,0.0
3.19,0.121,0.0
3.19,-0.243,0.0
3.11,-0.489,0.0
3.11,-0.522,0.0
3.11,-0.33799999999999997,0.0
3.11,0.079,0.0
3.11,0.486,0.0
3.11,0.863,0.0
3.11,1.24,0.0
3.11,1.3780000000000001,0.0
3.11,1.204,0.0
3.11,0.7509999999999999,0.0
3.11,0.285,0.0
3.11,-0.14800000000000002,0.0
3.11,-0.528,0.0
3.11,-0.7090000000000001,0.0
3.11,-0.594,0.0
3.11,-0.289,0.0
3.11,0.14400000000000002,0.0
3.11,0.515,0.0
3.11,0.9059999999999999,0.0
3.11,1.188,0.0
3.11,1.122,0.00025
3.11,0.8009999999999999,0.0
3.11,0.364,0.0
3.11,-0.10800000000000001,0.0
3.11,-0.48200000000000004,0.0
3.11,-0.732,0.0
3.11,-0.764,0.0
3.11,-0.5579999999999999,0.0
3.1,-0.08900000000000001,0.0
3.1,0.33799999999999997,0.0
3.01,0.764,0.0
3.01,1.079,0.0
3.01,1.148,0.0
3.01,0.968,0.0
3.01,0.522,0.0
3.01,0.026000000000000002,0.0
3.01,-0.39399999999999996,0.0
3.01,-0.738,0.0
3.01,-0.8959999999999999,0.0
3.01,-0.778,0.0
3.01,-0.384,0.0
3.01,0.131,0.0
3.01,0.5710000000000001,0.0
3.01,0.981,0.0
3.01,1.198,0.0
3.01,1.1059999999999999,0.0
3.01,0.7020000000000001,0.0
3.01,0.203,0.0
3.01,-0.266,0.0
3.01,-0.643,0.0
3.01,-0.873,0.0
2.96,-0.7909999999999999,0.0
2.96,-0.495,0.0
2.96,-0.006999999999999999,0.0
2.96,0.40399999999999997,0.0
2.96,0.843,0.0
2.96,1.1840000000000002,0.0
2.96,1.214,0.0
2.95,0.883,0.0
2.95,0.348,0.0
2.95,-0.131,0.0
2.95,-0.5479999999999999,0.0
2.95,-0.866,0.0
2.95,-0.9279999999999999,0.0
2.95,-0.6990000000000001,0.0
2.95,-0.19699999999999998,0.0
2.95,0.24,0.0
2.95,0.6729999999999999,0.0
2.95,1.0270000000000001,0.0
2.95,1.099,0.0
2.95,0.8140000000000001,0.0
2.95,0.315,0.0
2.95,-0.128,0.0
2.95,-0.5770000000000001,0.0
2.95,-0.915,0.0
2.95,-1.037,0.0
2.95,-0.9059999999999999,0.0
2.83,-0.512,0.0
2.83,0.026000000000000002,0.0
2.83,0.47600000000000003,0.0
2.83,0.8959999999999999,0.0
2.83,1.148,0.0
2.83,1.047,0.0
2.83,0.568,0.0
2.83,0.062,0.00083333325
2.83,-0.36700000000000005,0.0
2.83,-0.7709999999999999,0.0
2.83,-1.0070000000000001,0.00027083325000000003
2.83,-0.971,0.0023333335
2.83,-0.65,0.0001875
2.83,-0.184,0.0
2.83,0.233,0.0
2.82,0.623,0.00089583325
2.82,0.8759999999999999,0.0
2.79,0.82,0.0
2.79,0.436,0.0
2.79,-0.115,0.0
2.79,-0.551,0.0
2.79,-0.9740000000000001,0.0
2.79,-1.23,0.0
2.79,-1.25,0.0
2.79,-0.981,0.0
2.79,-0.48200000000000004,0.0
2.79,0.01,0.0
2.79,0.469,0.0
2.79,0.863,0.0
2.79,1.037,0.0
2.79,0.8270000000000001,0.0
2.79,0.292,0.0
2.71,-0.184,0.0
2.71,-0.584,0.0
2.71,-0.8759999999999999,0.0
2.71,-0.997,0.0
2.71,-0.8690000000000001,0.0
2.71,-0.449,0.0
2.71,0.049,0.0
2.71,0.46299999999999997,0.0
2.71,0.853,0.0
2.71,1.004,0.0
2.71,0.8009999999999999,0.0
2.71,0.249,0.0
2.71,-0.233,0.0
2.71,-0.669,0.0
2.71,-1.0270000000000001,0.0
2.71,-1.181,0.0
2.71,-1.089,0.0
2.71,-0.732,0.0
2.71,-0.21,0.0
2.71,0.249,0.0
2.71,0.6890000000000001,0.0
2.71,0.932,0.0
2.71,0.935,0.0
2.71,0.5379999999999999,0.0
2.71,-0.02,0.0
2.71,-0.44,0.0
2.71,-0.833,0.0
2.71,-1.07,0.0
2.71,-1.0659999999999998,0.0
2.71,-0.768,0.0
2.71,-0.331,0.0
2.71,0.069,0.0
2.71,0.469,0.0
2.71,0.7509999999999999,0.0
2.71,0.7709999999999999,0.0
2.71,0.40399999999999997,0.0
2.71,-0.075,0.0
2.71,-0.512,0.0
2.71,-0.9420000000000001,0.0
2.71,-1.214,0.0
2.71,-1.2570000000000001,0.0
2.71,-1.03,0.0
2.71,-0.594,0.0
2.71,-0.105,0.0
2.71,0.33799999999999997,0.0
2.71,0.705,0.0
2.71,0.883,0.0
2.71,0.774,0.0
2.71,0.325,0.0
2.71,-0.21,0.0
2.71,-0.6729999999999999,0.0
2.71,-0.961,0.0
2.71,-1.037,0.0
2.71,-0.902,0.0
2.67,-0.525,0.0
2.67,-0.151,0.0003541665
2.67,0.217,0.0004166665
2.67,0.5539999999999999,0.0001875
2.67,0.741,0.0
2.67,0.594,0.0
2.67,0.203,0.0
2.67,-0.272,0.0
2.67,-0.705,0.0
2.67,-1.02,0.0
2.67,-1.175,0.0
2.67,-1.109,0.0
2.67,-0.82,0.0
2.67,-0.36700000000000005,0.0
2.67,0.062,0.0
2.67,0.502,0.0
2.67,0.807,0.0
2.67,0.856,0.0
2.67,0.591,0.0
2.67,0.085,0.0
2.67,-0.341,0.00022916675
2.67,-0.7090000000000001,0.00097916675
2.67,-0.9059999999999999,0.0004166665
2.67,-0.968,0.0
2.67,-0.7020000000000001,0.0
2.67,-0.35100000000000003,0.0
2.67,0.02,0.0
2.67,0.40399999999999997,0.000125
2.67,0.6759999999999999,0.0
2.67,0.7509999999999999,0.0
2.67,0.531,0.0
2.64,0.03,0.0
2.64,-0.423,0.0
2.64,-0.7809999999999999,0.0
2.64,-1.01,0.0
2.64,-1.089,0.0
2.64,-0.9059999999999999,0.0
2.64,-0.568,0.0
2.64,-0.16699999999999998,0.0
2.64,0.2,0.0
2.64,0.528,0.0
2.63,0.722,0.0
2.6,0.715,0.0
2.6,0.377,0.0
2.6,-0.105,0.0
2.6,-0.423,0.0
2.6,-0.725,0.0
2.6,-0.8140000000000001,0.0
2.6,-0.705,0.0
2.6,-0.449,0.0
2.6,-0.138,0.0
2.6,0.19699999999999998,0.0
2.6,0.486,0.0
2.6,0.65,0.0
2.6,0.643,0.0
2.6,0.33799999999999997,0.0
2.6,-0.079,0.0
2.6,-0.479,0.0
2.6,-0.787,0.0
2.6,-1.02,0.0
2.6,-1.004,0.0
2.6,-0.797,0.0
2.6,-0.39,0.0
2.6,-0.01,0.0
2.6,0.344,0.0
2.6,0.617,0.0
2.6,0.732,0.0
2.6,0.597,0.0
2.6,0.2,0.0
2.6,-0.154,0.0
2.6,-0.42,0.0
2.6,-0.6659999999999999,0.0
2.6,-0.7190000000000001,0.0
2.6,-0.63,0.001
2.6,-0.361,0.00060416675
2.6,0.003,0.00022916650000000006
2.6,0.285,0.0
2.6,0.528,0.0
2.6,0.62,0.0
2.6,0.44,0.0
2.6,0.046,0.0
2.6,-0.302,0.0
2.6,-0.623,0.0
2.6,-0.892,0.0
2.57,-1.03,0.0
2.57,-1.04,0.0
2.57,-0.8170000000000001,0.0
2.57,-0.433,0.0
2.57,-0.095,0.0
2.57,0.249,0.00058333325
2.57,0.5379999999999999,0.017375
2.57,0.7090000000000001,0.0044375
2.65,0.322,0.0017499999999999998
2.65,0.033,0.00114583325
2.67,-0.305,0.00375000025
2.67,-0.561,0.0
2.67,-0.732,0.0
2.67,-0.774,0.0005416667499999999
2.67,-0.6459999999999999,0.0
2.67,-0.364,0.0
2.67,-0.102,0.0
2.67,0.128,0.0
2.67,0.318,0.0
2.67,0.371,0.00035416675000000004
2.67,0.223,0.0
2.67,-0.121,0.0
2.67,-0.449,0.0
2.67,-0.732,0.0
2.67,-1.004,0.0
2.67,-1.129,0.0
2.64,-1.0859999999999999,0.0
2.64,-0.807,0.0
2.64,-0.43,0.0
2.64,-0.125,0.0
2.64,0.157,0.0
2.64,0.377,0.0
2.64,0.433,0.0
2.64,0.262,0.0
2.64,-0.03,0.0
2.64,-0.308,0.0
2.64,-0.591,0.0
2.64,-0.7509999999999999,0.0
2.64,-0.8009999999999999,0.0
2.64,-0.6659999999999999,0.0
2.64,-0.374,0.0
2.64,-0.059000000000000004,0.0
2.59,0.19699999999999998,0.0
2.59,0.44,0.0
2.59,0.489,0.0
2.59,0.285,0.0
2.59,-0.01,0.0
2.59,-0.27899999999999997,0.0
2.59,-0.594,0.0
2.59,-0.8859999999999999,0.0
2.59,-1.01,0.0
2.59,-0.961,0.0004375
2.59,-0.682,0.00177083325
2.59,-0.381,0.0
2.59,-0.059000000000000004,0.0
2.59,0.223,0.0
2.59,0.502,0.0
2.59,0.495,0.0
2.59,0.226,0.0
2.59,-0.098,0.0
2.59,-0.371,0.0
2.59,-0.633,0.0
2.59,-0.8690000000000001,0.0
2.59,-0.968,4.166675e-05
2.59,-0.8690000000000001,0.00022916675
2.59,-0.584,0.0
2.59,-0.21,0.0
2.59,0.043,0.0
2.59,0.226,0.00041666675
2.59,0.36700000000000005,0.0012291665
2.59,0.11199999999999999,0.0010833335
2.59,-0.308,0.0
2.59,-0.617,0.0
2.59,-0.8959999999999999,0.0
2.59,-1.138,0.0
2.59,-1.2429999999999999,0.0
2.59,-1.178,0.0
2.59,-0.915,0.0
2.59,-0.584,0.0
2.59,-0.315,0.0
2.59,-0.033,0.0
2.52,0.174,0.0
2.52,0.23,2.0833325e-05
2.52,0.059000000000000004,0.0
2.52,-0.364,0.00010416674999999999
2.52,-0.7020000000000001,0.0
2.52,-1.014,8.333325000000001e-05
2.52,-1.263,0.0
2.52,-1.3219999999999998,0.0
2.52,-1.161,0.0
2.52,-0.843,0.0
2.52,-0.47600000000000003,0.0
2.52,-0.184,0.0
2.51,0.105,0.0
2.51,0.233,0.0
2.51,0.177,0.0
2.51,-0.203,0.0
2.51,-0.5870000000000001,0.0
2.51,-0.955,0.0
2.51,-1.27,0.0
2.51,-1.391,0.0
2.51,-1.296,0.0
2.51,-0.997,0.0
2.49,-0.6,0.0
2.49,-0.262,0.0
2.49,0.023,0.0
2.49,0.249,0.0
2.49,0.315,0.0
2.49,0.121,0.0
2.49,-0.377,0.0
2.49,-0.823,0.0
2.49,-1.198,0.0
2.49,-1.4569999999999999,0.0
2.49,-1.5119999999999998,0.0
2.49,-1.286,0.0
2.49,-0.925,0.0
2.49,-0.518,0.0
2.49,-0.157,0.0
2.49,0.154,0.0
2.49,0.315,0.0
2.49,0.161,0.0
2.49,-0.226,0.0
2.49,-0.6659999999999999,0.0
2.49,-1.0759999999999998,0.0
2.49,-1.3940000000000001,0.0
2.49,-1.5490000000000002,0.0
2.49,-1.444,0.0
2.49,-1.109,0.0
2.49,-0.653,0.0
2.49,-0.262,0.0
2.49,0.128,0.0
2.49,0.43,0.0
2.49,0.433,0.0
2.49,0.079,0.0
2.49,-0.45299999999999996,0.0
2.49,-0.883,0.0
2.49,-1.2890000000000001,0.0
2.41,-1.5519999999999998,0.0
2.41,-1.591,0.0
2.41,-1.3159999999999998,0.0
2.41,-0.843,0.0
2.41,-0.322,0.0
2.41,0.135,0.0
2.41,0.505,0.0
2.41,0.604,0.0
2.41,0.387,0.0
2.41,-0.098,0.0
2.4,-0.584,0.0
2.4,-1.0270000000000001,0.0
2.4,-1.4140000000000001,0.0
2.4,-1.604,0.0
2.4,-1.5290000000000001,0.0
2.4,-1.148,0.0
2.4,-0.607,0.0
2.4,-0.157,0.0
2.4,0.24600000000000002,0.0
2.4,0.489,0.0
2.4,0.42700000000000005,0.0
2.4,-0.043,0.0
2.4,-0.63,0.0
2.4,-1.115,0.0
2.4,-1.585,0.0
2.4,-1.844,0.0
2.4,-1.844,0.0
2.4,-1.499,0.0
2.4,-0.899,0.0
2.4,-0.315,0.0006458332499999999
2.4,0.233,0.0
2.4,0.561,0.0
2.4,0.755,0.0
2.4,0.528,0.0
2.4,-0.059000000000000004,0.0
2.4,-0.62,0.0
2.4,-1.089,0.0
2.4,-1.48,0.0
2.4,-1.696,0.0
2.4,-1.535,0.0
2.4,-1.093,0.0
2.4,-0.502,0.0
2.4,0.02,0.0
2.4,0.436,0.0
2.4,0.6559999999999999,0.000125
2.4,0.48200000000000004,4.166675e-05
2.4,-0.08199999999999999,0.0
2.4,-0.7020000000000001,0.0
2.4,-1.247,0.0
2.4,-1.742,0.0
2.4,-1.995,0.0
2.4,-1.982,0.000125
2.4,-1.6469999999999998,0.0
2.4,-1.03,0.0
2.4,-0.40700000000000003,0.0
2.4,0.171,0.0
2.37,0.584,0.0
2.37,0.7190000000000001,0.0
2.37,0.387,0.0
2.37,-0.299,0.0
2.37,-0.915,0.0
2.37,-1.3780000000000001,0.0
2.37,-1.765,0.0
2.37,-1.923,0.0
2.37,-1.699,0.0
2.37,-1.165,0.0
2.37,-0.574,0.0
2.35,-0.07200000000000001,0.00029166675
2.35,0.41,0.0014375
2.35,0.591,0.0023125000000000003
2.35,0.21,0.0032916665
2.35,-0.44299999999999995,0.0
2.35,-1.037,0.00077083325
2.35,-1.5719999999999998,0.0012500000000000002
2.35,-2.037,0.000125
2.35,-2.293,0.0
2.35,-2.182,0.00283333325
2.39,-1.722,0.00045833325
2.45,-1.063,0.00035416675000000004
2.45,-0.44299999999999995,0.00127083325
2.45,0.154,0.0025625
2.45,0.574,0.0011875000000000002
2.45,0.6559999999999999,0.0009583335
2.45,0.174,0.00254166675
2.47,-0.479,0.00060416675
2.61,-1.119,8.33335e-05
2.61,-1.526,8.33335e-05
2.61,-1.87,0.0
2.61,-1.995,0.00020833325000000003
2.61,-1.709,0.00091666675
2.61,-1.1420000000000001,0.0023333335
2.61,-0.531,0.0005416667499999999
2.63,-0.006999999999999999,0.0019166665000000002
2.63,0.374,0.00062499975
2.63,0.45299999999999996,0.0047291667499999995
2.63,0.02,0.0020000000000000005
2.76,-0.633,4.166675e-05
2.81,-1.0859999999999999,0.00066666675
2.81,-1.6469999999999998,0.0009166667499999999
2.8,-2.0869999999999997,0.000125
2.79,-2.254,0.00118750025
2.79,-2.106,0.0006666665
2.78,-1.611,0.0004166665
2.78,-0.915,0.0
2.78,-0.266,0.0
2.77,0.331,0.0
2.77,0.725,0.0
2.77,0.7609999999999999,0.0
2.77,0.249,0.0
2.77,-0.456,0.0
2.77,-1.0070000000000001,0.0
2.77,-1.483,0.0
2.77,-1.821,0.0
2.77,-1.85,0.0
2.77,-1.5090000000000001,0.0
2.77,-0.8759999999999999,0.0
2.77,-0.331,0.000125
2.77,0.154,0.0
2.77,0.499,0.0003125
2.77,0.47600000000000003,0.0
2.77,0.0,0.0
2.77,-0.653,0.0
2.77,-1.148,0.0
2.69,-1.683,0.0
2.69,-2.0669999999999997,0.0
2.69,-2.201,0.0
2.69,-2.011,0.0
2.69,-1.486,0.0
2.69,-0.797,0.0
2.69,-0.16699999999999998,0.0
2.69,0.377,0.0
2.69,0.7120000000000001,0.001125
2.69,0.633,0.0
2.68,0.128,0.0
2.68,-0.541,0.0
2.68,-1.033,0.0
2.68,-1.5119999999999998,0.0
2.68,-1.7619999999999998,0.0
2.68,-1.693,0.0
2.68,-1.3419999999999999,0.0
2.68,-0.7609999999999999,0.00024999975000000003
2.66,-0.23,0.0
2.66,0.253,0.0
2.66,0.5870000000000001,0.0
2.66,0.531,0.000125
2.66,0.059000000000000004,0.00020833349999999998
2.66,-0.531,0.0019374997500000001
2.66,-0.981,0.0
2.66,-1.5219999999999998,0.0
2.66,-1.814,2.0833325e-05
2.66,-1.893,0.0
2.66,-1.68,0.0
2.66,-1.165,0.0
2.66,-0.564,0.0
2.66,0.039,0.0
2.66,0.5870000000000001,0.0
2.66,0.8370000000000001,0.0
2.65,0.764,0.0
2.65,0.26899999999999996,0.0
2.65,-0.33799999999999997,0.0
2.65,-0.84,0.0
2.65,-1.217,0.0
2.65,-1.4140000000000001,0.0
2.65,-1.286,0.0
2.65,-0.856,0.00020833325
2.65,-0.33799999999999997,0.0
2.65,0.253,0.0
2.65,0.705,0.0
2.65,0.968,0.0
2.61,0.915,0.0
2.61,0.499,0.0
2.61,-0.043,0.0
2.61,-0.561,0.0
2.61,-1.04,0.0
2.61,-1.329,0.0
2.61,-1.3419999999999999,0.0
2.61,-1.125,0.0
2.61,-0.643,0.0
2.61,-0.11800000000000001,0.0
2.61,0.433,0.0
2.61,0.843,0.0
2.61,1.024,0.0
2.61,0.955,0.0
2.61,0.518,0.0
2.61,-0.013000000000000001,0.0
2.61,-0.44,0.0
2.61,-0.6459999999999999,0.00014583325
2.61,-0.633,0.0045416665
2.61,-0.7509999999999999,0.0
2.61,-0.44,0.0
2.61,0.0,0.0015208332500000002
2.61,0.564,0.0
2.64,0.948,0.0
2.64,1.145,0.0
2.64,1.1840000000000002,0.0
2.64,0.856,0.0
2.64,0.43,0.0
2.64,-0.115,0.0
2.64,-0.541,0.000125
2.64,-0.794,0.0
2.64,-0.774,0.0
2.64,-0.505,0.00233333325
2.64,-0.115,0.00075
2.65,0.377,0.0
2.65,0.9059999999999999,0.0
2.67,1.286,0.0
2.67,1.4469999999999998,0.0
2.67,1.335,0.0
2.67,0.9940000000000001,0.0002708335
2.67,0.568,0.0
2.67,0.08199999999999999,0.0
2.72,-0.207,0.000125
2.72,-0.272,0.0
2.72,-0.27899999999999997,0.0
2.72,-0.003,0.0
2.72,0.47600000000000003,0.0
2.72,0.86,0.00029166675
2.72,1.178,0.00020833325
2.72,1.4269999999999998,0.0
2.76,1.421,0.00083333325
2.76,1.135,0.0
2.76,0.62,0.0
2.76,0.177,0.0
2.76,-0.16399999999999998,0.0
2.76,-0.423,0.0
2.76,-0.456,0.0
2.76,-0.335,0.0
2.76,0.039,0.0
2.76,0.49200000000000005,0.0
2.76,0.925,0.0
2.76,1.24,0.0
2.76,1.365,0.0
2.76,1.266,0.0
2.76,0.9840000000000001,0.0
2.76,0.604,0.0
2.76,0.217,0.0
2.76,-0.121,0.0
2.76,-0.32799999999999996,0.0
2.76,-0.243,0.0
2.76,0.079,0.0
2.76,0.41,0.0
2.76,0.7709999999999999,0.0
2.76,1.115,0.0
2.76,1.335,0.0
2.76,1.375,0.0
2.76,1.089,0.0
2.76,0.6459999999999999,0.0
2.76,0.249,0.0
2.76,-0.19,0.0
2.76,-0.469,0.0
2.76,-0.5539999999999999,0.0
2.76,-0.377,0.0
2.76,-0.003,0.0
2.76,0.397,0.0
2.76,0.7909999999999999,0.0
2.76,1.135,0.0
2.76,1.27,0.0
2.76,1.217,0.0
2.76,0.883,0.0
2.76,0.45299999999999996,0.0
2.76,0.14400000000000002,0.0
2.76,-0.19,0.0
2.76,-0.4,0.0
2.76,-0.39,0.0
2.76,-0.14400000000000002,0.0
2.76,0.249,0.0
2.76,0.6659999999999999,0.0
2.76,0.9740000000000001,0.0
2.76,1.155,0.0
2.76,1.194,0.0
2.76,1.02,0.0
2.76,0.627,0.0
2.76,0.226,0.0
2.76,-0.121,0.0
2.76,-0.423,0.0
2.76,-0.512,0.0
2.76,-0.305,0.0
2.76,0.085,0.0
2.76,0.479,0.0
2.76,0.7909999999999999,0.0
2.76,1.138,0.0
2.76,1.3219999999999998,0.0
2.76,1.194,0.0
