text,title
"$90 - $95 an hourContractDescription: building and deploying Analytic models (Data Wrangling/ Analysis/Cleansing, buildingdescriptive and predictive models) in IBM/open platformsMust have skills: Building Analytic/Machine Learning /Deep Learning ModelsNLP/Watson Knowledge Studio/Watson DiscoveryPython, Apache Spark, Sci-Kit Learn / similar librariesSPSS ModellerWatson ML/ Watson Data StudioDSXJob Type: ContractSalary: $90.00 to $95.00 /hourExperience:Spark: 1 year (Preferred)Natural Language Processing: 1 year (Required)SPSS: 1 year (Required)Python: 1 year (Required)Watson: 1 year (Required)",Data Scientist w/ Watson Experience
"Given substantial growth and impact at Crowe, the machine learning team has formed into an official unit, Advanced Data Science (ADS), which is responsible for all machine learning and artificial intelligence throughout the firm. This team works on a wide variety of projects utilizing numerous areas of machine learning, including: supervised regression/classification, unsupervised learning, anomaly detection, NLP, reinforcement learning, deep learning, forecasting, etc.

Leverage large sets of structured and unstructured data to develop tactical and strategic insights. Collaborate with analytic and data teams to set objectives, approaches, and work plans. Research and evaluate new analytical methodologies, approaches, and solutions. Develop and validate statistical forecasting models and tools. Interpret and communicate analytic results to analytical and non-analytical business partners and executive decision makers.",Data Scientist
"Req ID: 30197

At NTT DATA Services, we know that with the right people on board, anything is possible. The quality, integrity, and commitment of our employees are key factors in our company’s growth, market presence and our ability to help our clients stay a step ahead of the competition. By hiring the best people and helping them grow both professionally and personally, we ensure a bright future for NTT DATA Services and for the people who work here.

NTT DATA Services currently seeks a Data Scientist to join our team in Dallas, Texas (US-TX), United States (US).

Big data scientist should be expert in R language, and optionally in in different programming languages such as Scala and SQL. In addition, the need to be familiar with disciplines such as:
Machine learning
Conceptual modelling: to be able to share and articulate modelling;
Statistical analysis: to understand and work around possible limitations in models;
Predictive modelling
Hypothesis testing: being able to develop hypothesis and test them with careful experiments.

Forecasting algorithms:
Hierarchical time series models: top-down, bottom-up
ARIMA
Exponential smoothing
Neural Networks Auto regression
Bayesian additive regression model
Pricing algorithms
Gradient Boosting Machines (GBM)
Random Forest
Elastic Net
Neural Networks
Support vector machines
Optimization algorithms
Linear Programming (LP)
Interior point methods
Statistical estimation
Genetic algorithms
Skills –Linux intermediate, Exposure to Hadoop HDFS and eco- system. They need to have statistical, mathematical, predictive modelling as well as business strategy skills to build the algorithms necessary to ask the right questions and find the right answers. They also need to be able to communicate their findings, orally and visually. They need to understand how the products are developed. They need to be thinkers who can ask the right (business) questions.
They need to be able to link and mash up distinctive data sets to discover new insights. Work with potentially incomplete data sources and cleaning data sets to be able to use them.

Day-to-day technical Challenges –
Being able to work in a fast-paced multidisciplinary environment as in a competitive landscape new data keeps flowing in rapidly and the world is constantly changing;
Having the ability to query databases and perform statistical analysis;
Being able to develop or program databases;
Being able to work independently and guide other Junior Data Scientists.

This position is only available to those interested in direct staff employment opportunities with NTT DATA, Inc. or its subsidiaries. Please note, 1099 or corp-2-corp contractors or the equivalent will NOT be considered. We offer a full comprehensive benefits package that starts from your first day of employment.

About NTT DATA Services

NTT DATA Services partners with clients to navigate and simplify the modern complexities of business and technology, delivering the insights, solutions and outcomes that matter most. We deliver tangible business results by combining deep industry expertise with applied innovations in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services.

NTT DATA Services, headquartered in Plano, Texas, is a division of NTT DATA Corporation, a top 10 global business and IT services provider with 118,000+ professionals in more than 50 countries, and NTT Group, a partner to 88 percent of the Fortune 100. Visit nttdataservices.com to learn more.

NTT DATA, Inc. (the “Company”) is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company will consider all qualified applicants for employment without regard to race, color, religious creed, citizenship, national origin, ancestry, age, sex, sexual orientation, genetic information, physical or mental disability, veteran or marital status, or any other class protected by law. To comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability, the Company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the Company would result.",Data Scientist
"$90 - $95 an hourContractDescription: building and deploying Analytic models (Data Wrangling/ Analysis/Cleansing, buildingdescriptive and predictive models) in IBM/open platformsMust have skills: Building Analytic/Machine Learning /Deep Learning ModelsNLP/Watson Knowledge Studio/Watson DiscoveryPython, Apache Spark, Sci-Kit Learn / similar librariesSPSS ModellerWatson ML/ Watson Data StudioDSXJob Type: ContractSalary: $90.00 to $95.00 /hourExperience:Spark: 1 year (Preferred)Natural Language Processing: 1 year (Required)SPSS: 1 year (Required)Python: 1 year (Required)Watson: 1 year (Required)",Data Scientist w/ Watson Experience
"Where good people build rewarding careers.
Think that working in the insurance field can’t be exciting, rewarding and challenging? Think again. You’ll help us reinvent protection and retirement to improve customers’ lives. We’ll help you make an impact with our training and mentoring offerings. Here, you’ll have the opportunity to expand and apply your skills in ways you never thought possible. And you’ll have fun doing it. Join a company of individuals with hopes, plans and passions, all using and developing our talents for good, at work and in life.

Job Description:

Job Family Summary
Data Science incorporates techniques across many disciplines – including mathematics/statistics, computer programming, data engineering and ETL, software development, and high performance computing – with traditional business expertise with the goal of extracting meaning from data to optimize future business decisions. Individuals in this field should be an expert/fluent in several of these disciplines and sufficiently proficient in others to effectively design, build, and deliver end to end predictive analytics products to optimize future decisions. Individual should demonstrate sufficient analytic agility to quickly develop new skills across these disciplines as those disciplines evolve.
This position resides within the D3: Data, Discovery & Decision Science department. D3 leverages data & analytics to help the enterprise understand the best course of action to deliver on our corporate priorities, improve our business processes to gain operational efficiency and better equip our agencies and employees with the tools and insights necessary to better serve our customers and live into our customer value proposition. The Data Scientist family is accountable for using data to make decisions, which includes building predictive models and developing new machine learning techniques that enable Allstate to make better decisions to achieve its goals. The Data Scientist Family requires Analytic Agility, the ability to quickly learn new modeling/machine learning techniques, programming languages, and see how these ideas can integrate to optimize the business.

Job Summary
This Junior Data Scientist position is a full-time entry-level role that we would start within a few weeks of hire. This is not a campus role for new graduates starting in Spring or Summer of 2019.

This role is responsible for leading the use of data to make decisions. This includes: The development and execution of new machine learning predictive modeling algorithms, the coding\development of tools that use machine learning/predictive modeling to make business decisions, searching for and integrating new data (both internal and external) that improves our modeling and machine learning results (and ultimately our decisions), and discovery of solutions to business problems that can be solved through the use of machine learning/predictive modeling. This role will also begin to manage projects of small to medium complexity.



Key Responsibilities:

Uses best practices, with limited coaching, to develop statistical, machine learning techniques to build models that address business needs
Utilizes effective project planning techniques to break down basic and occasionally moderately complex projects into tasks and ensure deadlines are kept
Uses and learns a wide variety of tools and languages to achieve results (e.g., R, SAS, Python, Hadoop)
Collaborates with the team in order to improve the effectiveness of business decisions through the use of data and machine learning/predictive modeling
Innovates on projects by using new modeling techniques or tools
Contributes on a wide variety of projects
Executes on modeling/machine learning projects effectively
Communicates findings to team and leadership ensure models are well understood and incorporated into business processes
Works with leaders to ensure the project will meet their needs
Maximizes personal professional development to ensure continuation of a personal contribution to the team and Allstate
Reviews and evaluates on appropriateness of techniques, given current modeling practices, to senior leadership



Qualifications:

Target Start Date: ASAP
Have completed at least a Bachelor’s degree in a quantitative field such as statistics, mathematics, computer science, physics, finance or economics.
Master’s or PhD is preferred.
Experience in using statistical modeling and/or machine learning techniques to build models that have driven company decision making preferred
Experience in managing and manipulating large, complex datasets
Experience in working with statistical software such as SAS, SPSS, MatLab, R, CART, etc. preferred
Ability to code and develop prototypes in languages such as Python, Perl, Java, C preferred
Knowledge of advanced modeling technique preferred
Demonstrated analytic agility
Ability to analyze and interpret moderate to complex concepts
Ability to provide written and oral interpretation of highly specialized terms and data, and ability to present this data to others with different levels of expertise




The candidate(s) offered this position will be required to submit to a background investigation, which includes a drug screen.
Good Work. Good Life. Good Hands®.
As a Fortune 100 company and industry leader, we provide a competitive salary – but that’s just the beginning. Our Total Rewards package also offers benefits like tuition assistance, medical and dental insurance, as well as a robust pension and 401(k). Plus, you’ll have access to a wide variety of programs to help you balance your work and personal life - including a generous paid time off policy.
Learn more about life at Allstate. Connect with us on Twitter, Facebook, Instagram and LinkedIn or watch a video.


Allstate generally does not sponsor individuals for employment-based visas for this position.

Effective July 1, 2014, under Indiana House Enrolled Act (HEA) 1242, it is against public policy of the State of Indiana and a discriminatory practice for an employer to discriminate against a prospective employee on the basis of status as a veteran by refusing to employ an applicant on the basis that they are a veteran of the armed forces of the United States, a member of the Indiana National Guard or a member of a reserve component.

For jobs in San Francisco, please click ""here"" for information regarding the San Francisco Fair Chance Ordinance.

For jobs in Los Angeles, please click ""here"" for information regarding the Los Angeles Fair Chance Initiative for Hiring Ordinance.

It is the policy of Allstate to employ the best qualified individuals available for all jobs without regard to race, color, religion, sex, age, national origin, sexual orientation, gender identity/gender expression, disability, and citizenship status as a veteran with a disability or veteran of the Vietnam Era.",D3 - Junior Data Scientist 1
"ContractHere at Fooji, the food doesn't just give itself away. We've got a strong team of engineers behind the scenes managing our platform, and we want you to get in on this.
We're looking for a contract Data Scientist who has practical experience performing data mining, and who can quickly get to work on a new problem. You should already have a set of tools that you are experienced with; of course this does not rule out learning new tools if they will be more appropriate for the problem-space at hand.
Initially the position will be very much an exploratory one, so you need to have the initiative to work independently and build some interesting models without a huge amount of hand holding. Obviously we will give you initial guidance, but you must be able to go away and come back with statistically significant findings. We are not expecting you to do the impossible: if you can prove that certain models cannot be built given the current data set, fine. This is also an interesting finding.
If you do not live near our Lexington, Kentucky HQ, you may work remotely.
Requirements
We expect you to be familiar with the following technologies:
Git
SQL
Solid experience in one programming language relevant for your work
Familiarity with a toolbox of relevant open source libraries
Open source contributions are always appreciated.
If you've got a GitHub profile, that really helps expedite the hiring process so please include it with your application.",Data Scientist (contract)
"Job Description

Invoca is seeking an Associate Data Scientist to capitalize on the rich unstructured data set collected by our platform, including 100s of millions of phone conversations per year. You will develop, update, and maintain AI models which help our customers understand what transpires on their phone calls.
Essential Functions:
Research: learning, reading papers, and working with our data science team to develop elite models for call analytics.
Maintenance: making sure our models perform as well as they can.
Fielding customer requests: investigating problems when they arise and identifying new techniques to alleviate pain points in our customers' businesses.
Analysis: modeling and data analysis using machine learning models, classical statistics, or other techniques.

Qualifications

Bachelor’s or Master’s in statistics, natural or social sciences, applied mathematics or computer science, or relevant experience in data science techniques (data collection, data cleaning, model building, model validation etc).
Working knowledge of Python and related tools such as Jupyter notebooks.
An intense curiosity and a drive to optimize the AI experience for our existing customers and to discover new patterns in our data.
Additional Information

Invoca Offers:
Competitive salary
Stock options in a fast-growing company
Excellent medical benefits and paid time off
401K plan with company matching
Phenomenal co-workers and the best work environment in Santa Barbara
To all recruitment agencies not contractually engaged with Invoca: Invoca does not accept agency resumes. Please do not forward resumes to our jobs alias, Invoca employees or any other company location. Invoca is not responsible for any fees related to unsolicited resumes.",Associate Data Scientist
ContractpythonRShell scripting*Job Type: Contract,Looking for Jr.Data Scientist or Data Analyst (1 year excper...
"Our Data Science department is seeking an Associate Data Scientist to join our growing team in our Worcester, MA office.",PL Actuarial-Associate Data Scientist
"Job Description:

The Chief Data Science Organization is looking for a strong quantitative research associate that has a rare combination of skills to provide analytics and high quality data products in the financial services domain, and produce working data products that are demonstrably better than the existing state of the art. If you love the challenge of applying these skills to creating and improving innovative solutions, we’d like to talk to you. The role will be responsible for the development, enhancement and smooth operation of data products that provide benefit to key analytic and regulatory stakeholders.

Key Responsibilities:
Work with Line of Business and Control Function partners to accelerate data and analytic solutions
Enable analytics research and development (R&D) at Bank of America
Ensure high level of quality in data products through careful attention to detail and curiosity about data anomalies
Communicate findings, gaps and opportunities to all levels of the organization
Take results from development to production in collaboration with product engineers
Required Skills:
Degree in statistics, finance, economics, operations research or equivalent quantitative experience
Facility in pulling data from SQL databases and flat files
Strong SAS skills
Strong attention to detail
Ability to collaborate within and between cross-functional teams; excellent communication skills
Highly organized and experienced in leading/managing projects, initiatives and development
Ability to manage multiple and competing priorities
2+ years of work experience


Shift:
1st shift (United States of America)

Hours Per Week:
40",Data Scientist 1
