,job_description,job_location,job_title,sponsored
0,"Assay biologist needed to revolutionize cancer diagnosisAbout us: Data Driven Bioscience is revolutionizing the approach to cancer diagnosis by connecting cancer diagnostic testing with intelligent software. We are well-funded by some of the top venture capital firms in Silicon Valley.This is an opportunity to create novel assays and to do work that matters. You will work closely with an interdisciplinary team. You should expect to work hard with a cutting edge team.We pay a VERY competitive salary and offer stock ownership of one of the hottest startups anywhere.About you: We have 2 separate positions available. The first is for a junior-level person with either a BS or MS. The second is for a more senior-level person with a PhD.You need to have good hands-on skills with basic molecular biology techniques. Prior experience with next generation sequencing is helpful but not necessary. We will train you in everything you need to know.You need to be self-motivated and driven to change the world of cancer diagnosis.If any of this sounds interesting, please apply with your current resume. We will follow up promptly.Job Type: Full-timeEducation:Bachelor's (Preferred)Work authorization:United States (Required)","Durham, NC",Assay biologist to revolutionize cancer diagnosis,True
2,"$46,987 a yearThis position will perform a wide range of duties in support of the District’s invasive species management program. The incumbent will assist with planning and contractor oversight for the District’s invasive plant control operations in natural areas, primarily onsite coordination with ground-based herbicide applicators.

In addition to providing technical oversight of invasive species management projects, the incumbent will provide contract management support including reviewing contractor deliverables, tracking purchase orders, and planning/monitoring budgets. Provide technical assistance to other District staff regarding invasive plant management, including herbicide usage, control strategies, and database management. Participate on various interagency teams coordinating invasive species management. This position reports to the Senior Supervising Scientist of the STA and Invasive Species Management Section.

Must have excellent verbal and written communication skills; ability to plan and manage heavy workloads; enthusiasm; a temperament for dealing with harsh field conditions; and a willingness and commitment to actively contribute to a collaborative team work effort.

Field experience with invasive plant species identification, monitoring, control, and management is preferred. Knowledge of South Florida ecosystems and their flora—both native and non-native—is required.

Licenses:
Valid State of Florida Driver’s License.

Possession or ability to acquire within 180 days State of Florida pesticide applicators license with Natural Areas certification.

Airboat experience preferred. District airboat certification will be required within 180 days.

Employment Guidelines
Typically has a Bachelor’s Degree in Agronomy, Biology, Botany, Conservation Biology, Ecology, Natural Resource Management, Weed Science (or relevant field) and 2+ years’ experience in the area of applied ecology and management of invasive and/or nuisance species in aquatic and terrestrial natural areas.

Physical Requirements/Working Environment
The work environment is a combination independent field and office work, with regular exposure to a hot and humid environment in remote natural areas, with exposure to stinging/biting insects, snakes, and alligators. May be required to lift up to 40 lbs.

Due to the District’s response role and in the total scope of emergency management, this position may at times, be required to provide support before, during and after major storm events and emergency situations, such as hurricanes or other declared emergencies, depending on assigned emergency response role.
Salary Minimum$46,987.20
Salary Midpoint:
$55,848.00
OrganizationOM5205232 STA & Invasive Species Management","West Palm Beach, FL 33406",Invasive Species Biologist,True
3,"Job Field: REDE - Research & Development
Location: Tarrytown, NY, US
Company: BASF Corporation
Job Type: Standard
Job ID: EN_US_1803117

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, age, citizenship, color, religion, sex, marital status, national origin, disability status, gender identity or expression, protected veteran status, or any other characteristic protected by law.
Description
At BASF, we create chemistry through the power of connected minds. By balancing economic success with environmental protection and social responsibility, we are building a more sustainable future through chemistry. As the world’s leading chemical company, we help our customers in nearly every industry meet the current and future needs of society through science and innovation. We achieve this through our commitment to continuous improvement and operational excellence, which gives us the opportunity to set and deliver on ambitious, long-term goals.
We provide a challenging and rewarding work environment with a strong emphasis on process safety, as well as the safety of our employees and the communities we operate in, and are always working to form the best team—especially from within, through an emphasis on lifelong learning and development. This allows for our employees to innovate and generate new ideas, put them into action, and gain insights from them to further advance our collective expertise.
And we are constantly striving to become an even better place to work. BASF has been recognized by Forbes Magazine as one of America’s Best Employers in 2017. We strongly support the spirit of collaboration through effectively involving team members and colleagues from other relevant units when developing and executing strategies and projects. Come join us on our journey to create solutions for a sustainable future!
Biologist II, White Biotechnology Research (1803117) – Tarrytown, NY

Where the Chemistry Happens
We are looking for a highly-motivated professional to join the Biobased Chemicals Team in Tarrytown, NY. The team is an integral part of BASF’s White Biotechnology Research within the global Bioscience Research platform.

The individual will join a highly interdisciplinary team to perform fermentation science and bioprocess development to meet the defined targets and milestones from our exciting project portfolio. This position will require close interaction with different BASF research groups and businesses on a global level. In addition, the team maintains and supports numerous collaborations with non-BASF partners, including universities and other organizations.


Formula for Success


Apply your education in Bioprocess Engineering, Biotechnology, Biology, Chemical Engineering, or a closely-related field & related knowledge and experience in microbial fermentation, aseptic culturing, and laboratory automation to design, execute, and analyze fermentation experiments prioritizing integrated and automated bioprocess control and analysisPerform crucial tasks including, but not limited to, experimental design, fermenter/bioreactor preparation, setup, break down, sampling, monitoring, sample analysis, data analysis, inventory management and equipment maintenanceYour strong entrepreneurial drive, communication skills, and teamwork-oriented mindset will be an asset as you work on projects of increasing scope and complexity and collaborate with cross functional teams in strain engineering, automation, analytical and process scale up to achieve project goalsWith your excellent attention to detail and analytical and problem-solving skills, you will ensure the generation of high-quality, reproducible, and actionable experimental data and support the continuous improvement of fermentation suite operationsYour commitment to a safe working environment will be essential as you will be proactive in creating a Zero Incident mindsetPossessing hands on experience with fermenter troubleshooting, equipment maintenance, Mass spec, fermentation control and analysis software is a plus
Create Your Own Chemistry: What We Offer You
Adding value to our customers begins with adding value to you. You@BASF is the suite of benefits, perks, programs and unique opportunities we offer to support you—the whole you—in all stages of your life and career. With you@BASF, you create your own chemistry.
The total rewards that you receive as a BASF employee go way beyond a paycheck. From competitive health and insurance plans, to robust retirement benefits that include company-matching contributions, to making sure you never stop learning, we believe investing in you is investing in our success. Working for a large, global organization, you’ll have a chance to grow professionally and personally, expand your network and build a rewarding and dynamic career.
BASF provides interesting and challenging learning and development opportunities to help you make the most of your talents and your job.Create Your Own Chemistry: What We Offer You
Adding value to our customers begins with adding value to you. You@BASF is the suite of benefits, perks, programs and unique opportunities we offer to support you—the whole you—in all stages of your life and career. With you@BASF, you create your own chemistry.
The total rewards that you receive as a BASF employee go way beyond a paycheck. From competitive health and insurance plans, to robust retirement benefits that include company-matching contributions, to making sure you never stop learning, we believe investing in you is investing in our success. Working for a large, global organization, you’ll have a chance to grow professionally and personally, expand your network and build a rewarding and dynamic career.
BASF provides interesting and challenging learning and development opportunities to help you make the most of your talents and your job.","Tarrytown, NY 10591",Biologist II (Microbial Fermentation),True
4,"$26,000 - $32,500 a yearPart-time, ContractSummary of Duties:Under leadership of the Live Exhibits Supervisor/manager of Bass Pro, this person will be responsible for the overall health, appearance, maintenance, and cleanliness of 3 Freshwater exhibits.Requirements:1) Bachelors degree in biology, chemistry, environmental science, or a related field. NO experience is required. FULL on the job training for this position.2) Certified scuba Diver. Certification card must be presented to the Live Exhibits Management Team before beginning work. *Note a non certified diver may be hired with a 4 week job pending deadline for completion of scuba certification.3) Must have computer access to emails and submit weekly reports online to Cabelas/Bass Pro portal and Oerca.4) Must have digital camera or camera phone5) Ability to perform job duties that will require but not limited to climbing ladders, wet enviroments, and lifting equipment at times in excess of 50 pounds and is often physically strenuous.6) Eye and attention to detailJob Details:Your responsibilities would be but not limited to the following list.1) Health and well being of the live collection. Including but not limited to water quality, visual inspections, biopsies, feeding, and treatment of the exhibits.2) Operation and maintenance of the exhibits life support systems.3) Appearance of the exhibits and life support rooms4) Full knowledge and adherence to procedures and protocols as outlined in the Live Exhibits Operational Manual.5) Weekly reports to be done online to the Bass Pro portal, Oerca and Virtual Task Manager.6) Attendance and participation in monthly conference calls7) Keeping necessary supplies on hand by ordering online8) Communicate with supervisors to resolve issues with the animals or life support equipment.9) Ability to keep life support work areas clean and organizedComplete and full on the job training. It does not matter if your experience level is limited or no experience at all in these areas.There are 3 exhibitS at this location.14,000 gallon freshwaterVarious native freshwater fish, including , bass, blue gill, crappie, catfish, gar trout, etcExtremely flexible schedule during the week. Weekends off unless an emergency is present, which would be extra hours.$20 to $25 an hour25 hours a week minimumAt least $26,000 to $32,500 a yearPosition is available starting OCT 24THOpportunities to move to different locationsJob Types: Part-time, ContractSalary: $26,000.00 to $32,500.00 /year","Reno, NV",Aquarium Marine Freshwater Technician Biologist,False
5,"$50,000 - $80,000 a yearEnvironmental consulting firm seeking Ecologist/Biologist with 3-10 years of experience.Roles/ResponsibilitiesDirect experience in the performance of one or more of the following specific areas: wetland delineations, vegetation surveys, ecological inventories, avian and wildlife surveys, surveys for rare or threatened and endangered species or post-construction restoration monitoring (experience in Northeast Region of the US preferred)Experience using Global Information System (GIS) programs such as ArcGIS and ArcGIS Explorer are necessary for spatial analysis of biological, physical or chemical dataA certification in GIS is a plusThe candidate will have strong report writing skills and be able to assist in preparation of reports and document submittalsJob Type: Full-timeSalary: $50,000.00 to $80,000.00 /year","Asbury Park, NJ",Ecologist/Biologist,False
6,"Cardno is seeking a Bat Biologist to work within our Science and Environment Division. This position will conduct surveys for bats and other wildlife, using acoustic survey techniques, mist-netting, radio-telemetry studies, and mortality monitoring for a variety of projects in the continental U.S. The successful candidate will conduct fieldwork, manage field teams, and prepare survey reports.Ideal candidate would be in possession of a valid federal permit or have the ability to obtain Section 10a permits for multiple listed species. Valid State Scientific Collectors permits in the Midwest and Southeast region would also be beneficial.Responsibilities include but are not limited to:> Use of topographic maps, aerial photographs, GPS units, and other maps and tools to determine exact locations of project areas, habitat types, and associated landforms> Conduct acoustic surveys and analysis> Deploy and maintain acoustic equipment> Conduct mist net surveys> Deploy and maintain mist net sets> Identification of bats to species level> Radio telemetry> Emergence counts> Report writing including NEPA studiesMinimum Qualifications:> Current federal permit, listing Myotis sodalis, and the ability to obtain State Scientific Collectors permits> Must have relevant wildlife biology coursework and experience required to obtain federal permit> Must be able to work independently and interact positively with project managers, land owners, and other technicians> Willingness to work outdoors in a variety of locations and conditions> Flexible work hours during long work weeks that my switch from days to nights unexpectedly> Valid driver’s license required> Bilingual capabilities (Spanish) a plus“TO APPLY, GO TO: https://cardno.wd3.myworkdayjobs.com/en-US/Cardno_Careers/job/Monee-IL/Bat-Biologist_-REQ-107Job Type: Full-timeLanguage:Spanish (Preferred)","Monee, IL",Bat Biologist - REQ-107,False
7,"$39,611 - $63,378 a yearTemporaryNC Wildlife Resources Commission Mission Statement:
To conserve North Carolina's wildlife resources and their habitats and provide programs and opportunities that allow hunters, anglers, boaters and other outdoor enthusiasts to enjoy wildlife-associated recreation.

Visit www.ncwildlife.org for more information about careers. The agency employs approximately 650 employees.

This position requires travel with frequent overnight stays for meetings or assisting with regional/statewide projects or assistance to other agencies.

Research, Monitoring, and Management: Coordinates and conducts research and surveys on coastal water bird populations. Monitors populations of coastal water birds to determine trends, productivity, and/or distribution. Research, survey, and monitoring needs are driven by needs identified in the NC Wildlife Action Plan and the regional supervisor. Compiles and enters data into databases. Analyzes data and reports on results. Engages in habitat and/or land management activities as needed and directed. Addresses threats to populations and habitats via research and management. Produces reports and technical, scientific papers for dissemination of findings.

Technical Guidance and Coordination: Reviews and prepares written comments on various beach stabilization projects as well as on other development projects that may impact nongame wildlife. Reviews permit applications, environmental documents, and makes recommendations for conservation. Responds to requests from other agencies, organizations, and the public for data, and develops educational information for dissemination. Attends, participates in, and leads regional and/or national technical meetings regarding status and management of high priority wildlife. Coordinates and leads stakeholder planning and management meetings within the state for species or habitats as necessary to develop and implement collaborative conservation programs to address priority species' needs. Participates in meetings and coordinates with other state and federal agencies to secure permits and conduct habitat management activities identified as priorities in the NC Wildlife Action Plan. Responds to requests for public programs as time allows. This position serves a vital role on the agency's Bird Conservation Leadership Team, providing guidance to SGCN projects statewide.

Supervision: Trains and supervises 1-4 temporary biologists at any given time working on specific projects. Recruits and trains volunteers and participants from other state and federal agencies and organizations to help with surveys, management, and monitoring.

Project Administration: Prepares federal aid and other grant application plans and reports on activities. Requests budget levels based on grants received and orders equipment as needed. Looks for additional funding opportunities (grants) and collaborative efforts. Maintains all records of purchases and invoices.

Other: Assists other Wildlife Diversity Staff on endangered species or non game wildlife projects, and other Wildlife Management Projects as directed. Participates in planning and coordinating with other program and Division staff. Maintains equipment and supplies in excellent working order; maintains inventories of equipment and supplies.

Work Area: While the work location is listed as Beaufort county the work area will include Pamlico, Craven, Pitt, Jones, Lenoir, Carteret, Onslow, and Pender counties as well.

Knowledge, Skills and Abilities / Competencies
Advanced principles of scientific method, biological techniques, zoology, ornithology, botany, statistics, and ecology are necessary. Specific and extensive knowledge of nongame and endangered wildlife identification and biology, coastal environments, and wildlife management are required. Skills in wildlife habitat management and wildlife population management techniques are essential. The ability to weigh biological needs of endangered species with public needs and desires is essential. Coordination with in-state, out-of-state, and international organizations, agencies, and individuals is imperative. The ability to form advanced project designs and take these projects from conception to completion separates this position from other entry-level biologists. Individual should be skilled in written and verbal communication and be able to work easily with landowners. The ability to function independently and with little supervision is absolutely necessary. The biologist should also be skilled in computer operation, database management, geographic information systems, and networking platforms. Must be able to navigate and operate outboard motor boats and should be knowledgeable of the North Carolina coast and sounds.

Minimum Education and Experience Requirements
Bachelor's degree in Wildlife Management, Coastal Ecology, Marine Biology, Zoology, or associated field and at least three years of experience in the wildlife or fisheries fields; or an equivalent combination of education and experience.","Beaufort County, NC",Conservation Biologist II,False
8,"$40,939 - $56,352 a yearInternshipThe Connecticut Department of Energy and Environmental Protection (DEEP) is charged with conserving, improving, and protecting the natural resources and the environment of the State of Connecticut as well as making cheaper, cleaner and more reliable energy available for the people and businesses of the state. The agency is also committed to playing a positive role in rebuilding Connecticut’s economy and creating jobs – and to fostering a sustainable and prosperous economic future for the state.
The Bureau of Natural Resources (BNR) is charged with managing the state’s natural resources (particularly fish, wildlife, and forests) through a program of regulation, management, research, and public education.
BNR's Wildlife Division currently has an opening for an Environmental Protection Environmental Intern, target class Wildlife Biologist 1 located in Burlington, CT. This position will be assigned to the Wildlife Division’s Wildlife Diversity Program. The Wildlife Diversity Program is actively involved in conservation and management of birds, reptiles, amphibians, small mammals including bats, invertebrates, and state and federally listed species.

This position is full-time, 35 hours per week, normally Monday – Friday, 8:30 am – 4:00 pm. Normally first shift, but hours may vary according to field sampling or out of office state meeting needs.

Note: Do not submit a cover letter. Applicants must only include a resume within the ""Resume Tab"" of their application.
Questions about this position or required documents should be directed to the hiring agency's human resources office: Teresa Munson, teresa.munson@ct.gov, (860)424-3187.
Selection Plan
This position is non-competitive. Open to the public.

The selected candidate must possess a valid driver’s license at time of appointment and maintain during employment.
PURPOSE OF JOB CLASS (NATURE OF WORK)
In a state agency receives training in introductory professional environmental work for the development of technical and professional skills and knowledge in order to qualify for advancement to the professional environmental work of the agency; performs a wide variety of increasing difficult duties as technical skills are acquired during the course of the training period.
KNOWLEDGE, SKILL AND ABILITY
Some knowledge of basic theories, principles and practices of environmental and policy analysis; some knowledge of basic statistics; general knowledge of environmental program planning principles and practices; interpersonal skills; oral and written communication skills; analytical skills; research and organizational skills; ability to understand and interpret legislation and technical data; ability to utilize computer software.
MINIMUM QUALIFICATIONS - GENERAL EXPERIENCE
A Bachelor's or Master's degree in a scientific or technical discipline related to the environmental field including but not limited to the biological, earth, or physical sciences; environmental planning; environmental law; leisure services; geographic information systems; geography with a concentration in geographic information systems; environmental or natural sciences; or natural resources.
PREFERRED QUALIFICATIONS
Ability to operate 4WD vehicles, towing trailers or equipment, operating boats, canoes, or kayaks;
Experience, training or coursework in conducting ratio telemetry or acoustic surveys;
Good problem solving and critical analysis skills;
Knowledge of and experience implementing federal and endangered species recovery plans;
Knowledge of state and federal wildlife conservation laws and regulations;
Spelunking or climbing/rapelling skills a plus;
Strong computer skills including Word, Excel, PowerPoint, Access, including use of GIS and social media;
Good oral and written communication skills;

Training in the preparation of technical reports and reports for public dissemination;
Training or courses covering project planning, problem solving, and coordination of multiple administrative tasks to meet specified project deadlines;
Visual and aural identification of avian species;
Identification of mammals, especially bats and other small mammals;
Identification of reptiles;
Experience handling venomous reptiles;
Experience handling a variety of wildlife species;
Experience with methods and procedures for identifying and managing nuisance wildlife;

Experience with basic plant identification and knowledge of plant associations which serves as wildlife food or cover;

Visual and aural identification of amphibians.
WORKING CONDITIONS
Incumbents in this class may be exposed to some danger of injury or physical harm from on site environments and moderate degree of discomfort from exposure to year round weather conditions.","Burlington, CT",Environmental Intern (35 Hour) (Target Class - Environmental...,False
9,"Entry Level Biologist Needed!
Piper Companies is currently seeking a Entry Level Biologist to join a innovative and driven pharmaceutical company in the Baltimore, MD area.
Responsibilities for the Lab Technician include:
Process and maintain samples
Routine testing and running various techniques and methods
Method development and validation
Adhere to appropriate quality measures and regulations
Review documentation and ensure its accuracy
Qualifications for the Lab Technician include:
Experience in a laboratory setting
Must have prior experience with ELISA
Strong attention to detail
4-year degree in Life Sciences
Compensation for the Lab Technician includes:
Dependent on relevant experience
Benefits: Healthcare, Dental, Vision, 401k
Please send resumes to achu@pipercompanies.com","Baltimore, MD 21215 (Pimlico area)",Entry Level Biologist/Scientist,False
10,"$46,550 - $56,597 a yearPart-timePlease note: The department is currently recruiting for a part-time (30 hours/week) permanent position. However, the eligible list generated from this recruitment may be used to fill other future full-time (40 hours/week) permanent positions.

Agricultural Inspector/Biologist Trainee is part of a career series for Agricultural Inspector/Biologist Trainee and Agricultural Inspector/Biologist I, II and III. Classes in this series perform a wide variety of inspections to enforce the provisions of the California Food and Agricultural Code, California Code of Regulations, California Business and Professions Code, Structural Pest Control Act, Government Code and County Code pertaining to agricultural and environmental regulations in one or more of the following agricultural program areas: 1) pesticide regulation, 2) investigation and environmental monitoring, 3) integrated pest management, 4) commodity regulation, 5) pest prevention and plant regulation, 6) agricultural land use planning, and 7) agricultural statistics; provide emergency response; and do other related work as required.
Click here for full job description.
The Ideal Candidate

Minimum Qualifications:
Either A: Graduation from an accredited four-year college or university with a Bachelor's Degree in agricultural, biological, natural resources, chemical or physical sciences, or other appropriate disciplines as determined by the Secretary of the California Department of Food and Agriculture; Or B: Possession of a valid certificate of qualification issued by the Director of the California Department of Food and Agriculture prior to January 1, 1985, may substitute for the required education.

Licenses and Certificates:
Agricultural Inspector/Biologist Trainee: Must obtain and maintain one valid California license as a County Agricultural Inspector/Biologist in any license exam area within one year of appointment.","San Luis Obispo County, CA",Agricultural Inspector/Biologist Trainee,False
