,job_description,job_location,job_title,sponsored
0,"ContractSr AWS Data EngineerRemote project3 months plusRate: DOEExperience:Excellent communication skill requiredData lake storage and analytics experience on AWS is mustStrong AWS experience with certification is requiredThanks,AnuraNextPhase systems6508876642Job Type: ContractExperience:AWS: 5 years (Required)Data engineer: 10 years (Preferred)License:AWS (Preferred)","Maui Meadows, HI",AWS Data engineer,True
2,"At ISM Connect, we believe that success is achieved through teamwork. We empower team members to make decisions and create an environment that makes everyone on the team better.Join the analytics team that works in all of our business lines. Hone your skills in an exciting environment, and have a measurable impact on a well-funded and rapidly expanding business. Our venture-backed firm delivers innovative solutions to clientele from professional sports to some of the nation’s largest retailers.We are looking for a Data Engineer to join our analytics team to help design, build, and maintain a cloud-based ETL pipeline feeding a cloud-based data warehouse, which will support our analytics and data science efforts as our volume of data grows. The Data Engineer will likely help out in other areas of the data science stack as well. An engineer who is passionate about his or her work, skilled at collaborating with coworkers, and a positive and supportive presence in the office will be a particularly good fit.Specific Duties And ResponsibilitiesHelp build and maintain a cloud-based, scalable ETL pipeline that ingests data from heterogeneous sourcesAssist with design of a cloud-based data lake and data warehouseEnsure high data quality and availabilityTest the ETL pipelineContribute to other aspects of the data science workflowComplete ad hoc data work as neededStay up-to-date with ETL advancements and best practicesEducation And ExperienceRelevant data engineering/data science work experience in a corporate environment or similarPractical experience with ETL and database technologiesExperience with Amazon Web Services analytics and ETL tools, or similar cloud-based toolsRelational databases and columnar storageData lake and data warehouse designExperience in other data science technologies (R, Python, etc.) and capabilities (data analysis, machine learning, data visualization, etc.) is helpfulExperience in a higher performance language such as C++, Go, etc. is a bonusUndergraduate or graduate degree in a technical field preferableSkillsAbility to work and collaborate in a distributed team environmentWork with multiple internal teams to create deliverables for clients or for internal usageEffectively communicate project status, blockers, and questions to team membersSelf-motivated and requires minimal managementAbility to learn new technologies and be involved in multiple projectsTechnologyAmazon Web Services analytics/ETLGlueAthenaKinesis FirehoseAuroraRedshiftRedshift SpectrumSpark (PySpark)SQLMongoDBPythonRGitBashBenefitsMeaningful work on world-class and industry-changing productsAmazing culture and a flat organizational structure100% covered premiums for medical, dental, life, disability401(k) PlanUltra-casual dress work environmentFlexible scheduleDevice stipendISM Connect is an Equal Opportunity Employer M/F/V/DJob Type: Full-timeExperience:Amazon Web Services Analytics: 1 year (Required)Practical Data Science/Data Engineering: 2 years (Required)ETL and Database Technologies: 1 year (Required)Education:Bachelor's (Preferred)","Doylestown, PA",Data Engineer,True
3,"Data EngineerDoers Wanted. Dreamers Encouraged.Our Data Engineer performs a wide range of job duties utilizing technical know-how and an exceptional, pro-active customer service approach, ensuring high levels of customer satisfaction. Maintains a very hands-on focus for technology matters combined with an affinity for solving complex technical issues and delivering projects on time and within budget.Foresight culture is that of spirited team players in an environment energized by innovation and continuous improvement. We truly believe it takes an entire team united behind something big. So together, we work hard, we have fun, we brainstorm, we love ideas and we give high-fives in the hallway. Foresight Intelligence employees are encouraged to take a high degree of ownership and improve continuously. We work in an environment where your voice matters and where your actions have a direct positive impact on the team and the customer.REPORTS TO: Vice President of OperationsJob Duties and Responsibilities:Identify, evaluate and recommend appropriate technologies and strategies for building products and delivering services, from a database perspective.Assist in design and development of database systems.Secure the database and ensure its integrity.Establish the needs of users and monitor the user-access model; control access permissions and privileges.Develop databases functions, scripts, stored procedures, etc. to collect, process and present data.Monitor performance and manage parameters of the database and provide fast query responses to front-end users.Synchronize the conceptual design with the actual database.Enhance and refine the logical design of the database.Ensure appropriate system storage requirements.Update the database by installing and testing new versions of the DBMS.Develop and manage backups and construct recovery plans.Create physical and logical database models according to business needs or requirements.Provide technical assistance to sort out database related issues, identify errors and then resolve in a proper way.Prepare documentation related to the database.Work with DBAs to manage the company databases effectively.Performs other duties and responsibilities as required or assigned.Minimum Requirements:Bachelor’s degree in computer engineering or related field, or equivalent knowledge, skills and abilities in software engineering.5+ years of technical experience in a database engineering role.Excellent oral/written communication skills and interpersonal skills, with the ability to articulate ideas to both technical and non-technical audiences.Expert with MS-SQL; familiarity with C# programming concepts.Innovative, self-motivated and self-directed with keen attention to detail, exceptional service orientationAbility to work directly with customers, understanding and fulfilling their needs in a competent manner.Ability to discern user requirements and develop specifications.Experience with Microsoft system administration and web server configuration.Knowledge of internet protocols, database management systems, revision control systems, information security vulnerabilities and risk management.Possessing a business understanding of the underlying data.Ability to follow projects through to completion.Ability to learn new technologies quickly, step outside your own comfort zone and handle unfamiliar challenges enthusiastically.Enjoys work (overcoming obstacles is fun), loves to help people and can work well independently or in groups.Job Type: Full-timeExperience:data engineering: 5 years (Preferred)technical: 5 years (Preferred)C# Programming: 1 year (Preferred)MS-SQL: 5 years (Preferred)Education:Bachelor's (Required)Location:Scottsdale, AZ (Required)Work authorization:United States (Required)","Scottsdale, AZ",Data Engineer,True
4,"Product Delivery EngineerClearsense is building an end-to-end data platform for healthcare companies based in the fastest growing markets around the world. Our Product Delivery team works directly with our customers to help solve their biggest challenges. As a Product Delivery Engineer (PDE), you’ll help solve these challenges by building applications and configurations using the core platform and cutting-edge technologies.ResponsibilitiesWork with engineering to write platform configuration code for new featuresLead the development, execution and review of manual and automated test scriptsDevelop tools that provide customers with unprecedented transparency into their operationsBuild customer specific applications to streamline data integrationDetermine the best approaches to productize platform configurationAuthor and maintain platform configuration documentationWrite SQL queries to support product implementationsProficient programming skills to make minor modifications to existing Java applications as neededRequirementsBachelor's degree in a technical field or equivalent 4 years of experience.Programming experienceStrong attention to detail, able to take high level requirements and implement in a self-directed daily basis.Motivated, positive and constructive attitude—seeing challenges as opportunitiesAbility to operate in an agile startup environment with evolving requirementsStrong SQL programming experience, can be across any of the various RDBMS such as Oracle or SQL Server, but this is a must have for this position.Java Programming – competent proficiency is required. GO is a plus.Comfortable using a shell to interact with Linux or WindowsPrevious experience working in an Agile environment is a plus.Strong communication skills.EducationBachelor's degree in a technical field or equivalent 4 years of experience.LocationJacksonville, FLJob Type: Full-timeEducation:Bachelor's (Preferred)Location:Jacksonville, FL (Required)Work authorization:United States (Required)","Jacksonville, FL",Healthcare Data Engineer,True
5,"In this role, the candidate will be responsible for performing data engineering duties such as planning, developing, Testing, maintaining and monitoring systems. The candidate will report to the Senior Database Engineer and work collaboratively with other teams to achieve business, department, and organizational goals. The individual will also be responsible for developing, implementing, and overseeing secure database policies and procedures to ensure the integrity and availability of database systems.

Data Engineer Responsibilities:
As part of the Data Engineering team, provide support to Java engineers for basic database administration needs such as tables, indexes, functions, procedures, etc.
Daily maintenance of database infrastructure, mainly checking daily / nightly scheduler jobs, backup/recovery and replication
Understand business objectives and design services that couple business logic with code components for scalability and reusability
Proficient in designing efficient and robust ETL workflows
Create, or support creation of, required reports in response to business user needs
Monitor and report for critical production data systems
Support multiple data Systems in a production environment, including DSS, OLTP, NOSQL and Big data services
Able to work with Cloud Computing environments
Proactively monitor as well as troubleshoot problems escalated by the business / QA / Analytics / Development team in a timely manner
Respond to and resolve SQL database access and performance issues
Candidate will be on-call and maybe required to work over weekend at times, and will be part of a team in automating daily tasks using automated out-of-box solution or Shell/Perl scripting.

Data Engineer Requirements:
3-4 years’ experience related to ORACLE DB Administration on Unix/Linus in a mid-to-large-scale computing environment
Strong understanding of database structures, concepts, principles, and practices
Experience in AWS or Google Cloud Computing Environment
Strong Working knowledge of any NoSQL systems such as Cassandra, MongoDB or DynamoDB and Elasticsearch
Working knowledge of Big Data system such as Hadoop, MapReduce, Hive or Spark along with Resource management using YARN or Mesos
Proficient in Python, Java and/or R
Experience in migrating from RDBMS to NoSQL systems
Strong SQL (ANSI or other standard SQL) writing skills is a must
Understanding of UNIX/Linux/Perl or bash Shell scripting language
Ability to architect highly scalable distributed systems
Hands-on experience with PySpark or PyTorch
Working knowledge of Apache Kafka or AWS SQS with Kinesis Data Firehose
Working knowledge of in-memory computing systems such as Redis, NuoDB, VoltDB or GridGain","New York, NY",Data Engineer,True
6,"Data Engineer / DeveloperLooking to be part of an amazing team that is solving challenges, growing, and attracting attention? Plus, do you want to work with data you can explain to your mom? TravelPass Group is a close-knit group of technical, marketing, and business experts who are disrupting the travel industry.We are creating cutting-edge travel technology and data systems. We uncover travel opportunities to help people travel more by saving money and booking easily. Since 2008, we have helped people book more than 8 million hotel rooms. We have been recognized locally and nationally among the fastest growing companies and as a top workplace. Here’s a sample: Inc. 5000 List of America’s Fastest-Growing Private Companies, Utah Business Magazine Fast 50 (#9), UV50 Fastest Growing Companies in Utah Valley (#9), Mountain West Capital Network’s Utah 100 (#22), Deloitte Technology Fast 500 (#155), and The Salt Lake Tribune Top Workplace.Our data services team is looking for a mid- to senior-level Data Engineer/Developer with a passion for creating elegant yet simple data systems. You’ll have opportunities to grow and be responsible for building and maintaining data pipelines, making sure data is available and accessible, and helping drive new innovation and insights via data management. The ideal applicant will have strong development and systems skills and will provide the company with essential data.Key Responsibilities Curate business critical data sets using our own data as well as external data setsProvide ETL solutions to populate and enhance our data storesArchitect data pipelines to transform and validate dataMaintain data quality and integrity across our systemsAssist in data governance processes, planning, security and executionQualifications Demonstrated strength in data modeling, ETL development, and data warehousingExtensive experience writing complex, highly-optimized queries across large data sets using SQL, Postgres, MySQL, or something similarStrong experience in Python or similar languagesExperience with various AWS services including RDS, S3, EMR and RDSExperience consuming and cleansing data from third-party APIs and other sources3+ years of experience building software and working with dataExperience with Big Data technologies such as Hive, Hadoop, or SparkMotivated, passionate, and self-improvingStrong organizational and analytical skills with an ability to extract meaning from dataExperience in our current technologies a bonus: AWS Cloudsearch, Redshift, Athena, Golang, RBenefits Health insurance, PTO, Paid Holidays, 401k with matchingCompetitive compensation with quarterly bonusesFlexible work schedule with remote daysFully stocked break room with game room and lounge areaFun and casual company culture based upon respect and resultsGreat “friends and family” travel booking site that can save you and your friends a ton of cash! We want you to experience travel.Job Type: Full-time","Salt Lake City, UT",Data Engineer,True
7,"Job SummaryWe are hiring a Senior Data Engineer for a new purpose-driven, VC-backed data and AI startup founded by Adam Bly (adambly.com/bio). We invite you to learn more about the vision and thesis for the company and the problems we're setting out to solve here: https://www.linkedin.com/pulse/why-im-starting-new-ai-company-adam-blyResponsibilities and DutiesYou will:Architect and build key components of our first product, working with large amounts of heterogeneous data and tackling high-impact technical challengesBuild products that help advance data science and machine learningCollaborate with experts in data science and ML and partners at top research labsLeverage best practices in continuous integration and deliveryBe part of the founding engineering team of the company and help shape our engineering culture, values, and ways of workingQualifications and SkillsYou have:A proven record of personally taking large data projects from ideation to implementationExpertise working with high volume, heterogeneous data using distributed systems such as Hadoop, BigTable, and CassandraExpertise architecting, building, and operating large-scale batch and real-time data pipelines with data processing frameworks like Scalding, Scio, Storm, Spark and DataflowStrong knowledge about data modeling, data access, and data storage techniquesExperience with Agile developmentPreferably worked on graphs and open source data-related projectsYou are:A systems thinker who is naturally predisposed to connecting dotsA scientifically-minded individual who generates hypotheses from observations, conceives creative ways to test hypotheses, presents arguments supported by data, and changes your mind based on new dataMission-driven and passionate about the problems raised in the post shared aboveReady to build something big and ambitious from the ground upJob Type: Full-timeWork authorization:United States (Required)","New York, NY",Senior Data Engineer,True
8,"InternshipPosition Summary:
The New York County District Attorney's Office has immediate openings for Spring Internships in its new Law, Technology, and Innovation Unit (LTI). LTI is charged with developing technology solutions to enterprise-wide problems related to investigations, evidence processing, and case management. Interns will brainstorm problems and potential solutions with bureaus, develop prototypes, and contribute to existing data science projects and applications. The LTI intern will have latitude to apply his or her unique skillset to an evolving set of projects and tasks.

Responsibilities:
•
Work with those in your unit to understand case workflow, and automate and streamline investigative steps wherever possible
•
Develop technological infrastructure for your unit, in the form of internal web applications or otherwise
•
Develop tools to identify trends, behaviors, and patterns related to cases in your unit
•
Work on cases directly wherever programming can speed up an investigation or bring in new insights
•
Collaborate with others throughout the office to work on DANY-wide applications and projects

Qualifications:
•
Knowledge of Python, and preferably R and SQL
•
Experience developing (internal) web applications via Flask, Django, Shiny, Bokeh, HTML, CSS, Javascript, etc.
•
Experience working with databases
•
Experience with data science
•
Ability to make sense out of virtually any type of incoming file, and extract and analyze the relevant data
•
Ability to communicate effectively with anyone - other programmers internally or externally, assistant district attorneys, investigators or paralegals
•
Driven to find ways to use technology to improve the way cases are brought in and investigated within your unit

Educational Requirements:
•
Currently enrolled in an undergraduate or graduate program in Computer Science or a related field.

Additional Requirements:
•
Cover Letter
•
Unofficial transcript
•
Previous data science project or portfolio
•
Interest in law enforcement, criminal justice, or civic technology

Commitment:Applicants must commit to a complete term:
•
Summer Term (June - August, ï»¿10 weeks, 35 hours/week)
•
Fall Term (September - December, 12 weeks, minimum of 12 hours/week)
•
Spring Term (February - May, 12 weeks, minimum of 12 hours/week)
The New York County District Attorney's Office is an Equal Opportunity Employer","New York, NY",Data Engineer Internship,False
9,"To be based in the South West we are looking for experienced Data Engineers/Installers of Cat 5, 6 and fibre optic cabling systems.
LOCATION: South West

TYPE: Full-time / Sub-contractor

RATE: Negotiable Salary, depending on experience

You must be a qualified installer of Cat5, Cat6 and Fibre. The role is geared around carrying out new installations and fault diagnosis / repair work on existing infrastructure in our customer data centres.

The range of installations we undertake, in which you would be a part of:

Single and multi-site solutions
Design and installation
Contract work and retained service
Voice and data projects
Cat5e, Cat6, Cat6a, Cat7 specifications
Fibre optics, including blown, splicing, and pre-termination
Switches and routers
This role has become available due to expansion. We have a close-knit team of Engineers coupled with a high retention of employees.

Offers of employment are normally subject to satisfactory references and any other required pre-employment checks. In certain roles, successful applicants will need to satisfy security requirements in order to gain access to our customer sites.

All candidates will undergo a Criminal Reference Check (basic disclosure).",United States,Data Engineer,False
10,"$50,000 a yearJob Description

No Computer Science degree? No problem. We love self-taught developers!
LaunchCode offers paid, data engineering apprenticeships at one of our employer partners that include Mastercard, Anheuser-Busch, Boeing, Carnival Cruise Lines, and many more! More than 4 of 5 apprentices are offered a full-time position with an average starting salary of $50,000.
We’re looking for applicants who are tenacious, driven, and know how to work a problem. Always digging deeper to learn how things work? Eager to squeeze some learning out of every experience? We’re looking for you!
We only accept applications through our website at
https://bit.ly/2OQizEY

Qualifications

Passion, drive, and aptitude to succeed in technology
Skills to analyze data using one or more of the following tools:
Python with bonus points for data science libraries such as pandas, NumPy, and scikit-learn, or some experience with R
SQL including comfort with multi-table joins, views, and stored procedures
Data warehousing or ETL process design
Visualization tools such as Tableau, Chartio, PowerBI, or chart-making libraries such as ggplot2
AWS
The ability to work full-time in the United States and a desire for your apprenticeship to become a full-time job
We only accept applications through our website at
https://bit.ly/2OQizEY
Additional Information

If you want to land a job in technology with LaunchCode, but don’t yet have the required skills, visit www.launchcode.org/get-started to see how we can still help!
Our stats:
Over 4 out of 5 LaunchCode apprentices get offered full-time employment.
On average last 84 days (longer or shorter depending on the company).
Average starting salary after apprenticeship period $50,000","Tampa, FL 33612",Entry Level Data Engineer,False
