job_title,clean_description,salary,state,sponsored,search_term
Entry Level Information Specialist/Non-Clinical,38000  40000 a yearjob summary descriptionif you have a degree in the life sciences but also have an interest in bioinformatics we have several openings for an information specialist the successful candidate will be trained to become a data ninja – able to take experimental data and turn it into valuable insight for our clients jobspecific experience is not necessary but you must be high energy comfortable with looking at different kinds of data sets and possess a sense of urgency to complete projects on time with attention to detail recognition of performance will be immediate and successful analysts will have growth opportunities you must have an aabsba degree with a major or minor in the life sciences comfort with spreadsheet software and information technology is a must knowledge of preclinical research is not necessary but will put you on the top of listknowledge needed for the jobappropriate knowledge in it technology and it methodologyadept in projecttime managementattention to detailknowledge of preclinical data collectiondata flow or able to learnfundamental knowledge of biologyanatomyphysiologygood englishknowledgeexpertise in use of excelgrasps scientific concepts quicklyability to be flexible and change work due to prioritizationmultitaskingeducation 2 to 4 year degree in life sciences biology animal science or equivalentexperience 04 years experience in a scientific setting toxicology pathology or preclinical laboratory preferredunderstanding of glp preferredjob type fulltimesalary 3800000 to 4000000 yearwork authorizationunited states required,39000.0,NJ,True,bioinformatics
BIOINFORMATICS ENGINEER,twinstrand biosciences a seattlebased genomics company focused on ultrahigh accuracy dna sequencing seeks a qualified individual for the position of bioinformatics engineer as a bioinformatics engineer you will work within a team of bioinformatics scientists and software engineering consultants to play a pivotal role in solving important problems in cancer research through genomics pipeline development and deploymentyou will draft and coengineer an enterprise customerfacing cloud application that will become the core analytics platform for current and future product lines at twinstrand our cloud application will enable worldwide researchers the most accurate insight into their dna samples tandem to developing a customerfacing cloud application you will engineer novel algorithms as command line tools to be used by scientists for further investigating scientific phenomenaas a part of the software development team you will establish and enforce development best practices at twinstrand a processoriented individual with exceptional attention to detail will excel in the role of bioinformatics engineer familiarity with agile programming methods such as testdriven development collaborative programming version control flow and code quality standards is ideal however we are eager to support efforts to round out any skills that have not been previously acquiredwe encourage all employees at twinstrand to jump in and help with whatever is needed to get the job done at twinstrand you will learn many skills beyond those required for the core role of bioinformatics engineer by working on projects of ngs analysis ui development process automation and even database architectureyou are the ideal bioinformatics engineer if you love working within a highperformance team in a collaborative environment to deliver highquality solutions of bioinformatics processing we need your expertise in bringing our duplex sequencing toolkits into a cloud application so we can continue to pioneer solutions for human health through scientific discoveryspecific duties includedeployment of a performant customerfacing cloud pipeline for automated processing of duplex sequencing experimentsmaintenance of and improvements to existing internal genomics pipelinesengineering of onsite applications and information systemsmanagement opportunity is availablerequirementss in computer science engineering or related field 5 years of experienceability to work well within a team in a fastpaced environmentexpert ability in at least one programming language and proficiency in othersexperience in developing genomics pipelines and containerizing workflowshigh competency with cloud development and deploymenthigh competency with version control systems like giteffective communication skillsplease be prepared to provide a relevant code sample upon requestpreferred experiencemsc or phd in computer science engineering or related fieldexperience with amazon web services like batch ec2 and s3experience with continuous integration and deploymentexperience with api query languageexperience with devopsexperience with analytics and big data systemsbiotechnology experience preferred startup company a bonusfamiliarity with highthroughput sequencing libraries and shortread sequencingwe are a vibrant young company committed to applying a powerful new genomic technology across disciplines to improve human health and accelerate scientific discovery we are a spinout from the university of washington and our mission is to commercially develop and deliver the unprecedented accuracy of duplex sequencing™ for applications in medicine and life sciences where it can do the greatest good for the greatest number of peopleour business is multifaceted and encompasses internal development projects external collaborations and empowering of partner organizations our mission is strongly rooted in academic principles of responsible citizenship within the broader scientific community yet executed with the nimbleness of a startup such that research can be rapidly translated into products that benefit many to the greatest extent possible we strive for open sharing of knowledge and discovery through publicationat twinstrand we put a premium on creativity dynamic thinking and a rigorous scientific approach you will be challenged to push the boundaries of your knowledge skills and comfort zone and to take ownership of your area of specialty we expect all team members to take on some form of leadership role over time and mentor new team members as we continue to expand we want every member of our community to come to work excited each day and able to take pride in the highquality science to improve human health that they are contributing toour new stateoftheart ngs laboratory is ideally situated on the downtown seattle waterfront overlooking puget sound and our genomics team is growing quicklyjob type fulltimeexperiencebiostats computer science engineering 5 years preferrededucationbachelors preferredlocationseattle wa preferredwork authorizationunited states required,,WA,True,bioinformatics
Bioinformatics Research Scientist,bioinformatics research scientistthe candidate will be a key contributor in a scientific research team using big data approaches to define drug candidate cellular and molecular mechanism of action space responsibilities include supervising collaborator and leading internal efforts to analyze large protein data sets available bioinformatics databases and scientific literature to extract data relevant to target proteins constructing signaling pathways relevant to compound mechanism of action and modeling compound impact on target proteins in disease statesthe candidate will work with others in a teambased environment and make formal presentations of results to the companyqualificationsba bs ms or phd in bioinformaticsexpertise in coding rpython available bioinformatics database searching pathway mapping softwareexperience in pharmacokineticpharmacodynamic modeling and neurodegenerative disease biologyindustry experience a pluscognition therapeutics inc is an equal opportunity employercognition therapeutics inc is a clinical stage pharmaceutical company targeting neurodegenerative disorders our lead molecule ct1812 is currently in the clinic for alzheimer’s disease located in pittsburgh’s historic south side we are seeking highly motivated individuals to work in a dynamic industry environmentabout cognition therapeutics inc cognition therapeutics inc cogrx is a privately held biopharmaceutical company whose diseaserelevant screening and novel chemistry platforms have produced a pipeline of disease modifying small molecule drug candidates which are being developed to treat alzheimer’s disease and potentially other neurocognitive disorders cognition’s lead molecule ct1812 is a proprietary firstinclass orally available small molecule that is currently in clinical trials in patients with mildtomoderate alzheimer’s disease this highly brain penetrant compound targets the sigma2 receptor complex displacing toxic beta amyloid oligomers from their binding sites on brain cells and clearing them into the cerebrospinal fluid ct1812 has been shown in multiple alzheimer’s disease models to stop memory loss additional information about cognition may be found online at httpwwwcogrxcomjob type fulltimeeducationbachelors required,,PA,True,bioinformatics
Bioinformatics Scientist,"want to be part of a company whose goal is to be the best in the world and the best for the world

apply today

we are seeking a bioinformatics scientist to join our next generation sequencing department

title bioinformatics scientist

location south plainfield nj

responsibilities

automation of ngs data analysis and delivery pipeline development
build and maintain customize scripts to support bench operations and project objectives
build and maintain databases for complex data management and integration
work closely with it specialists to build and maintain robust infrastructure
develop and implement bioinformatics analyses applications and workflows
integrate statistical analysis to project design and data interpretations
provide customer support for ngs data analysis results


qualifications

ms in bioinformatics computer science or related field with 13 years of experience required
phd in bioinformatics computer science or related field with 02 years of experience preferred
strong background in software development on linux system
strong programming skills in python or perl required
strong programming skills in rshinny java andor c preferred
concrete bioinformatics skills in analysis of data from various omic platforms preferred
familiarity in applying statistical approaches to ngs data interpretation preferred
experience with sqlnosql database development andor web application development strongly preferred
experience with web application development strongly preferred
strong communication skills both written and verbal
demonstrate initiative in experimenting with new technologies


genewiz is a leading global genomics service company and trusted provider for dna sequencing gene synthesis molecular biology next generation sequencing bioinformatics and glp regulatory services

from the company’s founding genewiz has maintained its unwavering commitment to providing customers with the best value excelling in both science and customer support genewiz is dedicated to accelerating scientific discovery as well as to developing and delivering innovative solutions for translational medicine and healthcare easily accessible around the world genewiz is the preferred partner at leading academic pharmaceutical biotechnology agricultural government and clinical institutions

genewiz employees have a winning attitude and champion innovation teamwork and accountability through a resultsoriented customercentric and fun culture we offer various health and financial benefits learning opportunities competitive compensation rewarding bonus programs and a wide range of worklife benefits designed to make your life easier

visit our careers page at wwwgenewizcomcareers to view our open positions and apply

connect with us on linkedin and twitter genewiz",,NJ,True,bioinformatics
Bioinformatics Internships,"paid bioinformatics annotator internships are available at mindspec inc we are currently developing additional interactive database modules for autdbsfari gene interns will be trained to extract data from scientific literature using controlled vocabularies

qualifications
we are seeking talented and motivated individuals interested in working in a multidisciplinary team responsibilities include participating in the annotation of diseaserelated information for data mining and visualization the position offers an opportunity to work in the rapidly evolving area of multifactorial disease biology in a flexible dynamic research environment applicants must have or be pursuing an bs degree or higher in bioinformaticsmolecular biologyneurobiology or related field with a strong knowledge of genetics animal models or neuroimaging applicants should also have excellent written and oral communication skills display good ability to work with others and the ability to conduct assignments on multiple projects under tight deadlines

how to apply
please send cover letter and curriculum vitae to jobmindspecorg",,VA,False,bioinformatics
Programmer Analyst (Bioinformatics),the stowers institute has an opening for a programmer analyst to assist computational biology core with programming tasks and data analysisthe programmer analyst will develop and support nextgeneration sequencing informatics processes maintain and optimize the current ngs primary and secondary analysis pipeline and provide bioinformatics support to research projects by using computational tools to process transform visualize and analyze datasets primarily derived from highthroughput sequencing the individual will also involve scientific software supportminimum requirements include an undergraduate degree in computer science or a related discipline individuals with a masters degree in computer science with a bioinformatics concentration or a masters degree in bioinformatics with solid computer programming skills are encouraged to apply we require proficiency with at least one scripting language perl python or ruby as well as experience working in a unixlinux environment experiences in cluster computing ie sun grid engine and rbioconductor are desired but not essentialin addition to outstanding communication and organization skills the successful candidate will have strong problemsolving abilities good time management skills and the ability to multitask in a teamoriented environmentapplication instructions to apply please submit a current resume and 2 letters of recommendation tocareersatstowersorgor to administration department stowers institute for medical research 1000 e 50th street kansas city mo 64110about the stowers institute for medical researchthe stowers institute for medical research is a worldclass basic biomedical research organization focused on improving our understanding of fundamental mechanisms of biology and using this knowledge to guide the development of innovative treatments to improve human healthour dedicated scientists collaborate across a variety of disciplines studying many different aspects of health and disease a primary goal of our research is to understand the principles that guide the function and behavior of living organisms and individual cells discoveries resulting from this kind of research often prove to be major milestones along the path toward novel therapies and curesjim stowers founder of american century investments and his wife virginia opened the institute in 2000 currently the institute is home to about 500 researchers and support personnel over 20 independent research programs and more than a dozen technology development core and support facilities in 2012 the institute welcomed the first class of predoctoral researchers into the graduate school of the stowers institute gssimrdiscover more about us at wwwstowersorgand wwwstowersorggradschooljob type fulltime,,MO,False,bioinformatics
Bioinformatics,3000  5000 a monthparttime contract internshipbioinformatician job descriptionvastbiome is a drug discovery company that mines the microbiome for potential drug candidates based upon recent research implicating the gut microbiome as a driver of disease and health and a growing body of related research advancing computational techniques in microbiome analysis vastbiome aims to capture the wealth of genomic and chemical “dark matter” that accounts microbiome’s biological control over its hostat vastbiome we have developed a machine learning platform we call “vbx1” which analyzes the bacteria in the human gut to better understand the specific roles these microbes play in controlling human health with a particular focus on immunooncology and autoimmune disease we take patient stool samples and sequence the genetic content of the human microbiome to understand its role in stimulating suppressing and directing the host immune system our work focuses on refining the molecular agents through which microbes in the gut accomplish this immune control and to advance those molecular structures as new therapies and adjuvantswe are seeking a bioinformatician who is comfortable with nextgeneration sequencing analysis and who has an appetite for problemsolving in areas ranging from statistical imputation and machine learning to efficient highperformance computing to data engineering around the collection and aggregation of disparate genomic datasets in order to help us further improve our highperformance machine learning platform vbx1 you will work with our highly professional teams in basic science computational biology and software engineering to further develop our platform and uncover transformative insights and novel therapeutic leadsresponsibilities include develop and enhance algorithms for ngs dataextend and refine existing pipelines for the analysis of and ngs databenchmark and validate bioinformatics tools and pipelinesdesign workflows for collection and aggregation of disparate genomic datasetsmodel relationships among genomic and proteomic featuresdevelop and apply statistical techniques for classifying and predicting microbe host interactionminimum qualifications phd in bioinformatics computational sciences or related and 0 to 2 years of industry experience or masters degree in bioinformatics computational sciences or related if currently completing grad program that is acceptable as welldemonstrated problemsolving and data analytical skillsfanatical attention to details and commitment to the reliability of your researchability to quantify accuracy and performance of algorithmstoolspipelines with respect to metrics datasets and literatureexperienced in algorithm development and analysis in python or r additional experience in c c or java may be necessary depending upon applicant’s particular scope of workone of either indepth experience with bioinformatics algorithmstoolspipelines or an applied mathematicsstatistics backgroundability to quickly learn and adapt algorithms from opensource and to develop highly maintainable softwareability to prioritize and deliver research in a fastpaced milestonedriven environmentteam player with good communication skillsvastbiome is an investorbacked fast growing startup focused on the intersection of technology and biology vastbiome partners with top tier institutions in both the medical and technology sectors in order to further advance a singular vision of being at the frontier of drug discovery through the microbiomejob types parttime internship contractsalary 300000 to 500000 monthexperiencebioinformatics 1 year preferredr 1 year preferredcc 1 year preferredjava 1 year preferrededucationbachelors preferred,,CA,False,bioinformatics
Bioinformatics Programmer I,"parttime contractunder direct supervision the bioinformatics programmer i bp applies professional bioinformatics concepts and computational procedures to complete small projects or portions of projects the bp works on assignments of limited scope and complexity the bp follows standard programming procedures to analyze situations and data from which answers can be readily obtained

the bp will be working on a digital tool that intends to detect deficits in cognition ambulation and emotional response indicative of neuropsychiatric diseases this incorporates analysis of visual response through virtual reality headset gait sensors and cognition voice recognition the pb’s work will involve developing a platform to integrate these various data streams to analyze specific features in voice visual response and gait and to develop algorithms sensitive to deficits related to neuropsychiatric disease

the bp will be developing and utilizing computational tools to analyze and interpret biological or other research data the bp utilizes and develops algorithms computational techniques and statistical methodologies the bp will help in the design of new experiments and implement enduser needs in database searching and integration the bp maintains the computational infrastructure and tracks the flow of samples and information for largescale studies and provides webbased bioinformatics and access to public and proprietary databases

please note this is a 15  25 contract position for a period of 6 to 12 months from date of hire

department of neurology – bove lab
the bove lab is committed to finding new ways of improving the lives of people with multiple sclerosis ms through the application of novel as well as widely available technologies

throughout the department of neurology at ucsf our mission is to deliver superb patient care to apply stateoftheart translational research methods to discover the causes of and treatments for human nervous system disorders and to educate each generation of medical students neurology residents and postdoctoral fellows by fostering crossdisciplinary interactions among scientists around the world we accelerate the pace of discovery and champion the universitys global health initiatives

about ucsf

the university of california san francisco ucsf is a leading university dedicated to promoting health worldwide through advanced biomedical research graduatelevel education in the life sciences health professions and excellence in patient care it is the only campus in the 10campus uc system dedicated exclusively to the health sciences",,CA,False,bioinformatics
Bioinformatics Intern – R&D,"parttime internshipjob description
when you’re part of the team at thermo fisher scientific you’ll do important work you’ll have the opportunity to grow and learn in a culture that empowers your development we have created an inclusive global environment that values the power of diverse talent backgrounds and experiences to drive speed productivity innovation and growth

our internship program will give you a chance to get real world business experience and build your network before graduation we are seeking an energetic responsible intern to join our growing organization in this position you will be expected to learn the insandouts of our daily routines and procedures you will focus on learning how our organization runs and can be expected to gain valuable insight that can further your interest in your chosen career field

thermo fisher scientific inc nyse tmo is the world leader in serving science with revenues of 20 billion and the largest investment in rd in the industry we give our 70000 employees the resources and opportunities to make significant contributions to the world the customers we serve fall within pharmaceutical and biotech companies hospitals and clinical diagnostic labs universities research institutions and government agencies our products and services help accelerate the pace of scientific discovery and solve challenges ranging from complex research to routine testing to field applications

summary of internship
the software and bioinformatics organization supports the development of novel applications for the ion torrent semiconductor dna sequencing system highperformance and reliable bioinformatics workflows are essential for bringing customers from data to actionable insights in fields including oncology infectious diseases and reproductive health

the bioinformatics internship position provides an opportunity for students who are currently pursuing a quantitative discipline such as computer science engineering bioinformatics statistics etc to get hands on experience working with bioinformatics scientists in a fastpaced environment the bioinformatics intern will contribute to development projects and advance best design practices the position starts in june paid working 40 hours per week through august opportunity exists for this position to continue through the academic year on a parttime basis to allow for class schedules

essential functions
develop methods databases and web applications to support novel product development on the ion torrent semiconductor dna sequencing system
support a variety of software development activities and may be assigned to a variety of tasks throughout the department
specific tasks will be tailored to the software interns experience level and abilities
a bioinformatics intern works under the close supervision of bioinformatics scientists project managers and software engineering manager
skills and abilities
ability to work independently and as a member of a crossfunctional team
experience with linux or unix operating systems
experience with scripting languages such as python and r
familiarity with sql database and web applications development django framework
strong written and verbal communication skills
qualifications
student currently enrolled in classes leading to a abet accredited degree in a quantitative discipline such as computer science engineering bioinformatics statistics etc
experience in genomics bioinformatics nextgeneration sequencing preferred but not necessary
at thermo fisher scientific each one of our 70000 extraordinary minds has a unique story to tell join us and contribute to our singular mission—enabling our customers to make the world healthier cleaner and safer apply today

thermo fisher scientific is an eeoaffirmative action employer and does not discriminate on the basis of race color religion sex sexual orientation gender identity national origin protected veteran status disability or any other legally protected status



if you are an individual with a disability who requires reasonable accommodation to complete any part of our application process click here for further assistance

thermo fisher scientific is an eeoaffirmative action employer and does not discriminate on the basis of race color religion sex sexual orientation gender identity national origin protected veteran status disability or any other legally protected status",,CA,False,bioinformatics
Bioinformatics Annotator,"parttimefull and part time bioinformatics annotator positions are available at mindspec inc we are currently developing additional interactive database modules for autdbsfari gene annotators will be responsible for extracting data from scientific literature using controlled vocabularies

qualifications
we are seeking talented and motivated individuals interested in working in a multidisciplinary team responsibilities include annotation of diseaserelated information for data mining and visualization the positions offer an opportunity to work in the rapidly evolving area of multifactorial disease biology in a flexible dynamic research environment applicants must have an ms degree or higher in bioinformaticsmolecular biologyneurobiology or related field with a strong knowledge of genetics and disease biology applicants should also have excellent written and oral communication skills display good ability to work with others and the ability to conduct assignments on multiple projects under tight deadlines

how to apply
please send cover letter and curriculum vitae to jobmindspecorg",,VA,False,bioinformatics
