job_title,clean_description,salary,state,sponsored,search_term
Assay biologist to revolutionize cancer diagnosis,assay biologist needed to revolutionize cancer diagnosisabout us data driven bioscience is revolutionizing the approach to cancer diagnosis by connecting cancer diagnostic testing with intelligent software we are wellfunded by some of the top venture capital firms in silicon valleythis is an opportunity to create novel assays and to do work that matters you will work closely with an interdisciplinary team you should expect to work hard with a cutting edge teamwe pay a very competitive salary and offer stock ownership of one of the hottest startups anywhereabout you we have 2 separate positions available the first is for a juniorlevel person with either a bs or ms the second is for a more seniorlevel person with a phdyou need to have good handson skills with basic molecular biology techniques prior experience with next generation sequencing is helpful but not necessary we will train you in everything you need to knowyou need to be selfmotivated and driven to change the world of cancer diagnosisif any of this sounds interesting please apply with your current resume we will follow up promptlyjob type fulltimeeducationbachelors preferredwork authorizationunited states required,,NC,True,biologist
Invasive Species Biologist,46987 a yearthis position will perform a wide range of duties in support of the districts invasive species management program the incumbent will assist with planning and contractor oversight for the districts invasive plant control operations in natural areas primarily onsite coordination with groundbased herbicide applicators          in addition to providing technical oversight of invasive species management projects the incumbent will provide contract management support including reviewing contractor deliverables tracking purchase orders and planningmonitoring budgets provide technical assistance to other district staff regarding invasive plant management including herbicide usage control strategies and database management participate on various interagency teams coordinating invasive species management this position reports to the senior supervising scientist of the sta and invasive species management section          must have excellent verbal and written communication skills ability to plan and manage heavy workloads enthusiasm a temperament for dealing with harsh field conditions and a willingness and commitment to actively contribute to a collaborative team work effort          field experience with invasive plant species identification monitoring control and management is preferred knowledge of south florida ecosystems and their floraboth native and nonnativeis required          licenses     valid state of florida drivers license          possession or ability to acquire within 180 days state of florida pesticide applicators license with natural areas certification          airboat experience preferred district airboat certification will be required within 180 days          employment guidelines     typically has a bachelors degree in agronomy biology botany conservation biology ecology natural resource management weed science or relevant field and 2 years experience in the area of applied ecology and management of invasive andor nuisance species in aquatic and terrestrial natural areas          physical requirementsworking environment     the work environment is a combination independent field and office work with regular exposure to a hot and humid environment in remote natural areas with exposure to stingingbiting insects snakes and alligators may be required to lift up to 40 lbs          due to the districts response role and in the total scope of emergency management this position may at times be required to provide support before during and after major storm events and emergency situations such as hurricanes or other declared emergencies depending on assigned emergency response role     salary minimum4698720     salary midpoint     5584800     organizationom5205232 sta  invasive species management,46987.0,FL,True,biologist
Biologist II (Microbial Fermentation),job field rede  research  development     location tarrytown ny us     company basf corporation     job type standard     job id enus1803117          we are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race age citizenship color religion sex marital status national origin disability status gender identity or expression protected veteran status or any other characteristic protected by law     description     at basf we create chemistry through the power of connected minds by balancing economic success with environmental protection and social responsibility we are building a more sustainable future through chemistry as the worlds leading chemical company we help our customers in nearly every industry meet the current and future needs of society through science and innovation we achieve this through our commitment to continuous improvement and operational excellence which gives us the opportunity to set and deliver on ambitious longterm goals     we provide a challenging and rewarding work environment with a strong emphasis on process safety as well as the safety of our employees and the communities we operate in and are always working to form the best teamespecially from within through an emphasis on lifelong learning and development this allows for our employees to innovate and generate new ideas put them into action and gain insights from them to further advance our collective expertise     and we are constantly striving to become an even better place to work basf has been recognized by forbes magazine as one of americas best employers in 2017 we strongly support the spirit of collaboration through effectively involving team members and colleagues from other relevant units when developing and executing strategies and projects come join us on our journey to create solutions for a sustainable future     biologist ii white biotechnology research 1803117  tarrytown ny          where the chemistry happens     we are looking for a highlymotivated professional to join the biobased chemicals team in tarrytown ny the team is an integral part of basfs white biotechnology research within the global bioscience research platform          the individual will join a highly interdisciplinary team to perform fermentation science and bioprocess development to meet the defined targets and milestones from our exciting project portfolio this position will require close interaction with different basf research groups and businesses on a global level in addition the team maintains and supports numerous collaborations with nonbasf partners including universities and other organizations               formula for success               apply your education in bioprocess engineering biotechnology biology chemical engineering or a closelyrelated field  related knowledge and experience in microbial fermentation aseptic culturing and laboratory automation to design execute and analyze fermentation experiments prioritizing integrated and automated bioprocess control and analysisperform crucial tasks including but not limited to experimental design fermenterbioreactor preparation setup break down sampling monitoring sample analysis data analysis inventory management and equipment maintenanceyour strong entrepreneurial drive communication skills and teamworkoriented mindset will be an asset as you work on projects of increasing scope and complexity and collaborate with cross functional teams in strain engineering automation analytical and process scale up to achieve project goalswith your excellent attention to detail and analytical and problemsolving skills you will ensure the generation of highquality reproducible and actionable experimental data and support the continuous improvement of fermentation suite operationsyour commitment to a safe working environment will be essential as you will be proactive in creating a zero incident mindsetpossessing hands on experience with fermenter troubleshooting equipment maintenance mass spec fermentation control and analysis software is a plus     create your own chemistry what we offer you     adding value to our customers begins with adding value to you youbasf is the suite of benefits perks programs and unique opportunities we offer to support youthe whole youin all stages of your life and career with youbasf you create your own chemistry     the total rewards that you receive as a basf employee go way beyond a paycheck from competitive health and insurance plans to robust retirement benefits that include companymatching contributions to making sure you never stop learning we believe investing in you is investing in our success working for a large global organization youll have a chance to grow professionally and personally expand your network and build a rewarding and dynamic career     basf provides interesting and challenging learning and development opportunities to help you make the most of your talents and your jobcreate your own chemistry what we offer you     adding value to our customers begins with adding value to you youbasf is the suite of benefits perks programs and unique opportunities we offer to support youthe whole youin all stages of your life and career with youbasf you create your own chemistry     the total rewards that you receive as a basf employee go way beyond a paycheck from competitive health and insurance plans to robust retirement benefits that include companymatching contributions to making sure you never stop learning we believe investing in you is investing in our success working for a large global organization youll have a chance to grow professionally and personally expand your network and build a rewarding and dynamic career     basf provides interesting and challenging learning and development opportunities to help you make the most of your talents and your job,,NY,True,biologist
Aquarium Marine Freshwater Technician Biologist,26000  32500 a yearparttime contractsummary of dutiesunder leadership of the live exhibits supervisormanager of bass pro this person will be responsible for the overall health appearance maintenance and cleanliness of 3 freshwater exhibitsrequirements1 bachelors degree in biology chemistry environmental science or a related field no experience is required full on the job training for this position2 certified scuba diver certification card must be presented to the live exhibits management team before beginning work note a non certified diver may be hired with a 4 week job pending deadline for completion of scuba certification3 must have computer access to emails and submit weekly reports online to cabelasbass pro portal and oerca4 must have digital camera or camera phone5 ability to perform job duties that will require but not limited to climbing ladders wet enviroments and lifting equipment at times in excess of 50 pounds and is often physically strenuous6 eye and attention to detailjob detailsyour responsibilities would be but not limited to the following list1 health and well being of the live collection including but not limited to water quality visual inspections biopsies feeding and treatment of the exhibits2 operation and maintenance of the exhibits life support systems3 appearance of the exhibits and life support rooms4 full knowledge and adherence to procedures and protocols as outlined in the live exhibits operational manual5 weekly reports to be done online to the bass pro portal oerca and virtual task manager6 attendance and participation in monthly conference calls7 keeping necessary supplies on hand by ordering online8 communicate with supervisors to resolve issues with the animals or life support equipment9 ability to keep life support work areas clean and organizedcomplete and full on the job training it does not matter if your experience level is limited or no experience at all in these areasthere are 3 exhibits at this location14000 gallon freshwatervarious native freshwater fish including  bass blue gill crappie catfish gar trout etcextremely flexible schedule during the week weekends off unless an emergency is present which would be extra hours20 to 25 an hour25 hours a week minimumat least 26000 to 32500 a yearposition is available starting oct 24thopportunities to move to different locationsjob types parttime contractsalary 2600000 to 3250000 year,,NV,False,biologist
Ecologist/Biologist,50000  80000 a yearenvironmental consulting firm seeking ecologistbiologist with 310 years of experiencerolesresponsibilitiesdirect experience in the performance of one or more of the following specific areas wetland delineations vegetation surveys ecological inventories avian and wildlife surveys surveys for rare or threatened and endangered species or postconstruction restoration monitoring experience in northeast region of the us preferredexperience using global information system gis programs such as arcgis and arcgis explorer are necessary for spatial analysis of biological physical or chemical dataa certification in gis is a plusthe candidate will have strong report writing skills and be able to assist in preparation of reports and document submittalsjob type fulltimesalary 5000000 to 8000000 year,65000.0,NJ,False,biologist
Bat Biologist - REQ-107,cardno is seeking a bat biologist to work within our science and environment division this position will conduct surveys for bats and other wildlife using acoustic survey techniques mistnetting radiotelemetry studies and mortality monitoring for a variety of projects in the continental us the successful candidate will conduct fieldwork manage field teams and prepare survey reportsideal candidate would be in possession of a valid federal permit or have the ability to obtain section 10a permits for multiple listed species valid state scientific collectors permits in the midwest and southeast region would also be beneficialresponsibilities include but are not limited to use of topographic maps aerial photographs gps units and other maps and tools to determine exact locations of project areas habitat types and associated landforms conduct acoustic surveys and analysis deploy and maintain acoustic equipment conduct mist net surveys deploy and maintain mist net sets identification of bats to species level radio telemetry emergence counts report writing including nepa studiesminimum qualifications current federal permit listing myotis sodalis and the ability to obtain state scientific collectors permits must have relevant wildlife biology coursework and experience required to obtain federal permit must be able to work independently and interact positively with project managers land owners and other technicians willingness to work outdoors in a variety of locations and conditions flexible work hours during long work weeks that my switch from days to nights unexpectedly valid drivers license required bilingual capabilities spanish a plusto apply go to httpscardnowd3myworkdayjobscomenuscardnocareersjobmoneeilbatbiologistreq107job type fulltimelanguagespanish preferred,,IL,False,biologist
Conservation Biologist II,39611  63378 a yeartemporarync wildlife resources commission mission statement     to conserve north carolinas wildlife resources and their habitats and provide programs and opportunities that allow hunters anglers boaters and other outdoor enthusiasts to enjoy wildlifeassociated recreation          visit wwwncwildlifeorg for more information about careers the agency employs approximately 650 employees          this position requires travel with frequent overnight stays for meetings or assisting with regionalstatewide projects or assistance to other agencies          research monitoring and management coordinates and conducts research and surveys on coastal water bird populations monitors populations of coastal water birds to determine trends productivity andor distribution research survey and monitoring needs are driven by needs identified in the nc wildlife action plan and the regional supervisor compiles and enters data into databases analyzes data and reports on results engages in habitat andor land management activities as needed and directed addresses threats to populations and habitats via research and management produces reports and technical scientific papers for dissemination of findings          technical guidance and coordination reviews and prepares written comments on various beach stabilization projects as well as on other development projects that may impact nongame wildlife reviews permit applications environmental documents and makes recommendations for conservation responds to requests from other agencies organizations and the public for data and develops educational information for dissemination attends participates in and leads regional andor national technical meetings regarding status and management of high priority wildlife coordinates and leads stakeholder planning and management meetings within the state for species or habitats as necessary to develop and implement collaborative conservation programs to address priority species needs participates in meetings and coordinates with other state and federal agencies to secure permits and conduct habitat management activities identified as priorities in the nc wildlife action plan responds to requests for public programs as time allows this position serves a vital role on the agencys bird conservation leadership team providing guidance to sgcn projects statewide          supervision trains and supervises 14 temporary biologists at any given time working on specific projects recruits and trains volunteers and participants from other state and federal agencies and organizations to help with surveys management and monitoring          project administration prepares federal aid and other grant application plans and reports on activities requests budget levels based on grants received and orders equipment as needed looks for additional funding opportunities grants and collaborative efforts maintains all records of purchases and invoices          other assists other wildlife diversity staff on endangered species or non game wildlife projects and other wildlife management projects as directed participates in planning and coordinating with other program and division staff maintains equipment and supplies in excellent working order maintains inventories of equipment and supplies          work area while the work location is listed as beaufort county the work area will include pamlico craven pitt jones lenoir carteret onslow and pender counties as well          knowledge skills and abilities  competencies     advanced principles of scientific method biological techniques zoology ornithology botany statistics and ecology are necessary specific and extensive knowledge of nongame and endangered wildlife identification and biology coastal environments and wildlife management are required skills in wildlife habitat management and wildlife population management techniques are essential the ability to weigh biological needs of endangered species with public needs and desires is essential coordination with instate outofstate and international organizations agencies and individuals is imperative the ability to form advanced project designs and take these projects from conception to completion separates this position from other entrylevel biologists individual should be skilled in written and verbal communication and be able to work easily with landowners the ability to function independently and with little supervision is absolutely necessary the biologist should also be skilled in computer operation database management geographic information systems and networking platforms must be able to navigate and operate outboard motor boats and should be knowledgeable of the north carolina coast and sounds          minimum education and experience requirements     bachelors degree in wildlife management coastal ecology marine biology zoology or associated field and at least three years of experience in the wildlife or fisheries fields or an equivalent combination of education and experience,51494.0,NC,False,biologist
Environmental Intern (35 Hour) (Target Class - Environmental...,40939  56352 a yearinternshipthe connecticut department of energy and environmental protection deep is charged with conserving improving and protecting the natural resources and the environment of the state of connecticut as well as making cheaper cleaner and more reliable energy available for the people and businesses of the state the agency is also committed to playing a positive role in rebuilding connecticuts economy and creating jobs  and to fostering a sustainable and prosperous economic future for the state     the bureau of natural resources bnr is charged with managing the states natural resources particularly fish wildlife and forests through a program of regulation management research and public education     bnrs wildlife division currently has an opening for an environmental protection environmental intern target class wildlife biologist 1 located in burlington ct this position will be assigned to the wildlife divisions wildlife diversity program the wildlife diversity program is actively involved in conservation and management of birds reptiles amphibians small mammals including bats invertebrates and state and federally listed species          this position is fulltime 35 hours per week normally monday  friday 830 am  400 pm normally first shift but hours may vary according to field sampling or out of office state meeting needs          note do not submit a cover letter applicants must only include a resume within the resume tab of their application     questions about this position or required documents should be directed to the hiring agencys human resources office teresa munson teresamunsonctgov 8604243187     selection plan     this position is noncompetitive open to the public          the selected candidate must possess a valid drivers license at time of appointment and maintain during employment     purpose of job class nature of work     in a state agency receives training in introductory professional environmental work for the development of technical and professional skills and knowledge in order to qualify for advancement to the professional environmental work of the agency performs a wide variety of increasing difficult duties as technical skills are acquired during the course of the training period     knowledge skill and ability     some knowledge of basic theories principles and practices of environmental and policy analysis some knowledge of basic statistics general knowledge of environmental program planning principles and practices interpersonal skills oral and written communication skills analytical skills research and organizational skills ability to understand and interpret legislation and technical data ability to utilize computer software     minimum qualifications  general experience     a bachelors or masters degree in a scientific or technical discipline related to the environmental field including but not limited to the biological earth or physical sciences environmental planning environmental law leisure services geographic information systems geography with a concentration in geographic information systems environmental or natural sciences or natural resources     preferred qualifications     ability to operate 4wd vehicles towing trailers or equipment operating boats canoes or kayaks     experience training or coursework in conducting ratio telemetry or acoustic surveys     good problem solving and critical analysis skills     knowledge of and experience implementing federal and endangered species recovery plans     knowledge of state and federal wildlife conservation laws and regulations     spelunking or climbingrapelling skills a plus     strong computer skills including word excel powerpoint access including use of gis and social media     good oral and written communication skills          training in the preparation of technical reports and reports for public dissemination     training or courses covering project planning problem solving and coordination of multiple administrative tasks to meet specified project deadlines     visual and aural identification of avian species     identification of mammals especially bats and other small mammals     identification of reptiles     experience handling venomous reptiles     experience handling a variety of wildlife species     experience with methods and procedures for identifying and managing nuisance wildlife          experience with basic plant identification and knowledge of plant associations which serves as wildlife food or cover          visual and aural identification of amphibians     working conditions     incumbents in this class may be exposed to some danger of injury or physical harm from on site environments and moderate degree of discomfort from exposure to year round weather conditions,48645.0,CT,False,biologist
Entry Level Biologist/Scientist,entry level biologist needed     piper companies is currently seeking a entry level biologist to join a innovative and driven pharmaceutical company in the baltimore md area     responsibilities for the lab technician include     process and maintain samples     routine testing and running various techniques and methods     method development and validation     adhere to appropriate quality measures and regulations     review documentation and ensure its accuracy     qualifications for the lab technician include     experience in a laboratory setting     must have prior experience with elisa     strong attention to detail     4year degree in life sciences     compensation for the lab technician includes     dependent on relevant experience     benefits healthcare dental vision 401k     please send resumes to achupipercompaniescom,,MD,False,biologist
Agricultural Inspector/Biologist Trainee,46550  56597 a yearparttimeplease note the department is currently recruiting for a parttime 30 hoursweek permanent position however the eligible list generated from this recruitment may be used to fill other future fulltime 40 hoursweek permanent positions          agricultural inspectorbiologist trainee is part of a career series for agricultural inspectorbiologist trainee and agricultural inspectorbiologist i ii and iii classes in this series perform a wide variety of inspections to enforce the provisions of the california food and agricultural code california code of regulations california business and professions code structural pest control act government code and county code pertaining to agricultural and environmental regulations in one or more of the following agricultural program areas 1 pesticide regulation 2 investigation and environmental monitoring 3 integrated pest management 4 commodity regulation 5 pest prevention and plant regulation 6 agricultural land use planning and 7 agricultural statistics provide emergency response and do other related work as required     click here for full job description     the ideal candidate          minimum qualifications     either a graduation from an accredited fouryear college or university with a bachelors degree in agricultural biological natural resources chemical or physical sciences or other appropriate disciplines as determined by the secretary of the california department of food and agriculture or b possession of a valid certificate of qualification issued by the director of the california department of food and agriculture prior to january 1 1985 may substitute for the required education          licenses and certificates     agricultural inspectorbiologist trainee must obtain and maintain one valid california license as a county agricultural inspectorbiologist in any license exam area within one year of appointment,51573.0,CA,False,biologist
