job_title,clean_description,salary,state,sponsored,search_term
Business Analyst,overview     description     the business analyst is a key member of the global erp program and will help ensure that the smes configure and implement the global single erp solution nexus across the waterlogic group and in parallel will lead the documentation of all configuration  setup and document all necessary business process flows     the role will also support the global nexus team in the testing and implementation of the overall global solution this will involve document and achieving business signoff of all functional  operational business processes support the creating of the test scripts  test cases along with acceptance criteria to support uat execution and signoff     additionally the business analyst will support the functional  operational smes in cocreating or updating the global training material  collateral and supporting end user training as well as assisting the functional smes during uat golive and post golive support     this role will involve ownership establishing rigor and governance on all templates tobe business processes and training materials while supporting the global roll out of nexus within your agreed workstreams and responsibilities firstly with the us  uk implementation expected to complete in 2019 following which the implementation will continue across other territories with an emphasis on implementing nexus into their larger markets australia  germany first followed by other countries across the globe national and global travel will be required up to 50     responsibilities     responsibilities     create  manage all us process visio flows and tobe business  functional processesdocument the us system configuration and setupinstall a global erp solution and a single standard way of workingeffective raid management risk  issue tracking process  identification and resolutioneffective management of business  functional smes assigned to your workstreamsmanage all system administration documentation and templates     qualifications     experience     5 years of successful business analyst experienceerp implementation andor service industry experience preferred,,CT,True,business_analyst
Junior Business Analyst,channel control merchants is now accepting applications for an experienced junior business analystin hattiesburg msthe successful candidate will take charge of a project and deliver results that make our company more profitablejob responsibilities ability to prepare for and lead meetings must have good speaking and communication skillsidentify business trends utilizing multiple sources of datadesign review and analyze reports and data complications as requestedcompile analysis reports that are delivered to developers with followup on all emailsgather important company data and compile it into reports that district and departmental managers can usemust have the ability to work on multiple projects simultaneously and translate business data into digestible information that improves corporate processesfinance or retail background requiredmust be a selfstarter highly motivated and excellent follow throughexcel or other business information tool experience requiredpreemployment drug screen and background check requiredbenefits include health dental and life insurances 401k vacation and holidays after meeting eligibility requirementsjob type fulltimeexperiencebusiness analysis 1 year required,,MS,True,business_analyst
Junior Project Manager/Business Analyst,backed by three generations and over 40 years of experience in the natural products industry piping rock is a true industry pioneer in the production and distribution of vitamins nutritional supplements essential oils and other health products the company manufactures packages and ships our products in stateoftheart facilities located in long island new york were a familyowned company known for our incredible customer service and quality products and we believe our associates make the differencetechnology environment the technology landscape includes ecommerce applications lamp linux apache mysql php erp business applications ms great plains batch master and ms office tools word excel visio project access powerpoint development methodology includes both waterfall and agile processeskey position responsibilitiesassist project manager with the followingcollecting new business requestsgathering validating and documenting business requirementscoordinating project activities to ensure projects are delivered on time within budget adhere to high quality standards and meet customer expectationsmonitoring testing activities conducted by qa resources and assist with user acceptance testingpreparing user documentation for enduser trainingsupporting development deployment activitiesmonitoring and summarizing progress of projects and preparing status reportsskillsqualifications 25 years of project management andor business analyst experienceexperience with ms office tools word excel visio project access powerpointgood time management skillsvery good written presentation and verbal communication skillsexcellent organizational skills ability to plan and organize work activiitesprofessional and personable ability to work collaboratively with colleagues at all levelswilling to take initiative deal with ambiguity and assume responsibilitysome working knowledge of pmi project management processes and knowledge areas a pluseducation bachelors degree in computer science information systems business administration or related field a plusjob type fulltimeeducationbachelors preferredwork authorizationunited states required,,NY,True,business_analyst
Business Analyst,55000  65000 a yearare you ambitious reliable and experienced in business further your career as a business analyst by checking out this exciting opportunity through robert half technology looking to fill an opening at a growing dynamic firm should you choose to apply you ought to possess a strong technical skill set and be comfortable with the interpersonal aspects of the position based in the new york new york area this business analyst role is a fulltime opportunity          responsibilities               assist with creating documentation for software solutions using a customerfocused approach     craft thorough user stories and profiles     work with development and qa teams to test and implement new corrections and improvements     partner with designers on wireframes interactions and user flows     produce creative and accessible solutions for new product requirements     assess and review business technical and functional requirements     meet business goals by working closely with development team to invent and analyze product requirements     awareness of usability and application performance considerations     embedded sql experience desired     experience integrating with api backends     proven ability in developing requirements and product specifications for new or existing applications          ,60000.0,NY,True,business_analyst
Entry Level Business Analyst,62000  65000 a yearwe are looking for entry level business analyst the business analysts primary objective is helping businesses implement technology solutions in a costeffective way by determining the requirements of a project or program and communicating them clearly to stakeholders facilitators and partnersresponsibilities  extensive use of form design software designing and creating forms in both paper and webfallible formats developing corresponding instructions and modifying  coding forms and bookletsdefining functional and system change requirements updating and defining implementation guides  form specifications and creating test casestesting for content scanner readability and placement for system processing system changes and file format layoutssupporting the vendor community with upgrades and implementations to ensure standards and guidelines of the agency are metqualification bachelors or masters degreemust be very proficient at word and excelfamiliarity with claims processing software is a plusstrong problem solving and analytical skillsstrong verbal and written communication skillsjob type fulltimesalary 6200000 to 6500000 yeareducationmasters preferred,63500.0,NJ,False,business_analyst
Entry Level Business Analyst,65000  68000 a yearthe primary responsibility of an entrylevel business analyst includes supporting data gathering and providing review and analysis of data other daytoday duties include ensuring data integrity participating in data quality control and validation and producing requirements documents for various business development activities an entrylevel business analyst may also create and execute test scripts under supervisionresponsibilities gathers and synthesizes business objectives and translates them into requirementsprovides business expertise through the interpretation synthesis and translation of requirements throughout the systems development life cycleprovides input into detailed project estimates and work plansorganizes and facilitates requirements and design review sessionssupports and contributes to functional and user testingfacilitates the change control process for project requirementsidentifies and escalates issues and risks that may impede projectqualifications bachelors or masters degreestrong communication  technical skillsresponsible dependable quick learnerdemonstrated ability to adapt to new technologypreferred willingness to relocate nationwide in the us for projectjob type fulltimesalary 6500000 to 6800000 year,66500.0,CA,False,business_analyst
Entry Level Business Analyst,we are looking for entry level business analyst mostly we are looking recent graduates with no experience the business analyst will monitor key metrics used to determine trends that will impact customers act as an escalation point for customer issues and concerns and work with productdevelopment in evaluating defect priorities that impact customers as an entry level business analyst you will be responsible for providing user support for the various applications developed by the business systems development team          responsibilities                perform enrollment activities for commercial industrial and residential customers     identifying tracking and processing exceptions and issues     assist management and coworkers following welldefined practices and procedures     demonstrate a solid commitment to all aspects of safety     conduct businessspecific research gather data and compile reports and summaries     provide sound internal andor external customer service     actively seek formal and informal learning opportunities to better understand procedures based on proficiency level above          qualifications          bachelors or masters degree     knowledge of microsoft office tools including excel powerpoint access and word     demonstrate a questioning attitude to learn produce results and develop relationships based on proficiency level above     desire to continue to learn and grow work across client and deliver results based on proficiency level above          ,,CA,False,business_analyst
Entry Level Business Analyst,we are actively recruits graduates seeking entry level positions using a proven personalized process to connect grads with great jobs not with an app or an algorithm whether you are fresh out of college and looking for your first real job or a few years out and looking to redirect your entry level career we can help you our model focuses on finding the right candidate for each position          we are currently recruiting for a business analyst position this is a great entry level position with opportunities for professional growth and development          responsibilities include          prepare financial reports     participate in improvement of master data management process     develop market research analysis     ensure and measure master data integrity          qualifications for success     bachelors degree required all majors are encouraged to apply          strong analytical skills work ethic independence problem solving ability and positive attitude          excellent oral and written communication skills          strong organisational skills with the ability to multitask,,NY,False,business_analyst
Business Analyst,80000  110000 a yearwe are a growing itsoftware consulting firm that is looking for a business analyst to work on a major software project for a leading investment banking firm in nyc the ideal candidate will have solid knowledge of fedwire and has worked on the cashcommercial side of bankingtop reasons to work with us work with fortune 500 companies on major software projects be part of an agile and collaborative team where you will learn something every day never be bored at work you will be working on multiple projects be exposed to cuttingedge technologies and always learn something newwhat you will be doing apply project management methodologies and sdlc tools to reflect business models and requirements manage changes to project plans scope timelines and budget traveling to client sites to complete projects gather business requirements by interfacing with customers stakeholders and internal staff work with technical teams to translate business requirements into technical solutionswhat you need 35 years of experience as a business analyst knowledge of fedwire demonstrated expertise on the cashcommercial banking side expertise with excel and data analysis ability to multitask and thrive in a fastpaced environment excellent written and verbal communication skillsnice to have work experience inhouse or as a service provider to investment firmsmanagersjob type fulltimesalary 8000000 to 11000000 yearexperiencefedwire 1 year requiredinvestment management or commercial banking 1 year requiredbusiness analyst 3 years preferredwork authorizationunited states required,95000.0,NY,False,business_analyst
Entry Level Business Analyst,the business analyst is responsible for the set of tasks and techniques used to understand the structure policies and operations of the organisation and to recommend automated solutions that enable the organisation to achieve its goals the role has expertise and a generalised understanding of the it organisations systems and capabilities          responsibility          intermediate analytic and problem solving skills     ability to effectively participate in teams to solve a business problem     must be able to listen and interpret needs of diverse groups     ability to effectively present information and respond to questions from business service partners and senior managers     solid command of ms office software particularly ms excel     strong written and oral communication analytical and documentation skills     must demonstrate effective problem solving and leadership skills          qualifications          bachelors or masters degree     strong communication  technical skills     responsible dependable quick learner     demonstrated ability to adapt to new technology          ,,NJ,False,business_analyst
