job_title,clean_description,salary,state,sponsored,search_term
AWS Data engineer,contractsr aws data engineerremote project3 months plusrate doeexperienceexcellent communication skill requireddata lake storage and analytics experience on aws is muststrong aws experience with certification is requiredthanksanuranextphase systems6508876642job type contractexperienceaws 5 years requireddata engineer 10 years preferredlicenseaws preferred,,HI,True,data_engineer
Data Engineer,at ism connect we believe that success is achieved through teamwork we empower team members to make decisions and create an environment that makes everyone on the team betterjoin the analytics team that works in all of our business lines hone your skills in an exciting environment and have a measurable impact on a wellfunded and rapidly expanding business our venturebacked firm delivers innovative solutions to clientele from professional sports to some of the nation’s largest retailerswe are looking for a data engineer to join our analytics team to help design build and maintain a cloudbased etl pipeline feeding a cloudbased data warehouse which will support our analytics and data science efforts as our volume of data grows the data engineer will likely help out in other areas of the data science stack as well an engineer who is passionate about his or her work skilled at collaborating with coworkers and a positive and supportive presence in the office will be a particularly good fitspecific duties and responsibilitieshelp build and maintain a cloudbased scalable etl pipeline that ingests data from heterogeneous sourcesassist with design of a cloudbased data lake and data warehouseensure high data quality and availabilitytest the etl pipelinecontribute to other aspects of the data science workflowcomplete ad hoc data work as neededstay uptodate with etl advancements and best practiceseducation and experiencerelevant data engineeringdata science work experience in a corporate environment or similarpractical experience with etl and database technologiesexperience with amazon web services analytics and etl tools or similar cloudbased toolsrelational databases and columnar storagedata lake and data warehouse designexperience in other data science technologies r python etc and capabilities data analysis machine learning data visualization etc is helpfulexperience in a higher performance language such as c go etc is a bonusundergraduate or graduate degree in a technical field preferableskillsability to work and collaborate in a distributed team environmentwork with multiple internal teams to create deliverables for clients or for internal usageeffectively communicate project status blockers and questions to team membersselfmotivated and requires minimal managementability to learn new technologies and be involved in multiple projectstechnologyamazon web services analyticsetlglueathenakinesis firehoseauroraredshiftredshift spectrumspark pysparksqlmongodbpythonrgitbashbenefitsmeaningful work on worldclass and industrychanging productsamazing culture and a flat organizational structure100 covered premiums for medical dental life disability401k planultracasual dress work environmentflexible scheduledevice stipendism connect is an equal opportunity employer mfvdjob type fulltimeexperienceamazon web services analytics 1 year requiredpractical data sciencedata engineering 2 years requiredetl and database technologies 1 year requirededucationbachelors preferred,,PA,True,data_engineer
Data Engineer,data engineerdoers wanted dreamers encouragedour data engineer performs a wide range of job duties utilizing technical knowhow and an exceptional proactive customer service approach ensuring high levels of customer satisfaction maintains a very handson focus for technology matters combined with an affinity for solving complex technical issues and delivering projects on time and within budgetforesight culture is that of spirited team players in an environment energized by innovation and continuous improvement we truly believe it takes an entire team united behind something big so together we work hard we have fun we brainstorm we love ideas and we give highfives in the hallway foresight intelligence employees are encouraged to take a high degree of ownership and improve continuously we work in an environment where your voice matters and where your actions have a direct positive impact on the team and the customerreports to vice president of operationsjob duties and responsibilitiesidentify evaluate and recommend appropriate technologies and strategies for building products and delivering services from a database perspectiveassist in design and development of database systemssecure the database and ensure its integrityestablish the needs of users and monitor the useraccess model control access permissions and privilegesdevelop databases functions scripts stored procedures etc to collect process and present datamonitor performance and manage parameters of the database and provide fast query responses to frontend userssynchronize the conceptual design with the actual databaseenhance and refine the logical design of the databaseensure appropriate system storage requirementsupdate the database by installing and testing new versions of the dbmsdevelop and manage backups and construct recovery planscreate physical and logical database models according to business needs or requirementsprovide technical assistance to sort out database related issues identify errors and then resolve in a proper wayprepare documentation related to the databasework with dbas to manage the company databases effectivelyperforms other duties and responsibilities as required or assignedminimum requirementsbachelor’s degree in computer engineering or related field or equivalent knowledge skills and abilities in software engineering5 years of technical experience in a database engineering roleexcellent oralwritten communication skills and interpersonal skills with the ability to articulate ideas to both technical and nontechnical audiencesexpert with mssql familiarity with c programming conceptsinnovative selfmotivated and selfdirected with keen attention to detail exceptional service orientationability to work directly with customers understanding and fulfilling their needs in a competent mannerability to discern user requirements and develop specificationsexperience with microsoft system administration and web server configurationknowledge of internet protocols database management systems revision control systems information security vulnerabilities and risk managementpossessing a business understanding of the underlying dataability to follow projects through to completionability to learn new technologies quickly step outside your own comfort zone and handle unfamiliar challenges enthusiasticallyenjoys work overcoming obstacles is fun loves to help people and can work well independently or in groupsjob type fulltimeexperiencedata engineering 5 years preferredtechnical 5 years preferredc programming 1 year preferredmssql 5 years preferrededucationbachelors requiredlocationscottsdale az requiredwork authorizationunited states required,,AZ,True,data_engineer
Healthcare Data Engineer,product delivery engineerclearsense is building an endtoend data platform for healthcare companies based in the fastest growing markets around the world our product delivery team works directly with our customers to help solve their biggest challenges as a product delivery engineer pde you’ll help solve these challenges by building applications and configurations using the core platform and cuttingedge technologiesresponsibilitieswork with engineering to write platform configuration code for new featureslead the development execution and review of manual and automated test scriptsdevelop tools that provide customers with unprecedented transparency into their operationsbuild customer specific applications to streamline data integrationdetermine the best approaches to productize platform configurationauthor and maintain platform configuration documentationwrite sql queries to support product implementationsproficient programming skills to make minor modifications to existing java applications as neededrequirementsbachelors degree in a technical field or equivalent 4 years of experienceprogramming experiencestrong attention to detail able to take high level requirements and implement in a selfdirected daily basismotivated positive and constructive attitude—seeing challenges as opportunitiesability to operate in an agile startup environment with evolving requirementsstrong sql programming experience can be across any of the various rdbms such as oracle or sql server but this is a must have for this positionjava programming – competent proficiency is required go is a pluscomfortable using a shell to interact with linux or windowsprevious experience working in an agile environment is a plusstrong communication skillseducationbachelors degree in a technical field or equivalent 4 years of experiencelocationjacksonville fljob type fulltimeeducationbachelors preferredlocationjacksonville fl requiredwork authorizationunited states required,,FL,True,data_engineer
Data Engineer,"in this role the candidate will be responsible for performing data engineering duties such as planning developing testing maintaining and monitoring systems the candidate will report to the senior database engineer and work collaboratively with other teams to achieve business department and organizational goals the individual will also be responsible for developing implementing and overseeing secure database policies and procedures to ensure the integrity and availability of database systems

data engineer responsibilities
as part of the data engineering team provide support to java engineers for basic database administration needs such as tables indexes functions procedures etc
daily maintenance of database infrastructure mainly checking daily  nightly scheduler jobs backuprecovery and replication
understand business objectives and design services that couple business logic with code components for scalability and reusability
proficient in designing efficient and robust etl workflows
create or support creation of required reports in response to business user needs
monitor and report for critical production data systems
support multiple data systems in a production environment including dss oltp nosql and big data services
able to work with cloud computing environments
proactively monitor as well as troubleshoot problems escalated by the business  qa  analytics  development team in a timely manner
respond to and resolve sql database access and performance issues
candidate will be oncall and maybe required to work over weekend at times and will be part of a team in automating daily tasks using automated outofbox solution or shellperl scripting

data engineer requirements
34 years’ experience related to oracle db administration on unixlinus in a midtolargescale computing environment
strong understanding of database structures concepts principles and practices
experience in aws or google cloud computing environment
strong working knowledge of any nosql systems such as cassandra mongodb or dynamodb and elasticsearch
working knowledge of big data system such as hadoop mapreduce hive or spark along with resource management using yarn or mesos
proficient in python java andor r
experience in migrating from rdbms to nosql systems
strong sql ansi or other standard sql writing skills is a must
understanding of unixlinuxperl or bash shell scripting language
ability to architect highly scalable distributed systems
handson experience with pyspark or pytorch
working knowledge of apache kafka or aws sqs with kinesis data firehose
working knowledge of inmemory computing systems such as redis nuodb voltdb or gridgain",,NY,True,data_engineer
Data Engineer,data engineer  developerlooking to be part of an amazing team that is solving challenges growing and attracting attention plus do you want to work with data you can explain to your mom travelpass group is a closeknit group of technical marketing and business experts who are disrupting the travel industrywe are creating cuttingedge travel technology and data systems we uncover travel opportunities to help people travel more by saving money and booking easily since 2008 we have helped people book more than 8 million hotel rooms we have been recognized locally and nationally among the fastest growing companies and as a top workplace here’s a sample inc 5000 list of america’s fastestgrowing private companies utah business magazine fast 50 9 uv50 fastest growing companies in utah valley 9 mountain west capital network’s utah 100 22 deloitte technology fast 500 155 and the salt lake tribune top workplaceour data services team is looking for a mid to seniorlevel data engineerdeveloper with a passion for creating elegant yet simple data systems you’ll have opportunities to grow and be responsible for building and maintaining data pipelines making sure data is available and accessible and helping drive new innovation and insights via data management the ideal applicant will have strong development and systems skills and will provide the company with essential datakey responsibilities curate business critical data sets using our own data as well as external data setsprovide etl solutions to populate and enhance our data storesarchitect data pipelines to transform and validate datamaintain data quality and integrity across our systemsassist in data governance processes planning security and executionqualifications demonstrated strength in data modeling etl development and data warehousingextensive experience writing complex highlyoptimized queries across large data sets using sql postgres mysql or something similarstrong experience in python or similar languagesexperience with various aws services including rds s3 emr and rdsexperience consuming and cleansing data from thirdparty apis and other sources3 years of experience building software and working with dataexperience with big data technologies such as hive hadoop or sparkmotivated passionate and selfimprovingstrong organizational and analytical skills with an ability to extract meaning from dataexperience in our current technologies a bonus aws cloudsearch redshift athena golang rbenefits health insurance pto paid holidays 401k with matchingcompetitive compensation with quarterly bonusesflexible work schedule with remote daysfully stocked break room with game room and lounge areafun and casual company culture based upon respect and resultsgreat “friends and family” travel booking site that can save you and your friends a ton of cash we want you to experience traveljob type fulltime,,UT,True,data_engineer
Senior Data Engineer,job summarywe are hiring a senior data engineer for a new purposedriven vcbacked data and ai startup founded by adam bly adamblycombio we invite you to learn more about the vision and thesis for the company and the problems were setting out to solve here httpswwwlinkedincompulsewhyimstartingnewaicompanyadamblyresponsibilities and dutiesyou willarchitect and build key components of our first product working with large amounts of heterogeneous data and tackling highimpact technical challengesbuild products that help advance data science and machine learningcollaborate with experts in data science and ml and partners at top research labsleverage best practices in continuous integration and deliverybe part of the founding engineering team of the company and help shape our engineering culture values and ways of workingqualifications and skillsyou havea proven record of personally taking large data projects from ideation to implementationexpertise working with high volume heterogeneous data using distributed systems such as hadoop bigtable and cassandraexpertise architecting building and operating largescale batch and realtime data pipelines with data processing frameworks like scalding scio storm spark and dataflowstrong knowledge about data modeling data access and data storage techniquesexperience with agile developmentpreferably worked on graphs and open source datarelated projectsyou area systems thinker who is naturally predisposed to connecting dotsa scientificallyminded individual who generates hypotheses from observations conceives creative ways to test hypotheses presents arguments supported by data and changes your mind based on new datamissiondriven and passionate about the problems raised in the post shared aboveready to build something big and ambitious from the ground upjob type fulltimework authorizationunited states required,,NY,True,data_engineer
Data Engineer Internship,"internshipposition summary
the new york county district attorneys office has immediate openings for spring internships in its new law technology and innovation unit lti lti is charged with developing technology solutions to enterprisewide problems related to investigations evidence processing and case management interns will brainstorm problems and potential solutions with bureaus develop prototypes and contribute to existing data science projects and applications the lti intern will have latitude to apply his or her unique skillset to an evolving set of projects and tasks

responsibilities
•
work with those in your unit to understand case workflow and automate and streamline investigative steps wherever possible
•
develop technological infrastructure for your unit in the form of internal web applications or otherwise
•
develop tools to identify trends behaviors and patterns related to cases in your unit
•
work on cases directly wherever programming can speed up an investigation or bring in new insights
•
collaborate with others throughout the office to work on danywide applications and projects

qualifications
•
knowledge of python and preferably r and sql
•
experience developing internal web applications via flask django shiny bokeh html css javascript etc
•
experience working with databases
•
experience with data science
•
ability to make sense out of virtually any type of incoming file and extract and analyze the relevant data
•
ability to communicate effectively with anyone  other programmers internally or externally assistant district attorneys investigators or paralegals
•
driven to find ways to use technology to improve the way cases are brought in and investigated within your unit

educational requirements
•
currently enrolled in an undergraduate or graduate program in computer science or a related field

additional requirements
•
cover letter
•
unofficial transcript
•
previous data science project or portfolio
•
interest in law enforcement criminal justice or civic technology

commitmentapplicants must commit to a complete term
•
summer term june  august ï»¿10 weeks 35 hoursweek
•
fall term september  december 12 weeks minimum of 12 hoursweek
•
spring term february  may 12 weeks minimum of 12 hoursweek
the new york county district attorneys office is an equal opportunity employer",,NY,False,data_engineer
Data Engineer,"to be based in the south west we are looking for experienced data engineersinstallers of cat 5 6 and fibre optic cabling systems
location south west

type fulltime  subcontractor

rate negotiable salary depending on experience

you must be a qualified installer of cat5 cat6 and fibre the role is geared around carrying out new installations and fault diagnosis  repair work on existing infrastructure in our customer data centres

the range of installations we undertake in which you would be a part of

single and multisite solutions
design and installation
contract work and retained service
voice and data projects
cat5e cat6 cat6a cat7 specifications
fibre optics including blown splicing and pretermination
switches and routers
this role has become available due to expansion we have a closeknit team of engineers coupled with a high retention of employees

offers of employment are normally subject to satisfactory references and any other required preemployment checks in certain roles successful applicants will need to satisfy security requirements in order to gain access to our customer sites

all candidates will undergo a criminal reference check basic disclosure",,,False,data_engineer
Entry Level Data Engineer,"50000 a yearjob description

no computer science degree no problem we love selftaught developers
launchcode offers paid data engineering apprenticeships at one of our employer partners that include mastercard anheuserbusch boeing carnival cruise lines and many more more than 4 of 5 apprentices are offered a fulltime position with an average starting salary of 50000
we’re looking for applicants who are tenacious driven and know how to work a problem always digging deeper to learn how things work eager to squeeze some learning out of every experience we’re looking for you
we only accept applications through our website at
httpsbitly2oqizey

qualifications

passion drive and aptitude to succeed in technology
skills to analyze data using one or more of the following tools
python with bonus points for data science libraries such as pandas numpy and scikitlearn or some experience with r
sql including comfort with multitable joins views and stored procedures
data warehousing or etl process design
visualization tools such as tableau chartio powerbi or chartmaking libraries such as ggplot2
aws
the ability to work fulltime in the united states and a desire for your apprenticeship to become a fulltime job
we only accept applications through our website at
httpsbitly2oqizey
additional information

if you want to land a job in technology with launchcode but don’t yet have the required skills visit wwwlaunchcodeorggetstarted to see how we can still help
our stats
over 4 out of 5 launchcode apprentices get offered fulltime employment
on average last 84 days longer or shorter depending on the company
average starting salary after apprenticeship period 50000",50000.0,FL,False,data_engineer
