job_title,clean_description,salary,state,sponsored,search_term
Data Scientist,"given substantial growth and impact at crowe the machine learning team has formed into an official unit advanced data science ads which is responsible for all machine learning and artificial intelligence throughout the firm this team works on a wide variety of projects utilizing numerous areas of machine learning including supervised regressionclassification unsupervised learning anomaly detection nlp reinforcement learning deep learning forecasting etc

leverage large sets of structured and unstructured data to develop tactical and strategic insights collaborate with analytic and data teams to set objectives approaches and work plans research and evaluate new analytical methodologies approaches and solutions develop and validate statistical forecasting models and tools interpret and communicate analytic results to analytical and nonanalytical business partners and executive decision makers",,IN,True,data_scientist
Data Scientist,"at emc youll put your skills to good use as an important member of our team you can count on gaining valuable experience while contributing to the companys success emc strives to hire and retain the best people by engaging developing and rewarding employees

essential functions
builds models to improve profitability discover business insights and identify opportunities through the use of statistical algorithmic mining and visualization techniques
solves problems by integrating customers’ past experience cutting edge analytical techniques and advanced technology
integrates analyzes and models data across claims underwriting actuarial and risk improvement departments
performs exploratory data analysis from multidimensional datasets to develop innovative solutions
analyzes company data to recognize patterns identify opportunities for efficiency pose questions and make recommendations that add value
communicates with internal and external customers to obtain business problem clarity and develop appropriate solutions throughout project lifecycles
determines data quality activities based on project needs

education  experience
graduate degree in actuarial science mathematics statistics economics computer science finance or a related field or graduate coursework and equivalent work experience in predictive modeling
two years of experience in data science predictive modeling or analytics research
actuarial credentials in casualty actuarial society or society of actuaries preferred

knowledge skills  abilities
working knowledge of big data statisticsprobability and computer programming
internet of things knowledge preferred
strong analytical investigation and problem solving abilities
good working knowledge of excel and word
excellent knowledge of statistical software such as r or sas and database software such as access and sql
selfdirection and teamwork skills
strong verbal and written communication skills
occasional travel required a valid driver’s license with an acceptable motor vehicle report per company standards required if traveling



our employment practices are in accord with the laws which prohibit discrimination due to race color creed sex sexual orientation gender identity genetic information religion age national origin or ancestry physical or mental disability medical condition veteran status citizenship status marital status or any other consideration made unlawful by federal state or local laws

all of our locations are tobacco free including in company vehicles",,IA,True,data_scientist
Data Scientist,"are you looking for a job in a growing industry with new products new markets and new technology

with locations across the country amica mutual insurance company offers opportunities to join this dynamic field with a financially strong and respected insurance provider amica based in lincoln ri is a national writer of auto home marine and umbrella insurance amica life insurance company a wholly owned subsidiary offers a full line of life insurance products


we are recognized as a leader in customer service and credit this success to our 3700 employees in 44 offices across the country our benefits package includes highquality medical dental and vision coverage shortterm and longterm disability insurance and more

our office located in lincoln ri is seeking an associate modeling research analyst to help further our data science and analytics capabilities the claims business intelligence team’s mission is to provide current comprehensive and accurate information empowering amica to make the best business decisions possible

the selected candidate will combine insightful data analysis and algorithm development with exceptional communication skills in order to drive business value from structured and unstructured data will be responsible for shaping and executing analyses and preparing clear and concise presentations

job functions and responsibilities

use machine learning hypothesis testing and other data science techniques to develop solutions and positively impact the companydetermine requirements evaluating analytical approaches and producing predictive models using appropriate software
create useful insights and compelling stories from structured and unstructured data
communicate and document statistical analyses and methods in a logical and understandable manner for nonanalytical business users and executive decision makers
provide technical leadership mentoring and training to staff in statistical modeling and data analysesassist with supervision of all processes involved with the development of multivariate modelscollaborate on the development and planning of analytic projects in response to business needscontribute to the development of data models for mining production databasesparticipate in development of the analytics roadmap by evaluating and incorporating emerging standards best practices and new technologiesmake recommendations on products and services to support structured and unstructured data miningdemonstrate strong business acumen and understanding of insurance conceptsensure accuracy of results and analytic methodsperform other jobrelated duties as necessary

job requirements

bachelor’s degree in statistics mathematics economics or similar discipline masters degree preferred
3 years recent handson experience working with data mining tools sas spss r studio python or an equivalent analytics packageproficiency with logistic regression time series neural networks forecasting optimization and other predictive modeling techniquesexpertise in text and sentiment analysisexperience manipulating large amounts of data using sqlexceptional communication and presentation skillsability to translate business needs into technical requirementssuperior analytical mathematical and problem solving skillsability to work with a reasonable degree of independence and with a teameffectively manage time to handle competing high priority projectsexperience using business intelligence tools microstrategy and creating data visualizations is a plusknowledge of claims processing systems guidewire claimcenter is a plus

equal opportunity policy all qualified applicants who are authorized to work in the united states will receive consideration for employment without regard to race religion sex color national origin ethnicity age genetic information disability or sexual orientation the age discrimination in employment act prohibits discrimination on the basis of age with respect to individuals who are 40 years of age or older employees are subject to the provisions of the workers compensation act

cb

ind15",,RI,True,data_scientist
Data Scientist,"ascensia diabetes care is a global specialist diabetes care company dedicated to helping people living with diabetes our mission is to empower people living with diabetes through innovative solutions that simplify and improve their lives we use our innovation and specialist expertise in diabetes to develop high quality solutions and tools that make a positive daily difference for people with diabetes

position purpose the ideal candidate will be intricately involved in running analytical experiments in a methodical manner and will regularly evaluate alternate models via theoretical approaches responsibilities include analyses of various data streams utilization of large data sets to determine unique insights to further business needs this includes finding innovative ways to combine fields of data that don’t naturally mesh together as well as exploratory data analysis in order to navigate a dataset and come out with conclusions based on certain assumptions creation of meaningful data visualizations that communicates findings and relate them back to how your insights create business impact

work autonomously and be comfortable building projects from start to finish position participates in projects and makes proposals for new and innovative projects within the rd environment uses expertise gained through a wide exposure of previous assignments and by focusing on areas for planning scheduling organizing performance management financial management and administrative skills

major tasks and responsibilities of position

research and develop statistical learning models for data analysis
analyze business needs and produce results that meet strategic objectives
optimize information architecture to promote usability while accommodating technical needsconstraints
understands and ensures strict compliance to applicable processes collaborates to ensure crossfunctional process requirements eg regulatory are met
collaborate with product management and engineering departments to understand company needs and devise possible solutions
possess ability to present interpret and recommend to senior management the results of work including the development including the development of new concepts major advances in technology new major applications and progress on all product programs
keep uptodate with latest technology trends
implement new statistical or other mathematical methodologies as needed for specific models or analysis

qualifications

experience in a fastpaced software development environment and an ability to execute against aggressive timelines
proven ability to influence crossfunctional teams without formal authority
highly creative and inquisitive able to multitask effectively
deep knowledge of statistical tests distributions maximum likelihood estimators
sound experience with python andor r
experience with statistical programming languages and a database querying language like sql
experience with machine learning methods like knearest neighbors random forests ensemble methods and more
datadriven problemsolver
degree in computer science engineering statistics technical science or 4 years of itprogramming experience
experience in and understanding of data and information management especially in big data trends
health care industry experience is a plus
experience with development in regulated environment is a plus
experience with medical devices or software is a plus
ms 4 years of experience
bs 6 years of experience

ind123

your application
ascensia offers a wide variety of competitive compensation and benefits programs if you meet the requirements of this unique opportunity and are driven by innovation and the desire to improve the lives of our patients we encourage you to apply now job postings will remain open for a minimum of five business days and are subject to immediate closure thereafter without additional notice

to all recruitment agencies
ascensia does not accept unsolicited third party resumes

ascensia is an equal opportunity employer

for canada
ascensia diabetes care canada inc welcomes and encourages applications from people with disabilities canadians participating in our selection process requiring accommodation due to a disability or medical need are encouraged to notify the ascensia representative that they will be meeting with to ensure appropriate arrangements can be made",,NY,True,data_scientist
Data Scientist w/ Watson Experience,90  95 an hourcontractdescription building and deploying analytic models data wrangling analysiscleansing buildingdescriptive and predictive models in ibmopen platformsmust have skills building analyticmachine learning deep learning modelsnlpwatson knowledge studiowatson discoverypython apache spark scikit learn  similar librariesspss modellerwatson ml watson data studiodsxjob type contractsalary 9000 to 9500 hourexperiencespark 1 year preferrednatural language processing 1 year requiredspss 1 year requiredpython 1 year requiredwatson 1 year required,,NC,True,data_scientist
Data Scientist,"fora financial located in nyc is a leading financial services company providing working capital to small and midsize businesses nationwide
established in 2008 we support small businesses in need of financing to sustain or grow their enterprise by providing innovative customized and flexible working capital solutions we operate through a consultative approach listening to customers and providing what best meets their needs in an everchanging financial market to date fora financial has funded over 22000 individual transactions to more than 15000 unique customers the company has funded over 750 million in working capital solutions for small businesses since its inception
a day in the life of a data scientist

build predictive models including but not limited to credit risk fraud response and offer acceptance propensity
perform through testing and validation of models and support various aspects of the business with data analytics
identify new data sourcespatterns that add significant lift to predictive modeling capabilities
conduct analysis and turn insights into actionable changes for predictive models or policies
develop analytics and advanced visualization to assist with portfolio surveillance typical functions are loss forecasting mix management risk appetite management collections strategy and reporting related to kpis that affect portfolio surveillance such as nonperformance loss rates and loss severity
partner with it to integrate and productionize new data sources for modeling use

what you have
bs degree or higher in statistics applied math computer science engineering or other quantitative program
3 years minimum experience with credit risk modeling 5 years minimum preferred
proven track record of building new models and improving existing models
deep understanding of consumer credit report variablesattributes at both summary and tradeline level
experience with small business lending and portfolio management is a plus
passionate about solving problems with data and high level of intellectual curiosity
thorough understanding of statistical modeling techniques
proficiency in at least one of the following languages r sas sql python
highly motivated to work on multiple projects in parallel and team player with a start up spirit
solid written and oral communication skills and ability to share findings with nontechnical audience


the benefits of working for fora financial
a good worklife balance
medical dental vision coverage
401k match
life insurance at no cost to employees
generous time off plan including rollover vacation days
commuter benefits
health care and dependent care flexible spending",,NY,True,data_scientist
Data Scientist - Big Data,"req id 32813

at ntt data services we know that with the right people on board anything is possible the quality integrity and commitment of our employees are key factors in our company’s growth market presence and our ability to help our clients stay a step ahead of the competition by hiring the best people and helping them grow both professionally and personally we ensure a bright future for ntt data services and for the people who work here

ntt data services currently seeks a data scientist  big data to join our team in durham north carolina usnc united states us

day to day job duties what this person will do on a dailyweekly basis

evaluate trends characterize factors develop predictive models and identify optimization opportunities
provide accurate timely relevant and quality analysis that translate data into sound organizational decisions
research design and prototype robust and scalable models based on machine learning data mining and statistical modeling to answer key business problems
build tools and support structures needed to analyze data perform elements of data cleaning feature selection and feature engineering and organize experiments in conjunction with best practices
work with development teams  business groups to ensure models can be implemented as part of a delivered solution replicable across many clients
present findings to stakeholders to drive improvements and solutions from concept through to delivery

basic qualifications what are the skills required to this job with minimum years of experience on each

data scientisthadoop 35 years
strong skills in software prototyping and engineering with expertise in applicable programming and analytics languages python r cc and various open source machine learning and analytics packages to generate deliverable modules and prototype demonstrations of their work
sql programming skills
experience with design and implementation of analytic models and methodologies for new applications
experience with data visualization tools eg tableau
experience with large and complex data sets
demonstrated ability to propose novel solutions to problems performing experiments to show feasibility of their solutions and working to refine the solutions into a realworld context
strong analytical written and verbal communication skills

travel need locals
degree bachelors in computer science or equivalent work experience

desirable skills  experience

phd in computer science computer engineering or ms with 3 years of experience in related field
deep knowledge of fundamentals of machine learning data mining and statistical predictive modeling and extensive experience applying these methods to real world problems
desired interdisciplinary skills include big data technologies etl statistics and causal inference deep learning modeling and simulation
breadth of skills and experience in machine learning – diverse types of data diverse data sources different types of learning models diverse learning settings
experience in healthcare domain

this position is only available to those interested in direct staff employment opportunities with ntt data inc or its subsidiaries please note 1099 or corp2corp contractors or the equivalent will not be considered we offer a full comprehensive benefits package that starts from your first day of employment

about ntt data services

ntt data services partners with clients to navigate and simplify the modern complexities of business and technology delivering the insights solutions and outcomes that matter most we deliver tangible business results by combining deep industry expertise with applied innovations in digital cloud and automation across a comprehensive portfolio of consulting applications infrastructure and business process services

ntt data services headquartered in plano texas is a division of ntt data corporation a top 10 global business and it services provider with 118000 professionals in more than 50 countries and ntt group a partner to 88 percent of the fortune 100 visit nttdataservicescom to learn more

ntt data inc the “company” is an equal opportunity employer and makes employment decisions on the basis of merit and business needs the company will consider all qualified applicants for employment without regard to race color religious creed citizenship national origin ancestry age sex sexual orientation gender identity genetic information physical or mental disability veteran or marital status or any other class protected by law to comply with applicable laws ensuring equal employment opportunities to qualified individuals with a disability the company will make reasonable accommodations for the known physical or mental limitations of an otherwise qualified individual with a disability who is an applicant or an employee unless undue hardship to the company would result",,NC,True,data_scientist
Data Scientist (contract),"94000  139000 a year indeed est contracthere at fooji the food doesnt just give itself away weve got a strong team of engineers behind the scenes managing our platform and we want you to get in on this
were looking for a contract data scientist who has practical experience performing data mining and who can quickly get to work on a new problem you should already have a set of tools that you are experienced with of course this does not rule out learning new tools if they will be more appropriate for the problemspace at hand
initially the position will be very much an exploratory one so you need to have the initiative to work independently and build some interesting models without a huge amount of hand holding obviously we will give you initial guidance but you must be able to go away and come back with statistically significant findings we are not expecting you to do the impossible if you can prove that certain models cannot be built given the current data set fine this is also an interesting finding
if you do not live near our lexington kentucky hq you may work remotely
requirements
we expect you to be familiar with the following technologies
git
sql
solid experience in one programming language relevant for your work
familiarity with a toolbox of relevant open source libraries
open source contributions are always appreciated
if youve got a github profile that really helps expedite the hiring process so please include it with your application",116500.0,,False,data_scientist
Data Scientist,50000  65000 a yearabout the role this is a rare opportunity to join a small but fastgrowing team where you will play a major role in shaping biz2credit’s future we’re looking for an exceptional candidate that is excited about the opportunity to build a nextgeneration financial services business we believe that there is a tremendous opportunity to leverage cuttingedge data science to inform smarter faster decision makingas a biz2credit data scientist you will shape the company’s datacentric culture work closely with our engineering team to develop our analytics infrastructure and collaborate closely with our chief data officer on developing validating and automating our customer conversion and underwriting models while a background in financial services is not required you must be passionate about tackling complex data challenges for the benefit of small and medium businesses everywhereyou willdrive the ongoing advancement and refinement of biz2credit’s credit decisioning  pricing model  optimizing risk and return while dramatically reducing decision cycle timescontinuously evaluate alternative data sources and structures to document and improve the efficacy of our customer conversion models and processesharness the power of biz2credit’s technology to proactively identify emerging risks as well as opportunities with our customersplay a leadership role in the design and implementation of ongoing operational and risk reporting and analyticswork on data projects and proposals involving biz2credit’s financial services partners worldwide banks nonbanks debt investors equity investors and others to analyze classify and visualize creditrelated datawere looking for someone withdegree in statistics applied mathematics engineering computer science or other quantitative fields from leading university advanced degree preferred2 4 years experience performing quantitative analysis within selfdirected rolespractical handson experience in the development and implementation of new predictive models and comfortable in learning new statistical tools and techniquesability to visualize and communicate sophisticated data and models to all audiencesspecific demonstrated experience knowledge accuracy and speed of execution in powerpoint excel excel vba and r knowledge of other programming knowledge andor stata is a plus highly motivated versatile capable of working independently with demonstrated initiativejob type fulltimesalary 5000000 to 6500000 yearexperiencestata 1 year preferredquantitative analysis 1 year preferredexcel 1 year preferredmicrosoft powerpoint 1 year preferredr 1 year preferrededucationbachelors preferredwork authorizationunited states required,57500.0,NY,False,data_scientist
Data Scientist,"description

hearts  science has been inspired by confident marketers seeking business advantage in a world of personalized digital marketing where crm and addressable channels converge and decisions must be made in real time to aggregate effective reach and deliver the right message at the right time

designed to inform brand strategies with realtime insights hearts  science is a datadriven marketing agency with expert media planning and buying capabilities among other services that include shopper marketing marketing innovation and content activation the following are the responsibilities and duties of the data scientist

as every cmo knows employing technology data and analytics to business challenges is the cost of entry not a nicetohave unlocking the value of consumer data can deliver growth revenue and roi and create differentiation to stay on top realtime action is instrumental in driving results within a highly fragmented marketplace hearts  science’s marketing science solutions are built to deliver insightful results with speed accuracy and a single version of the truth in leveraging the dna of a marketing agency with a talent pool of developers data scientists and phds we hold a unique position in the increasingly crowded ad tech and consulting space

core responsibilities include but are not limited to the following
explorating and experimentating with large number of datasets to draw insights and search for stories
modeling and building algorithms on top of our vast number of datasets
assist in designing tech infrastructure and data pipelines etl data automation data querying etc
building tools to process visualize and analyze data
designing and building datadriven software products
deploying scalable solutions to a cloudbased infrastructure

desired qualifications
good understanding of advertising technology and landscape including external data providers and data management platforms
13 years developing analytic projects
strong written and verbal communication skills thrive in a rapidlyevolving environment
industry experience with predictive modeling databases computational simulation clustering machine learning and remote computing eg amazon aws
experience with python numpy scikit matplotlib and pandas packages sql bash r and other similar statistical computational environments
exposure to javascript htmlcss xml hadoop and parallel processing",,NY,False,data_scientist
