,text
0,"Who We Are:
Cardinal Financial is a nationwide direct mortgage lender whose mission is to prove that homeownership is possible for everyone. By bringing an open-minded approach to an often closed-minded industry, we're able to embrace every unique financial situation differently in order to craft the best possible loans for our borrowers. We pride ourselves on providing excellent service backed by our groundbreaking technology, and these two components of our process come together to complete a simple, personalized mortgage experience. But it all starts with our people.

We believe that no matter where you fit in our organization—Sales, Human Resources, Information Technology, or even re-stocking the break rooms with endless coffee supplies—everyone can influence the experience that we provide to our customers and our partners. We tell our customers and our partners that anything can be reimagined. So why not your career? Looking to join a company that values its people, innovates and expands on its proprietary technology, and is growing at a ridiculous rate?! Apply below!

What You Will Do
Clean data in preparation for reporting and analysis
Assist with the collection and analysis of data in support of Business Intelligence requests
Research and analyze key business drivers, competitive environment, opportunities, trends and operating metrics
Interact with team members across all departments
Assist in developing and maintaining various models
Provide support for ad-hoc data analysis
Cross-train with team members to increase individual and team knowledge
What You Need
Bachelor’s Degree in Finance, Business, Information Systems, or equivalent experience.
0-2 years data analysis, systems analysis or BI work experience, preferably for a financial services company
Intermediate Excel knowledge required; Advanced knowledge highly preferred
BI tools experience preferred; SSRS/SSIS/SSAS or Tableau preferred.
Experience with database querying; MySQL or SQL Server syntax experience highly preferred.
Experience with VBA (visual basic) preferred.
Ability to initiate and drive projects to completion with minimal guidance.
Ability to communicate the results of analyses in a clear and effective manner.
Positive attitude with lots of energy.
Ability to work well within a team environment and take constructive criticism, coaching and feedback on a consistent basis.
Highly detail oriented and organized with the ability to multi-task and work in a very fast-paced environment.
Ability to prioritize and manage a large volume of tasks.
Ability to exercise discretion on sensitive or confidential matters.
Basic knowledge of consumer lending processes, products and operations preferred
What We Offer
Strength, Stability, and Vision.
An empowered culture where your ideas are important and your voice matters.
Opportunity for career growth.
Competitive compensation package.
Benefits that become effective the first day of the month following your start date including - Medical, Dental, Vision, Life and much more.
401K w/ 50% match up to a maximum employee contribution of 5%- Effective the 1st of the month following 30-days of employment.
Back Apply Now"
1,"$60,000 - $70,000 a yearThere's an exciting opportunity at a growing organization in the Non-Profit industry for an experienced Business Analyst through Robert Half Technology. Can you analyze customer needs and address those needs by developing a clear plan of action? The ideal candidate should be an ambitious, excellent communicator that possesses terrific technical and social skills. This full-time opening is for a Business Analyst in the Morrisville, North Carolina area.

How you will make an impact


Craft thorough user stories and profiles
Evaluate business, technical, and functional requirements
Produce documentation for software solutions, using a customer-focused approach
Develop creative and highly usable solutions for new product requirements
Evaluate and enact new corrections and improvements, collaborating with development and QA teams
Work together with designers to develop wire-frames, interactions, and user flows
Invent and analyze product specification to meet business goal, working closely with development team
Past experience with usability and application performance considerations
SQL experience
Solid grasp of developing requirements and product specifications for new or existing applications
Prior experience integrating with API backends

"
2,"Business Analyst Job DescriptionWe are hiring a Business Analyst to join our team. You will work alongside other team members and report directly to the VP of Product Management. Your main tasks will include performing detailed requirements analysis, documenting processes, and performing some user acceptance testing. To succeed in this role, you should have a natural analytical way of thinking and be able to explain difficult concepts to non-technical users.This position can be located at our Corporate Headquarters in Virginia Beach, VA or satellite office in Rochester, NY.NO RECRUITERS, PLEASE.Business Analyst Responsibilities: Evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions.Leading ongoing reviews of business processes and developing optimization strategies.Staying up-to-date on the latest process and IT advancements to automate and modernize systems.Conducting meetings and presentations to share ideas and findings.Performing requirements analysis.Documenting and communicating the results of your efforts.Effectively communicating your insights and plans to cross-functional team members and management.Gathering critical information from meetings with various stakeholders and producing useful reports.Working closely with Sales, Operations, IT, and Management.Allocating resources and maintaining cost efficiency.Ensuring solutions meet business needs and requirements.Performing user acceptance testing.Updating, implementing and maintaining procedures.Prioritizing initiatives based on business needs and requirements.Serving as a liaison between stakeholders and users.Managing competing resources and priorities.Monitoring deliverables and ensuring timely completion of projects.Business Analyst Requirements: A bachelor’s degree in business or related field or an MBA.A minimum of 5 years’ experience in business analysis or a related field.Exceptional analytical and conceptual thinking skills.The ability to influence stakeholders and work closely with them to determine acceptable solutions.Advanced technical skills.Excellent documentation skills.Fundamental analytical and conceptual thinking skills.Experience creating detailed reports and giving presentations.Competency in Microsoft applications including Word, Excel, and Outlook.A track record of following through on commitments.Excellent planning, organizational, and time management skills.Experience leading and developing top performing teams.A history of leading and supporting successful projects.Job Type: Full-timeExperience:business analysis: 5 years (Preferred)"
3,"InternshipLocation:  3495 Piedmont Rd NE Building 12, Suite 205, Atlanta, GA 30305Paid/Unpaid:  Paid Hours:  Flexible; 15-20 hours/week. Duration:  Fall 2018OVERVIEWFieldEdge is the leading vertical SaaS business that enables contractors to run their small businesses with ease, save time and make more money through targeted marketing and improved resource utilization. FieldEdge has helped thousands of service-based organizations increase sales performance and overall workforce productivity by managing all aspects of their daily operations since 1980.We are a Stevie-Award winning company that was recently named to Glassdoor’s Best Places to Work list and the Inc. 5000’s List of Fastest-Growing Companies! You can think of FieldEdge as a hyper-growth software company with a startup culture that is backed by 35 years of industry-leading knowledge. We have a work hard, play hard environment where no one takes themselves too seriously.PRIMARY DUTIES AND RESPONSIBILITIESAre you looking to leverage your college curriculum and apply your skills to fast-paced, diverse projects? We are looking for a Business Analyst Intern to support various responsibilities including KPI tracking for the Sales and Marketing departments, Salesforce cleanliness, and data manipulationKey responsibilities:Data entry and lead organizationCollect and report on sales and marketing analytics data through Google Analytics, Pardot, and Salesforce; perform regular data entry and clean up in SalesforceAssist Sales team with administrative supportExercise ruthless organization skills to stay on top of competing prioritiesWork with the Sales and Marketing functions to identify optimizations and improvements – we want to hear your ideas!Other operational tasks as neededREQUIREMENTSUndergraduate students working towards a Bachelor's degree in their junior or senior year of study. Data Analytics, Economics or Business Management majors preferredAbility to work 15 – 20 hours a weekStrong interpersonal skills to build rapport with prospective and existing customersExceptional attention to detail, ability to prioritize multiple objectives and projectsTeam player with an entrepreneurial spiritSalesforce and Excel experience preferredBENEFITSStart-up culture – for those looking to work hard and develop in a rewarding career with growth opportunitiesOn the job training; access to a diverse group of mentorsFree lunches, snacks and drinks are abundant in our facilities, along with a large TV and ping pong tableOpportunities for full time employment upon graduation!Job Type: InternshipEducation:Bachelor's (Preferred)"
4,"Overview
Description:
The Business Analyst is a key member of the Global ERP Program, and will help ensure that the SME’s configure and implement the Global single ERP solution (‘Nexus’) across the Waterlogic group and, in parallel, will lead the documentation of all configuration & set-up and document all necessary Business process flows.
The role will also support the Global Nexus Team in the testing and implementation of the overall global solution, this will involve document and achieving Business sign-off of all functional / operational business processes, support the creating of the Test Scripts / Test Cases, along with acceptance criteria to support UAT execution and sign-off.
Additionally, the Business Analyst will support the Functional / Operational SME’s in co-creating or updating the Global training material / collateral and supporting End User Training, as well as assisting the Functional SME’s during UAT, Go-Live and Post Go-live support.
This role will involve ownership, establishing rigor and governance on all templates, To-Be’ business processes and training materials, while supporting the global roll out of Nexus (within your agreed workstream(s) and responsibilities. Firstly, with the US & UK implementation expected to complete in 2019, following which the implementation will continue across other territories, with an emphasis on implementing Nexus into their larger markets (Australia & Germany) first, followed by other countries across the globe. National and Global travel will be required. (up to 50%)
Responsibilities
Responsibilities:
Create & manage all US Process (Visio Flows) and To-Be’ Business / Functional Processes.Document the US system configuration and Set-upInstall a Global ERP solution and a single standard way of workingEffective RAID Management (Risk & Issue tracking process - identification and resolution)Effective Management of Business / Functional SME’s assigned to your workstream(s)Manage all System Administration documentation and templates
Qualifications
Experience:
5+ years of successful business analyst experienceERP Implementation and/or Service industry experience preferred"
5,"$62,000 - $65,000 a yearWe are currently recruiting for an Entry Level Business Analyst position. This position is ideal for those who possess a background in business, finance, and have the desire to learn and advance. The Business Analyst is responsible for the set of tasks and techniques used to understand the structure, policies, and operations of the organisation, and to recommend automated solutions that enable the organisation to achieve its goals.Responsibilities: Analyse regulatory and business requirements, specifically for prospective payment software solutionsWrite technical software specificationsWork with software developers to implement changes from the specifications in softwareTest developmental software to ensure that specified changes were correctly implementedDesign and implement quality assurance procedures for the software product lineProvide product and/or regulatory training to clients and business partnersTroubleshoot and respond to regulatory and product inquiries from clients and business partnersQualifications: Bachelors or Master’s DegreeStrong Communication & Technical skillsResponsible, dependable, quick learnerDemonstrated ability to adapt to new technologyJob Type: Full-timeSalary: $62,000.00 to $65,000.00 /year"
6,"$65,000 - $68,000 a yearWe are hiring recent graduates for entry level business Analyst. The Business Analyst works with our team to understand “as-is” and “to-be” business process flows and requirements, as well as how information flows and changes through the business. The Business Analyst uses this information to assist in the design of the optimal IT solution and works closely with development and business users through implementation.Responsibilities: Create and design specifications as requestedDay to day manual upkeep of the tools to ensure high quality searchesReviewing and analyzing performance results using the tool and provide key findingsEnsure that various appropriate infrastructure elements, including documents, periodicals, manuals and policy documents are kept up to dateOutline requirement specifications with the use of standard templates for both used cases and detailed softwareManage requirements and ensure they are stored accurately in automated systemsMonitor changes to baseline requirements with the use of effective application of change control processes and toolsQualifications: Bachelors or Master’s DegreeStrong Communication & Technical skillsResponsible, dependable, quick learnerDemonstrated ability to adapt to new technologyPreferred willingness to relocate nationwide in the US for project.Job Type: Full-timeSalary: $65,000.00 to $68,000.00 /year"
7,"We are looking for Entry Level Business Analyst. Mostly we are looking recent graduates with no experience. The Business Analyst will monitor key metrics used to determine trends that will impact customers, act as an escalation point for customer issues and concerns, and work with product/development in evaluating defect priorities that impact customers. As an entry level Business Analyst you will be responsible for providing user support for the various applications developed by the Business Systems Development team.

Responsibilities: -


Perform enrollment activities for commercial, industrial, and residential customers
Identifying, tracking and processing exceptions and issues
Assist management and coworkers, following well-defined practices and procedures
Demonstrate a solid commitment to all aspects of safety
Conduct business-specific research, gather data, and compile reports and summaries
Provide sound internal and\/or external customer service
Actively seek formal and informal learning opportunities to better understand procedures (based on proficiency level above)

Qualifications:

Bachelors or Masters Degree
Knowledge of Microsoft Office tools, including Excel, PowerPoint, Access, and Word
Demonstrate a questioning attitude to learn, produce results, and develop relationships (based on proficiency level above)
Desire to continue to learn and grow, work across client, and deliver results (based on proficiency level above)

•"
8,"$60,000 a yearPart-time, Temporary, ContractDS Technologies is looking for Entry Level Business Analyst to work at or client sites across the country. We also provide training as per the client needs and position requirements.Description: Support in requirements gathering processUnderstands and provides expertise in businesses processes as it relates to the use of the queuing systemDevelop flow diagrams to reflect client business processesBecome a product subject matter expert and support troubleshooting effortsInvestigates and utilizes new training mechanisms, tools, and tacticsWrite end user documentation and quick guidesAbility to think critically and develop innovative solutionsExceptional customer service skillsExceptional communication skillsAbility to work effectively with diverse personalitiesMotivated to learn and grow – self starterExperience developing documentation and flow diagramsIf interested please apply or refer someone. We also provide Referral Fee of $1000.Education: Bachelor’s (Required)Visa: Only GC EAD, H4 EAD, GC and Citizen.Location: ANYJob Types: Full-time, Part-time, Temporary, Internship, ContractJob Type: Full-timeSalary: $60,000.00 /year"
9,"The Business Analyst is responsible for the set of tasks and techniques used to understand the structure, policies, and operations of the organisation, and to recommend automated solutions that enable the organisation to achieve its goals. The role has expertise and a generalised understanding of the IT organisation's systems and capabilities.

Responsibility:

Intermediate analytic and problem solving skills.
Ability to effectively participate in teams to solve a business problem.
Must be able to listen and interpret needs of diverse groups.
Ability to effectively present information and respond to questions from business service partners and senior managers.
Solid command of MS Office software (particularly MS Excel).
Strong written and oral communication, analytical and documentation skills.
Must demonstrate effective problem solving, and leadership skills.

Qualifications:

Bachelor's or Master's Degree
Strong Communication & Technical skills
Responsible, dependable, quick learner
Demonstrated ability to adapt to new technology

"
