,location,text
0,"Morrisville, NC 27560","Data Scientist II – Machine Learning and Advanced Decision Processing

Valassis Digital is a leader in the business intelligence space, processing over 12 trillion calculations, 35 billion mobile location signals, and analyzing more than 120 billion digital ad opportunities every day. As a Data Scientist II, your work is central to keeping us at the forefront of our industry by uncovering intelligence in our vast, fast moving data environment.

We are seeking data experts who are passionate about using cutting edge technology to solve unique problems. The ideal candidate is innately curious about how data can be used to tell a story and inform decisions. You enjoy searching for datasets to explore. You have honed your skills through a combination of education, work experience, and hobbies. You can embrace the messiness of creating new things.

If this describes you, we are interested. You can be an integral part of a cross-disciplinary team working on highly visible projects that improve performance and grow our product suite.

On any given day you’ll be…

Using your deep knowledge of numerical and statistical packages (Python, Pandas, Numpy, Sklearn, R) to…
Implement a gradient-boosting classifier to predict whether a person is likely to visit a car dealership based on the advertising signals they’ve received.
Use a Bayesian dynamic time series model to estimate the causal impact of an advertising campaign on sales at your neighborhood grocery.
Model the complex interactions between system architecture components to refactor and rethink key components and models in an advertising system.
Develop algorithms to optimize the setting of every lever in our advertising infrastructure.
Analyze data to better understand how a neighborhood’s consumption of web pages correlates with visits to a local big box store.
Build a time series model to forecast future sales of diapers for one of our clients.
Model the effects of environmental changes on promotion effectiveness with multiple regression.
Writing complex database queries using distributed computing frameworks: MapReduce, Hadoop and Spark to establish links between large datasets in order to…
Find the handful of outliers in 25 billion transactions.
Evaluate competing bidding models for real-time ad bidding auctions to inform our bid pricing strategy.
Feed data into your latest ensemble model aimed at maximizing the return on a client's online advertising budget.
Leveraging your experience with real world data to…
Derive a set of new features that will help us better understand the interplay between geography and audience features to improve our model performance.
Discover and explore third party data sources to determine their value for improving our model performance.
Build new data-driven products and bring them to market.
Provide technical leadership to …
Participate in planning, roadmap, and architecture discussions to help evolve our data science into revenue-generating products.
Engage in code and model reviews to continually raise the bar on our work.
Draw data flows and architecture designs on the white board to encourage understanding and cohesive development towards your solution.
Meet with customers and help map business needs into product requirements.
Our ideal candidate will likely have…
3+ years of experience with responsibilities similar to those listed above, preferably at a software development company
Advanced degree(s) in a relevant, quantitative field (e.g. mathematics, statistics, econometrics, computer science, engineering, etc.)
Ability to mentor and guide team members of varying experience levels through data science, product and software development life cycles
WHO WE ARE
Valassis Digital is a leading digital marketing intelligence company, providing a best-in-class data management platform and online and offline targeting capabilities that fuels superior display advertising and expanded media offerings, such as in-store campaign solutions, for advertising clients. Through proprietary technology, Valassis Digital creates meaningful marketing and advertising impact for businesses – from planning, delivery, and attribution. Valassis Digital taps into meaningful, actionable insights that drive better campaign performance.

WHAT'S IN IT FOR YOU?
Valassis Digital offers a generous total rewards benefits package that includes medical, dental and vision coverage, 401k matching, long-term cash incentives program, and PTO allowance. A wide variety of additional benefits like life insurance, employee assistance and pet insurance are also available!

Valassis Digital considers applicants for all positions without regard to race, color, creed, religion, national origin or ancestry, sex, age, disability, genetic information, veteran status, or any other legally protected status. In addition, Valassis Digital will provide reasonable accommodations for qualified individuals with disabilities. If you need assistance with completing the online application process, please contact DL_Recruiting@MaxPoint.com.
ENG123
#LI-CB1
MXGD"
1,"Des Moines, IA","At EMC, you'll put your skills to good use as an important member of our team. You can count on gaining valuable experience while contributing to the company's success. EMC strives to hire and retain the best people by engaging, developing and rewarding employees.

Essential Functions:
Builds models to improve profitability, discover business insights and identify opportunities through the use of statistical, algorithmic, mining and visualization techniques
Solves problems by integrating customers’ past experience, cutting edge analytical techniques, and advanced technology
Integrates, analyzes and models data across claims, underwriting, actuarial and risk improvement departments
Performs exploratory data analysis from multi-dimensional datasets to develop innovative solutions
Analyzes company data to recognize patterns, identify opportunities for efficiency, pose questions, and make recommendations that add value
Communicates with internal and external customers to obtain business problem clarity and develop appropriate solutions throughout project lifecycles
Determines data quality activities based on project needs

Education & Experience:
Graduate degree in actuarial science, mathematics, statistics, economics, computer science, finance or a related field or graduate coursework and equivalent work experience in predictive modeling
Two years of experience in data science, predictive modeling or analytics research
Actuarial credentials in Casualty Actuarial Society or Society of Actuaries preferred

Knowledge, Skills & Abilities:
Working knowledge of big data, statistics/probability and computer programming
Internet of Things knowledge preferred
Strong analytical, investigation and problem solving abilities
Good working knowledge of Excel and Word
Excellent knowledge of statistical software such as R or SAS and database software, such as Access and SQL
Self-direction and teamwork skills
Strong verbal and written communication skills
Occasional travel required; a valid driver’s license with an acceptable motor vehicle report per company standards required if traveling



Our employment practices are in accord with the laws which prohibit discrimination due to race, color, creed, sex, sexual orientation, gender identity, genetic information, religion, age, national origin or ancestry, physical or mental disability, medical condition, veteran status, citizenship status, marital status or any other consideration made unlawful by federal, state, or local laws.

All of our locations are tobacco free including in company vehicles."
2,"Vancouver, WA 98683 (Bella Vista area)","$9,000 - $12,000 a monthContractJob SummaryOpportunity BackgroundReady to demonstrate your marketing analytics and data sciences prowess? Two great opportunities to stretch your skills and experience to their fullest potential. One is for a full-time contract position and the other is a contract-to-hire role. Both positions are for a top brand, fortune 500 company in Silicon Valley. You’ll have access to large B2B and B2C data sets on a robust analytic platform. Customer and account data is enriched with demographics and firmagraphics, transactional purchase history, Web behavior and cross-channel marketing campaign history. Tools and analytic environment include SAS, Tableau, and well-managed MPP RDBMS, Hadoop & Hive. This position has a reasonable work-load, providing a decent work-life balance and won’t burn you to a crisp like other Valley gigs.Skills & ExperienceYou should have 3-5 years background in developing predictive modeling algorithms using Python/R, along with other tools in the Apache Big Data stack. You should be well-versed in machine learning algorithms – which is best for achieving business/analytic objectives: Bayesian, Regression, Decision Tree, Clustering & Neural Networks. You should be familiar with common marketing models: cross-sell, campaign response, churn, lifetime value. Finally, you’ll need to have experience in deploying these models into a marketing environment.Education & Eligibility: Bachelor of Science in Computer Science, Statistics or relevant degreeMS Degree preferredMust be eligible to work in the U.S.Must be able to work onsite at least 80%Compensation & Benefits: Competitive hourly rate or salary provided based on experienceThe full-time role will have full benefits package (healthcare, 401k, 10 days PTO)Contract position also gets 1.2 PTO days per monthJob Type: ContractSalary: $9,000.00 to $12,000.00 /monthExperience:Predictive Modeling: 3 years (Required)Education:Master's (Preferred)Location:Vancouver, WA 98683 (Required)Work authorization:United States (Required)"
3,"Richmond, VA","RTS & Our Culture: We are a solid, fast-growing software development company specializing in Web, Mobile, Data Analytics, Salesforce, and Big Data. We have plenty of room for magic, enthusiasm and personal growth. Your ideas will be encouraged, and you will have the power to shape the direction of RTS Labs.At RTS, we offer a hard-working, but casual workplace with few meetings, sincere camaraderie, and functional creativity. There are no closed doors, no rigid office hours and no space for big egos.We develop great solutions to solve each of our client’s problems, but we also build great relationships with our clients we are straightforward and honest at all times. We work hard as a team, but we also play hard as a team. We offer competitive salaries based on experience and benefits including 401(k), health, vision, and life insurance, and short-term disability.Are you Interested in joining a solid, fast-growing software development company specializing in Web, Mobile, Cloud, and Data Analytics?Here’s what we’re looking for: You solve challenges with out-of-the-box thinking (status quo is not our game)You love to learn and share your insights (nobody is perfect and you have to be ready to share)You know what it means to be a team player (egos are left at the door)You build relationships with clients based on trust (we are straightforward and honest at all times)You reliably manage yourself (you build your own role and know when things need to get done)The cool stuff you will be working on: Performing exploratory data analysis, generates and tests working hypotheses, and uncovers noteworthy trends and relationshipUse Big Data technologies to answer existing questions, as well as develop various data insightsImplement algorithms to power user-facing data-driven featuresBe a champion for data science by helping business users understand algorithms outputs thru meaningful metrics and visualizationsQualifications We’re Looking For: Experience with building production-ready data science models leveraging one or more of the following: machine learning, deep learning, natural language processing, video/image analysis, or time-series analysis.1 plus years of experience using relevant software packages for statistical analyses and visualization (SQL, R, Spark, Python, Tableau/ Power BI)A plus if you have experience working with small to large, complex data systems to aggregate, organize, and prepare data for use in business analysisBachelor’s Degree in STEM Major (Science, Technology, Engineering, or Math) or an equivalent concentrationThis is a full-time role based in Richmond, Virginia. No recruiters or staffing agencies, please.Job Type: Full-timeEducation:Bachelor's (Preferred)"
4,"Durham, NC","$90 - $95 an hourContractDescription: building and deploying Analytic models (Data Wrangling/ Analysis/Cleansing, buildingdescriptive and predictive models) in IBM/open platformsMust have skills: Building Analytic/Machine Learning /Deep Learning ModelsNLP/Watson Knowledge Studio/Watson DiscoveryPython, Apache Spark, Sci-Kit Learn / similar librariesSPSS ModellerWatson ML/ Watson Data StudioDSXJob Type: ContractSalary: $90.00 to $95.00 /hourExperience:Spark: 1 year (Preferred)Natural Language Processing: 1 year (Required)SPSS: 1 year (Required)Python: 1 year (Required)Watson: 1 year (Required)"
5,Remote,"ContractHere at Fooji, the food doesn't just give itself away. We've got a strong team of engineers behind the scenes managing our platform, and we want you to get in on this.
We're looking for a contract Data Scientist who has practical experience performing data mining, and who can quickly get to work on a new problem. You should already have a set of tools that you are experienced with; of course this does not rule out learning new tools if they will be more appropriate for the problem-space at hand.
Initially the position will be very much an exploratory one, so you need to have the initiative to work independently and build some interesting models without a huge amount of hand holding. Obviously we will give you initial guidance, but you must be able to go away and come back with statistically significant findings. We are not expecting you to do the impossible: if you can prove that certain models cannot be built given the current data set, fine. This is also an interesting finding.
If you do not live near our Lexington, Kentucky HQ, you may work remotely.
Requirements
We expect you to be familiar with the following technologies:
Git
SQL
Solid experience in one programming language relevant for your work
Familiarity with a toolbox of relevant open source libraries
Open source contributions are always appreciated.
If you've got a GitHub profile, that really helps expedite the hiring process so please include it with your application."
6,"Charlotte, NC 28255 (Wilmore area)","Job Description:

The Chief Data Science Organization is looking for a strong quantitative research associate that has a rare combination of skills to provide analytics and high quality data products in the financial services domain, and produce working data products that are demonstrably better than the existing state of the art. If you love the challenge of applying these skills to creating and improving innovative solutions, we’d like to talk to you. The role will be responsible for the development, enhancement and smooth operation of data products that provide benefit to key analytic and regulatory stakeholders.

Key Responsibilities:
Work with Line of Business and Control Function partners to accelerate data and analytic solutions
Enable analytics research and development (R&D) at Bank of America
Ensure high level of quality in data products through careful attention to detail and curiosity about data anomalies
Communicate findings, gaps and opportunities to all levels of the organization
Take results from development to production in collaboration with product engineers
Required Skills:
Degree in statistics, finance, economics, operations research or equivalent quantitative experience
Facility in pulling data from SQL databases and flat files
Strong SAS skills
Strong attention to detail
Ability to collaborate within and between cross-functional teams; excellent communication skills
Highly organized and experienced in leading/managing projects, initiatives and development
Ability to manage multiple and competing priorities
2+ years of work experience


Shift:
1st shift (United States of America)

Hours Per Week:
40"
7,"Milpitas, CA 95035","POSITION OBJECTIVE Data scientists interpret and apply data in analyses, and explain findings to business audiences typically, to improve products and processes. Projects support business decision making for multiple business functions. Designs, creates, implements, and manages predictive analytics that leverage large and varied data sets, using a wide range of analytical tools, methods, and platforms.
PRIMARY RESPONSIBILITIES
Interprets and applies data analytics to provide recommendations to the business
Implements activities that impact singular components / processes of the work of own unit / team / projects
Assigned to initiatives that support business decision making for multiple business functions
Develops and executes statistical and mathematical solutions to business problems within business unit
Frames problem then determines intended approach and quantitative methods to develop solution
Uses analytical rigor and statistical methods to analyze large amounts of data, culling actionable insights using advanced statistical techniques such as predictive statistical models, customer profiling, segmentation analysis, survey design and analysis and data mining
Designs experiments to answer targeted questions
Documents projects including business objective, data gathering and processing, leading approaches, final algorithm, detailed set of results and analytical metrics
Develops materials to explain project findings to Management
Develops new algorithms and mathematical approaches to understand the company's audiences and solves complex business problems such as optimizing product performance, revenue and adoption
QUALIFICATIONS
Required
2+ years of progressively complex Data Science or analytics experience
Bachelors degree or equivalent in MIS, Computer Science, Data Science or related field
Preferred
Masters degree
Retail experience
Special Requirements
NA"
8,"Mooresville, NC","PURPOSE OF ROLE:
The principle purpose of the Data Scientist is to provide advanced analytical capabilities to support data science initiatives. These include insightful business, website, and statistical analyses that yield tangible results for Lowe’s and Lowe’s Digital. Current areas of interest and specialization on the team include: predictive modeling; personalization and recommendation algorithms; natural language processing and text mining; search recall, precision, ranking, and related problems; optimization and mathematical programming with applications to labor scheduling, inventory and capacity planning, network flows, and supply chain optimization.
In addition, the Data Scientist is responsible for taking the lead on analytic and automation projects, developing expertise in problem analysis, solution implementation, and ongoing optimization. The Data Scientist is expected to stay current on industry trends, emerging technologies, new methodologies, and provide guidance to team members.
To accomplish this, the Data Scientist must have a strong interest in data science, statistical analyses, customer behavior, and the retail space, while demonstrating comfort in dealing with ambiguity. Also, the Data Scientist must possess a high level of intellectual curiosity in proactively identifying opportunities for improved results.
This position should expect to collaborate successfully across business functions within Lowe's and Lowe's Digital.

RESPONSIBILITY STATEMENTS
Mines and extracts data and applies statistics, algorithms, machine learning & AI as necessary to derive insights and analytics products for Lowe's and Lowe's Digital
Contributes to the development of automated insights generation frameworks for Lowe's business partners to effectively interpret data
Contributes to the development of data science products related to Personalization, Search & Navigation, SEO & Promotions, Supply Chain, Services, other company priorities, etc.
Conducts deep statistical analyses, including predictive and prescriptive modeling in order to provide a competitive advantage to Lowe's
Maintains up-to-date knowledge on industry trends, emerging technologies, and new methodologies and applies it to projects as well as using it to guide team members
Serves as a leading member on automation and analytical projects, collaborating across functions in Lowe's and Lowe's Digital

Minimum Qualifications:
Bachelor's Degree, Computer Science, Statistics, Physics, Economics, Industrial Engineering, Operations Research, or related quantitative analytic field

1-3 years’ experience (expected to have analytic maturity) with knowledge of SQL and various statistical modeling or machine learning techniques

OR
Master's or PhD Degree Computer Science, Statistics, Physics, Economics, Industrial Engineering, Operations Research, or related quantitative analytic field
Expected to have analytic maturity, with knowledge of SQL and various statistical modeling or machine learning techniques


Preferred Qualifications:
2+ years data science or advanced analytics experience in industry"
9,"Worcester, MA","Our Data Science department is seeking an Associate Data Scientist to join our growing team in our Worcester, MA office."
